119330238298062954--ParamList,11933023829806295457762--Decl
119497585--Compound,11949758541943--FuncCall
1193--FuncDef,119330238--Decl
11949758592266--Decl,1194975859226684720--n
1193588728886141851559113--FuncCall,119358872888614185155911378705--f
1194975854194321964--ExprList,119497585419432196474666--"factorial of %d is: %d"
1194975859226684720--n,119497585922668472025070--int
119358872830641--Return,11935887283064133446--1
119330238298089617--f,1193302382980896173135--int
11935887286297366100--==,1193588728629736610035490--n
11949758541943--FuncCall,1194975854194323670--printf
119358872862973--||,11935887286297366100--==
11949758592266--Decl,1194975859226680003--5
11941721--Decl,1194172148776--FuncDecl
1194975854194321964267951016--ExprList,119497585419432196426795101659569--n
1194--FuncDef,11941721--Decl
119358872888614185155911372902--ExprList,11935887288861418515591137290236159---
11935887288861418515--*,1193588728886141851531369--n
1194172148776--FuncDecl,119417214877660216--main
11949758541943219642679--FuncCall,1194975854194321964267990958--f
11949758555203--Return,119497585552034655--0
1193588728886141851559113--FuncCall,119358872888614185155911372902--ExprList
1--FileAST,1193--FuncDef
119358872862973--||,11935887286297344748--==
119497585--Compound,11949758555203--Return
1193588728--If,119358872888614--Return
1193302382980--FuncDecl,119330238298062954--ParamList
11949758541943219642679--FuncCall,1194975854194321964267951016--ExprList
1--FileAST,1194--FuncDef
119358--Compound,1193588728--If
11935887288861418515--*,1193588728886141851559113--FuncCall
1193--FuncDef,119358--Compound
119358872888614--Return,11935887288861418515--*
1194975854194321964--ExprList,119497585419432196430109--n
1193588728--If,119358872830641--Return
11935887288861418515591137290236159---,1193588728886141851559113729023615932165--n
1193302382980629545776268267--n,119330238298062954577626826763044--int
11949758541943--FuncCall,1194975854194321964--ExprList
11935887286297344748--==,1193588728629734474874331--0
1194--FuncDef,119497585--Compound
11935887286297366100--==,1193588728629736610059353--1
1193588728--If,119358872862973--||
11935887288861418515591137290236159---,1193588728886141851559113729023615988540--1
1193302382980--FuncDecl,119330238298089617--f
119330238--Decl,1193302382980--FuncDecl
11933023829806295457762--Decl,1193302382980629545776268267--n
11935887286297344748--==,1193588728629734474830099--n
119497585--Compound,11949758592266--Decl
119417214877660216--main,11941721487766021624321--int
1194975854194321964--ExprList,11949758541943219642679--FuncCall
