11931416562405618048880225792--sum,1193141656240561804888022579249387--int
11944716454915475393870--sizeof,1194471645491547539387031409--arr
119384194296421367--++,1193841942964213676717--i
1194--FuncDef,11944716--Compound
1193841942964219130427635485363301--Return,119384194296421913042763548536330199893--1
11938419471328--FuncCall,1193841947132894933--ExprList
119314165624056180458254160--ArrayDecl,11931416562405618045825416034135--arr
119384194296421913051460--If,11938419429642191305146033144--<
11938419492485--Decl,1193841949248513744--i
119384194296421913097074457899244431023---,11938419429642191309707445789924443102319616--currentSum
1194471670476--Decl,119447167047644068--InitList
11938419429642--For,1193841942964290431--<=
1193141656240561804582--Decl,119314165624056180458254160--ArrayDecl
119384194296421913097074--While,11938419429642191309707445789--Compound
1193841942964219130427635485355991--FuncCall,119384194296421913042763548535599154815--printf
119384194--Compound,1193841946661--Decl
119384194296421913042763548535599128599--ExprList,11938419429642191304276354853559912859960290--"Sum found between indexes %d and %d"
11938419429642191304276316688--==,1193841942964219130427631668877396--sum
11938419429642191304276354853--Compound,1193841942964219130427635485363301--Return
1193141656240561804--ParamList,119314165624056180436445--Decl
119384194296421913042763--If,11938419429642191304276354853--Compound
119447167047644068--InitList,11944716704764406868194--15
11938419429642191309707456643--&&,1193841942964219130970745664325148--<
11931416562405--FuncDecl,1193141656240580990--subArraySum
119384194296421913051460--If,11938419429642191305146031061--=
119384194296421913097074566432514837117---,11938419429642191309707456643251483711782961--1
1193141656240561804--ParamList,1193141656240561804582--Decl
11938419429642191305146033144--<,1193841942964219130514603314471395--i
11938419424652--Decl,1193841942465277547--0
119447167047644068--InitList,11944716704764406841988--5
119447167047644068--InitList,11944716704764406844558--23
119384194296421913097074--While,11938419429642191309707456643--&&
119447161796--FuncCall,11944716179631839--subArraySum
1193141656240580990--subArraySum,119314165624058099051711--int
119447167047644068--InitList,11944716704764406857607--10
1193841942465232182--start,119384194246523218253608--int
119384194--Compound,11938419471328--FuncCall
11938419429642191309707445789924443102310739--ArrayRef,119384194296421913097074457899244431023107393194--arr
1193841942964214056--=,11938419429642140563615--i
1193841942964219130514603106159835--+,119384194296421913051460310615983524591--ArrayRef
11944716179687781--ExprList,1194471617968778124268--n
1194471645491--Decl,119447164549154753--/
119384194666134235--ArrayRef,11938419466613423569375--arr
11938419429642191309707445789--Compound,119384194296421913097074457895677--++
11938419429642191309707445789--Compound,1193841942964219130970744578992444--=
119314165624056180488802--Decl,11931416562405618048880225792--sum
11938419429642191304276354853559912859981868---,1193841942964219130427635485355991285998186839558--1
119384194296421913042763--If,11938419429642191304276316688--==
11938419422264--Return,1193841942226418715--0
11947744212256--FuncDecl,1194774421225625638--main
11944716454915475379300--sizeof,1194471645491547537930078053--ArrayRef
119314165624056180436445--Decl,11931416562405618043644510885--n
1193841942964214056--=,119384194296421405696238--1
1194471670476--Decl,119447167047660262--ArrayDecl
1193841942964219130427635485355991--FuncCall,119384194296421913042763548535599128599--ExprList
1194471645491547537930078053--ArrayRef,119447164549154753793007805382214--0
11938419429642--For,119384194296421367--++
11944716--Compound,1194471624915--Return
119384194666131378--currentSum,11938419466613137840689--int
119447161796--FuncCall,11944716179687781--ExprList
1193841942964219130514603106159835--+,119384194296421913051460310615983588636--currentSum
119384194--Compound,11938419429642--For
11931416562405--FuncDecl,1193141656240561804--ParamList
1193841942964219130970744578992444--=,119384194296421913097074457899244414617--currentSum
11944716--Compound,119447161796--FuncCall
11938419429642191304276354853559912859981868---,1193841942964219130427635485355991285998186876496--i
119384194296421913042763548535599128599--ExprList,11938419429642191304276354853559912859946661--start
119447164549154753--/,11944716454915475379300--sizeof
11938419429642191305146031061--=,1193841942964219130514603106159835--+
11944716179687781--ExprList,1194471617968778158339--sum
11931416562405618045825416034135--arr,119314165624056180458254160341358743--int
1193841942964219130--Compound,119384194296421913097074--While
119384194--Compound,11938419422264--Return
1194471645491547537930078053--ArrayRef,119447164549154753793007805345150--arr
11944716--Compound,1194471613552--Decl
119384194296421913097074566432514837117---,11938419429642191309707456643251483711754440--i
11938419424652--Decl,1193841942465232182--start
1194471624915--Return,11944716249154388--0
1193841942964219130--Compound,119384194296421913042763--If
119447164549154753--/,11944716454915475393870--sizeof
11944716--Compound,1194471645491--Decl
1194471645491--Decl,119447164549114440--n
119384194296421913097074457895677--++,11938419429642191309707445789567777153--start
