1195231--*,11952311--b
119521--Decl,1195212--*
119621--For,1196213--++
119621--For,1196212--<
1--FileAST,1196--FuncDef
11972--Compound,119724--FuncCall
11962111--Decl,119621112--0
1--FileAST,1194--FuncDef
1196212--<,11962122--n
11941112--Decl,119411121--n
119425--While,1194251--&&
1196214--FuncCall,11962141--printf
11931--FuncDecl,119311--ParamList
11941--Decl,119411--FuncDecl
11972123---,119721231--3
1194111111--arr,11941111111--int
1197--FuncDef,11972--Compound
119711--FuncDecl,1197111--main
1195222--*,11952221--b
11942511--&&,119425111--<
119522--=,1195221--*
1196111--ParamList,11961111--Decl
1194224111--ArrayRef,11942241111--arr
1--FileAST,1193--Decl
119724--FuncCall,1197241--printArray
1194241--neg,11942411--int
119411--FuncDecl,1194111--ParamList
1194224122211--ArrayRef,11942241222112--i
1197222--/,11972222--sizeof
11942522--++,119425221--pos
1196--FuncDef,11961--Decl
119621422--ArrayRef,1196214222--i
119425212--ExprList,1194252122--&
11942--Compound,119422--For
119621--For,1196211--DeclList
119722--Decl,1197222--/
11942521221--ArrayRef,119425212211--arr
1194224121--++,11942241211--i
1194211--i,11942111--int
11962111--Decl,119621111--i
1193--Decl,11931--FuncDecl
119511--FuncDecl,1195112--swap
119511121--PtrDecl,1195111211--b
1197--FuncDef,11971--Decl
119425112--<,1194251121--neg
119422411--<,1194224111--ArrayRef
119723--FuncCall,1197231--rearrange
11942211--Decl,119422111--j
119422111--j,1194221111--int
11961--Decl,119611--FuncDecl
119424--Decl,1194242--0
11962142--ExprList,119621421--"%4d "
119311111--a,1193111111--int
1197212--InitList,11972122--2
119422412222--&,1194224122221--ArrayRef
11942521221--ArrayRef,119425212212--pos
1193111--Decl,11931111--PtrDecl
1197242--ExprList,11972422--n
1194212---,11942121--1
1194112--rearrange,11941121--void
1194223--++,11942231--j
119425112--<,1194251122--pos
11972111--arr,119721111--int
1194252--Compound,11942523--+=
1195211--temp,11952111--int
1196111--ParamList,11961112--Decl
11952--Compound,119523--=
1195111--ParamList,11951112--Decl
1196213--++,11962131--i
1194232--+,11942322--1
11971--Decl,119711--FuncDecl
119722221--ArrayRef,1197222211--arr
119425111--<,1194251112--n
1194252122--&,11942521221--ArrayRef
1195112--swap,11951121--void
11942241222--ExprList,119422412221--&
1197212--InitList,11972125--5
11972--Compound,119723--FuncCall
1194252--Compound,11942521--FuncCall
119724--FuncCall,1197242--ExprList
119523--=,1195232--temp
1197212--InitList,11972127---
1195111111--a,11951111111--int
11931--FuncDecl,119312--swap
119521--Decl,1195211--temp
11962142--ExprList,119621422--ArrayRef
119311211--b,1193112111--int
1194251--&&,11942511--&&
1194252--Compound,11942522--++
119611--FuncDecl,1196111--ParamList
1197242--ExprList,11972421--arr
119421--Decl,1194212---
1195221--*,11952211--a
1194224122--FuncCall,11942241221--swap
119311--ParamList,1193111--Decl
11972121---,119721211--1
119422412--Compound,1194224122--FuncCall
11961112--Decl,119611121--n
119522--=,1195222--*
119621--For,1196214--FuncCall
1194232--+,11942321--i
1194224122211--ArrayRef,11942241222111--arr
1197221--n,11972211--int
119411111--ArrayDecl,1194111111--arr
119422412--Compound,1194224121--++
11942521--FuncCall,119425212--ExprList
1194224122221--ArrayRef,11942241222211--arr
1194224111--ArrayRef,11942241112--j
11972127---,119721271--7
1197212--InitList,11972123---
1194252121--&,11942521211--ArrayRef
1194111--ParamList,11941112--Decl
119423--Decl,1194231--pos
11952--Compound,119521--Decl
119425121--ArrayRef,1194251211--arr
1197212--InitList,11972121---
1193112--Decl,11931121--PtrDecl
119422--For,1194224--Compound
11942241222--ExprList,119422412222--&
119425121--ArrayRef,1194251212--neg
11952--Compound,119522--=
119422--For,1194221--DeclList
1195111--ParamList,11951111--Decl
1197212--InitList,11972124--4
1197232--ExprList,11972322--n
1196--FuncDef,11962--Compound
1197212--InitList,11972126--6
1194111--ParamList,11941111--Decl
1194224--Compound,11942241--If
11961111--Decl,119611111--ArrayDecl
119511--FuncDecl,1195111--ParamList
11942521211--ArrayRef,119425212112--neg
11972--Compound,119721--Decl
11942511--&&,119425112--<
119611--FuncDecl,1196112--printArray
1196211--DeclList,11962111--Decl
1195--FuncDef,11951--Decl
119312--swap,1193121--void
119411121--n,1194111211--int
