1193421431684068550--main,119342143168406855060218--void
1193879231257492215--=,119387923125749221553311--1
119387923--Compound,11938792371822--Decl
11938792312574--For,1193879231257483291--<=
1193879237182210129--i,119387923718221012928653--int
11938792312574--For,1193879231257492215--=
11938792389439--Decl,1193879238943981527--8
1193--FuncDef,119342143--Decl
1193879231257483291--<=,119387923125748329197443--n
119387923--Compound,11938792312574--For
1193879231257492215--=,119387923125749221525073--i
11938792312574--For,119387923125746540--Compound
11938792389439--Decl,1193879238943957080--n
11938792312574--For,1193879231257462363--++
11938792312574654028003--FuncCall,1193879231257465402800337939--ExprList
11934214316840--FuncDecl,1193421431684068550--main
11938792312574654028003--FuncCall,1193879231257465402800326098--printf
119387923--Compound,11938792389439--Decl
119342143--Decl,11934214316840--FuncDecl
1193879231257483291--<=,119387923125748329188395--i
1193879238943957080--n,119387923894395708025376--int
1193--FuncDef,119387923--Compound
1193879231257462363--++,119387923125746236386604--i
11938792371822--Decl,1193879237182210129--i
119387923125746540--Compound,11938792312574654028003--FuncCall
1--FileAST,1193--FuncDef
1193879231257465402800337939--ExprList,1193879231257465402800337939825--"Hello World !!!\n"
