119311131--high,1193111311--int
1193--FuncDef,11931--Decl
1194253--FuncCall,11942531--printf
11932--Compound,119321--Decl
1--FileAST,1194--FuncDef
119425--If,1194253--FuncCall
1193234212-->=,11932342122--x
11941--Decl,119411--FuncDecl
11932212--ArrayRef,119322122--low
1193234--Compound,11932342--If
11942422--ExprList,119424223---
119422221--ArrayRef,1194222211--arr
11942--Compound,119422--Decl
1194222--/,11942221--sizeof
119323422--Return,1193234221--+
1193232--<,11932322--high
1193221--<=,11932211--x
1193241---,11932411--1
11932342111--ArrayRef,119323421111--arr
119425323--ArrayRef,1194253231--arr
11932342121--ArrayRef,119323421212--+
11942111--arr,119421111--int
119422--Decl,1194221--n
119425--If,1194252--FuncCall
119425323--ArrayRef,1194253232--index
11942522--ExprList,119425221--"Ceiling of %d doesn't exist in array "
11932342--If,119323422--Return
1193111--ParamList,11931114--Decl
1194231--x,11942311--int
1193231--=,11932311--i
1193234221--+,11932342211--i
1193112--ceilSearch,11931121--int
119422221--ArrayRef,1194222212--0
11942--Compound,119427--Return
1193234212-->=,11932342121--ArrayRef
1193231--=,11932312--low
1194241--index,11942411--int
11942532--ExprList,119425323--ArrayRef
11942512---,119425121--1
119323--For,1193232--<
1194242--FuncCall,11942422--ExprList
119323--For,1193231--=
1194212--InitList,11942125--10
119421--Decl,1194212--InitList
1194212--InitList,11942127--19
1194212--InitList,11942122--2
1193221--<=,11932212--ArrayRef
1193111111--arr,11931111111--int
1193234--Compound,11932341--If
1194252--FuncCall,11942522--ExprList
1194253--FuncCall,11942532--ExprList
1193211--i,11932111--int
119311--FuncDecl,1193112--ceilSearch
1193--FuncDef,11932--Compound
11932341--If,119323412--Return
11932--Compound,119322--If
1194212--InitList,11942121--1
11932342--If,119323421--&&
1193111--ParamList,11931111--Decl
119322--If,1193221--<=
1194222--/,11942222--sizeof
119423--Decl,1194231--x
119421--Decl,1194211--ArrayDecl
11932--Compound,119324--Return
11942--Compound,119426--FuncCall
1194211--ArrayDecl,11942111--arr
11932342121--ArrayRef,119323421211--arr
1193234211--<,11932342112--x
119424--Decl,1194241--index
1194252--FuncCall,11942521--printf
11942422--ExprList,119424222--0
1194111--main,11941111--int
119311111--ArrayDecl,1193111111--arr
11942222--sizeof,119422221--ArrayRef
1193111--ParamList,11931113--Decl
119323412--Return,1193234121--i
119322--If,1193222--Return
11931114--Decl,119311141--x
11942532--ExprList,119425322--x
11942532--ExprList,119425321--"ceiling of %d is %d"
11931113--Decl,119311131--high
1193232--<,11932321--i
11932342111--ArrayRef,119323421112--i
11931111--Decl,119311111--ArrayDecl
119323411--==,1193234111--ArrayRef
1193111--ParamList,11931112--Decl
119323411--==,1193234112--x
11942221--sizeof,119422211--arr
1194221--n,11942211--int
11932341--If,119323411--==
11942422--ExprList,119424221--arr
119311121--low,1193111211--int
119424223---,1194242231--n
119411--FuncDecl,1194111--main
119323--For,1193233--++
1193234211--<,11932342111--ArrayRef
1194--FuncDef,11941--Decl
1194251--==,11942511--index
119323--For,1193234--Compound
1193234221--+,11932342212--1
11931112--Decl,119311121--low
1194212--InitList,11942126--12
11942--Compound,119423--Decl
1193234111--ArrayRef,11932341112--i
119425--If,1194251--==
11932--Compound,119323--For
1--FileAST,1193--FuncDef
11942--Compound,119425--If
1193233--++,11932331--i
11942522--ExprList,119425222--x
1194212--InitList,11942124--10
1193222--Return,11932221--low
1194242--FuncCall,11942421--ceilSearch
11931--Decl,119311--FuncDecl
119427--Return,1194271--0
119323421212--+,1193234212121--i
11942--Compound,119421--Decl
1194251--==,11942512---
119423--Decl,1194232--3
119321--Decl,1193211--i
119324--Return,1193241---
119311--FuncDecl,1193111--ParamList
119323421--&&,1193234211--<
119311141--x,1193111411--int
11942422--ExprList,119424224--x
11942--Compound,119424--Decl
1193234111--ArrayRef,11932341111--arr
119422--Decl,1194222--/
1194212--InitList,11942123--8
119424223---,1194242232--1
1194--FuncDef,11942--Compound
119323421212--+,1193234212122--1
119424--Decl,1194242--FuncCall
11932212--ArrayRef,119322121--arr
119323421--&&,1193234212-->=
119426--FuncCall,1194261--getchar
