119497702434412974785804--arr7,11949770243441297478580475472--int
1193494262488913179588073765--ArrayRef,119349426248891317958807376580356--arr
11934942656561--Decl,1193494265656171698--mid
1194977025602086186--InitList,119497702560208618678961--5
119349426248893624385357--ArrayRef,11934942624889362438535753604--arr
119497702135141642215761--FuncCall,11949770213514164221576154835--ExprList
11949770246652--Decl,1194977024665269130--n4
1194977021864453355--InitList,119497702186445335583559--6
1194977021351416422--ExprList,119497702135141642212500--"The minimum element is %d\n"
119349426--Compound,11934942656561--Decl
11934942655898--If,1193494265589897496--Return
119349426558989749618293--FuncCall,119349426558989749618293653--findMin
11934942611173425957335180745--+,1193494261117342595733518074596703--1
1193494263615977674--FuncCall,119349426361597767417839--findMin
1193512953587035314--findMin,119351295358703531452778--int
1194977024344140591--InitList,119497702434414059186466--2
119349426--Compound,11934942699239--If
11949770285834887--ArrayDecl,119497702858348873086--arr9
1194977025602086186--InitList,119497702560208618668112--7
1194977026917--FuncCall,119497702691769713--printf
11949770225847--Decl,1194977022584732583--/
11934942611173490528920281158--ArrayRef,1193494261117349052892028115889370--arr
11949770223189--Decl,1194977022318972065--ArrayDecl
11949770266716--Decl,1194977026671692170--InitList
11949770297748--FuncCall,1194977029774825900--ExprList
1194977022174287379--ExprList,119497702217428737986770--FuncCall
119497702845919115536944--sizeof,11949770284591911553694440265--arr3
1194977028583431525--InitList,119497702858343152595678--3
119497702--Compound,11949770218644--Decl
11949770266716433079092--arr3,1194977026671643307909285452--int
1193512953587016307178814483--ArrayDecl,119351295358701630717881448367246--arr
119349426992393344--<,11934942699239334410327--high
119497702--Compound,11949770231431--Decl
11934942655898658372795--ArrayRef,1193494265589865837279530720--high
11934942656561464576083--/,1193494265656146457608377393---
11949770218644--Decl,119497702186444263--ArrayDecl
11949770225847--Decl,1194977022584799681--n1
119349426361597767466086--ExprList,11934942636159776746608675896--arr
1193494265656146457608377393---,119349426565614645760837739329530--high
119349426--Compound,11934942624889--If
119497702--Compound,11949770288739--FuncCall
1193494265656171698--mid,119349426565617169819928--int
119497702363246532717871--sizeof,11949770236324653271787151213--arr6
1194977024950814570--/,11949770249508145702950--sizeof
11949770246652--Decl,119497702466524292--/
1193494265589865837-->,11934942655898658372795--ArrayRef
1194977028583431525--InitList,119497702858343152539732--2
11949770284591911554614549782--ArrayRef,119497702845919115546145497824491--0
1194977026671692170--InitList,119497702667169217062865--1
1193494262488913179588073765--ArrayRef,119349426248891317958807376577894---
1194977026917304986098745412--ExprList,1194977026917304986098745412532--arr3
119497702--Compound,11949770236324--Decl
1194977021864453355--InitList,119497702186445335535582--1
11949770266716--Decl,1194977026671643307--ArrayDecl
11949770249508--Decl,1194977024950876804--n5
11934942624889131795880--<,1193494262488913179588041473--ArrayRef
119497702--Compound,11949770249508--Decl
1194977023143169894--ArrayDecl,11949770231431698948515--arr1
1194977028583431525--InitList,119497702858343152560959--4
1193494262488936243--Return,119349426248893624385357--ArrayRef
11949770249508145701591052205--ArrayRef,1194977024950814570159105220518178--0
11949770299654200433358--sizeof,1194977029965420043335881297--arr7
119349426992393344--<,11934942699239334456859--low
11949770299654--Decl,119497702996544664--n7
119497702770523444652813376--ExprList,11949770277052344465281337660900--arr9
1194977022318938592--InitList,119497702231893859292208--2
11934942657834--If,119349426578342006--==
1194977025548818874902255961--ExprList,11949770255488188749022559613705---
11949770218644426324804--arr8,1194977021864442632480450863--int
119351295--Decl,11935129535870--FuncDecl
1194977022549176646--InitList,119497702254917664691672--1
119497702770523444652813376--ExprList,11949770277052344465281337684357--0
1194977023632494184--n6,119497702363249418499712--int
119497702363246532715820--sizeof,11949770236324653271582050646--ArrayRef
1194977028583431525--InitList,119497702858343152578455--5
119497702495081457015910--sizeof,11949770249508145701591052205--ArrayRef
11934942636159776746608697417--+,1193494263615977674660869741711336--mid
119497702--Compound,11949770223189--Decl
1--FileAST,1194--FuncDef
1194977025602013600--ArrayDecl,119497702560201360052940--arr6
11949770213514164221576154835--ExprList,1194977021351416422157615483555016--arr4
1194977022218115809--/,11949770222181158091458--sizeof
1194977022218115809--/,119497702221811580993585--sizeof
11949770236324--Decl,1194977023632494184--n6
11949770231431--Decl,1194977023143194850--InitList
1194977023143194850--InitList,119497702314319485012215--6
11949770255488188749022--FuncCall,1194977025548818874902255961--ExprList
1194977026917304986098745412--ExprList,119497702691730498609874541247450--0
11949770222026703854720773050--ExprList,1194977022202670385472077305011392--0
11949770297748259006915--FuncCall,1194977029774825900691560812--ExprList
119497702--Compound,1194977026917--FuncCall
1194977022418752858--ExprList,119497702241875285874860--"The minimum element is %d\n"
11949770221742873798677058098--ExprList,119497702217428737986770580984651--0
1193494261117342595--Return,119349426111734259573351--ArrayRef
11949770288739611793973334876--ExprList,1194977028873961179397333487664618---
1194--FuncDef,119497702--Compound
11935129535870163027375--Decl,1193512953587016302737527045--low
119497702--Compound,11949770266716--Decl
1194977022549187180--ArrayDecl,119497702254918718012717--arr5
11934942655898658372795--ArrayRef,1193494265589865837279542932--arr
1194977022318938592--InitList,119497702231893859242846--1
11949770236324--Decl,1194977023632465327--/
1194977022418752858172112153257480---,11949770224187528581721121532574808193--n8
119497702231897206590448--arr4,11949770223189720659044825988--int
119497702663954622--/,11949770266395462238309--sizeof
1194977025548818874902255961--ExprList,119497702554881887490225596175494--0
11934942636159776746608697417--+,119349426361597767466086974176641--1
119497702--Compound,11949770215488--Return
119497702241875285817211--FuncCall,11949770224187528581721166058--findMin
119351295358701630--ParamList,11935129535870163027375--Decl
119497702996542004--/,11949770299654200424237--sizeof
119351295358701630--ParamList,11935129535870163044248--Decl
11934942657834--If,1193494265783472912--Return
1194977024344140591--InitList,119497702434414059165917--6
119349426111734905293656--<,11934942611173490529365613317--high
1194977022174287379--ExprList,119497702217428737981673--"The minimum element is %d\n"
119497702135141642215761--FuncCall,11949770213514164221576186988--findMin
11949770218644--Decl,1194977021864453355--InitList
119497702--Compound,11949770246652--Decl
119497702--Compound,11949770222181--Decl
119497702977482590069156081244029---,11949770297748259006915608124402987337--1
1194977022202670385--ExprList,119497702220267038547207--FuncCall
119497702--Compound,11949770256020--Decl
1194977022584732583--/,119497702258473258312338--sizeof
1194977028873961179397333487664618---,119497702887396117939733348766461834587--1
119497702362915539--InitList,11949770236291553960278--1
11934942656561464576083--/,1193494265656146457608318296--2
11949770222181--Decl,1194977022218115809--/
119349426565614645--+,11934942656561464576083--/
1194977021864453355--InitList,119497702186445335566286--5
119349426361597767466086--ExprList,11934942636159776746608697417--+
1194977025602086186--InitList,119497702560208618644188--4
119497702258473258312338--sizeof,11949770225847325831233849306--ArrayRef
1194977021864453355--InitList,119497702186445335533348--3
11935129535870163044248--Decl,1193512953587016304424857129--high
119349426111734905293656--<,11934942611173490529365660179--mid
1193494262488913179588041473--ArrayRef,119349426248891317958804147318117--mid
1194977023629140132--ArrayDecl,119497702362914013233762--arr2
11949770249508145701591052205--ArrayRef,1194977024950814570159105220566066--arr5
1194977021864453355--InitList,119497702186445335549496--8
11949770277052--FuncCall,1194977027705251718--printf
119349426--Compound,11934942636159--Return
119349426558986583749154--ArrayRef,11934942655898658374915434707--mid
119497702691730498609874541295860---,11949770269173049860987454129586010081--1
1194977023143194850--InitList,119497702314319485037098--4
11949770277052344465281--FuncCall,1194977027705234446528147634--findMin
11949770243441--Decl,1194977024344129747--ArrayDecl
119497702887396117939733--FuncCall,11949770288739611793973322234--findMin
119497702996544664--n7,11949770299654466498996--int
11949770246652429269995--sizeof,1194977024665242926999541363--arr4
11934942636159--Return,1193494263615977674--FuncCall
11949770236324653271582050646--ArrayRef,1194977023632465327158205064629138--arr6
119497702691730498--ExprList,11949770269173049843642--"The minimum element is %d\n"
119497702560201360052940--arr6,11949770256020136005294076246--int
11949770211583--Decl,11949770211583168--/
11934942611173425957335180745--+,1193494261117342595733518074536208--mid
11949770221742873798677058098--ExprList,1194977022174287379867705809841658---
11949770277052344465281337668854---,1194977027705234446528133766885448520--n9
119497702115831685852374831--ArrayRef,11949770211583168585237483169149--arr8
1194977024950814570--/,119497702495081457015910--sizeof
11946692752445--FuncDecl,1194669275244548559--main
119349426111734259573351--ArrayRef,11934942611173425957335192121--arr
11949770213514164221576154835--ExprList,1194977021351416422157615483540677---
119497702--Compound,11949770236291--Decl
119497702--Compound,11949770222026--FuncCall
1194977028459191155--/,119497702845919115536944--sizeof
11949770225491--Decl,1194977022549176646--InitList
1194977024665269130--n4,119497702466526913032198--int
1194977022174287379867705809841658---,119497702217428737986770580984165830114--1
119497702362915539--InitList,11949770236291553923416--3
119497702217428737986770--FuncCall,11949770221742873798677058098--ExprList
11949770249508145702950--sizeof,1194977024950814570295026779--arr5
1193512953587016304424857129--high,119351295358701630442485712985682--int
11949770246652429291269--sizeof,1194977024665242929126916794--ArrayRef
11949770231431698948515--arr1,1194977023143169894851578428--int
1194977021864453355--InitList,119497702186445335568338--4
1194977021158316846492--sizeof,119497702115831684649224201--arr8
11935129535870--FuncDecl,1193512953587035314--findMin
11949770236324653271582050646--ArrayRef,1194977023632465327158205064616345--0
1194977022418752858--ExprList,119497702241875285817211--FuncCall
119466927--Decl,11946692752445--FuncDecl
119351295358701630717881448367246--arr,11935129535870163071788144836724638460--int
11949770255488188749022559613705---,1194977025548818874902255961370526129--1
1194977029774825900--ExprList,119497702977482590085555--"The minimum element is %d\n"
11949770269173049860987--FuncCall,1194977026917304986098745412--ExprList
11949770297748--FuncCall,1194977029774859600--printf
1194977025548818874902255961--ExprList,119497702554881887490225596169184--arr1
11949770224187--FuncCall,1194977022418752858--ExprList
11949770222026703854720773050--ExprList,119497702220267038547207730509496--arr5
11949770288739611793973334876--ExprList,1194977028873961179397333487693874--0
119349426111734905289202--<,11934942611173490528920211014--ArrayRef
11949770222026--FuncCall,1194977022202625498--printf
11934942611173490528920281158--ArrayRef,1193494261117349052892028115867737--mid
1194977024344140591--InitList,119497702434414059188189--3
1194977023632465327--/,119497702363246532715820--sizeof
11949770222181158099358551472--ArrayRef,1194977022218115809935855147247152--0
119497702887396117939733--FuncCall,11949770288739611793973334876--ExprList
119349426578347291244069--ArrayRef,11934942657834729124406939684--low
11949770211583168--/,1194977021158316858523--sizeof
1193494263615977674--FuncCall,119349426361597767466086--ExprList
1194977021351416422157615483540677---,119497702135141642215761548354067723328--1
11949770277052--FuncCall,119497702770523444--ExprList
119497702362915539--InitList,11949770236291553932804--4
11934942611173490528920211014--ArrayRef,1193494261117349052892021101495993--+
119497702554881887--ExprList,11949770255488188739192--"The minimum element is %d\n"
1194977024950876804--n5,119497702495087680435231--int
1194977021351416422157615483540677---,119497702135141642215761548354067767886--n4
11949770222026703854720773050--ExprList,1194977022202670385472077305011119---
119349426578342006--==,11934942657834200681958--low
1194977022174287379867705809841658---,119497702217428737986770580984165862712--n2
1193--FuncDef,119349426--Compound
1194977022549176646--InitList,119497702254917664690998--2
119349426248891317958807376577894---,11934942624889131795880737657789456961--mid
119497702--Compound,1194977026639--Decl
11949770277052344465281337668854---,1194977027705234446528133766885493771--1
119349426248891317958807376577894---,11934942624889131795880737657789413504--1
1194977021351416422--ExprList,119497702135141642215761--FuncCall
119349426248893624385357--ArrayRef,1193494262488936243853573491--mid
1194977025602086186--InitList,119497702560208618640122--3
11949770211583168--/,1194977021158316846492--sizeof
11949770266395462288055--sizeof,1194977026639546228805579256--arr2
11949770211583--Decl,119497702115833042--n8
119349426--Compound,11934942657834--If
119497702221813842--n9,11949770222181384274620--int
119349426558986583749154--ArrayRef,11934942655898658374915418660--arr
119351295358701630--ParamList,11935129535870163071788--Decl
1194977024344140591--InitList,119497702434414059191144--7
11949770221742--FuncCall,1194977022174287379--ExprList
11949770223189--Decl,1194977022318938592--InitList
1194977029965420042423749043--ArrayRef,119497702996542004242374904374523--0
119497702241875285817211--FuncCall,11949770224187528581721121532--ExprList
119349426--Compound,11934942655898--If
1194977029774825900691560812--ExprList,119497702977482590069156081262124--arr6
119497702--Compound,11949770299654--Decl
1193--FuncDef,119351295--Decl
119497702258473258346206--sizeof,11949770225847325834620613428--arr1
1194977025602086186--InitList,119497702560208618617346--1
119497702220267038547207--FuncCall,1194977022202670385472071782--findMin
119349426--Compound,11934942611173--If
1194977029774825900691560812--ExprList,119497702977482590069156081244029---
11949770213514--FuncCall,1194977021351446619--printf
11949770213514164221576154835--ExprList,1194977021351416422157615483524521--0
119497702217428737986770--FuncCall,11949770221742873798677073883--findMin
119497702466524292--/,11949770246652429269995--sizeof
119497702--Compound,11949770211583--Decl
11934942655898974961829343385--ExprList,1193494265589897496182934338521324--arr
1194977028459191155--/,119497702845919115546145--sizeof
119349426111734905289202--<,11934942611173490528920281158--ArrayRef
1193512953587016302737527045--low,119351295358701630273752704545065--int
119349426248891317--&&,11934942624889131795880--<
11949770284591--Decl,1194977028459191155--/
11949770266395462238309--sizeof,1194977026639546223830925900--ArrayRef
11949770221742873798677058098--ExprList,1194977022174287379867705809899861--arr2
119349426578342006--==,11934942657834200668279--high
119497702845919115546145--sizeof,11949770284591911554614549782--ArrayRef
11949770299654200424237--sizeof,1194977029965420042423749043--ArrayRef
119497702554881887--ExprList,11949770255488188749022--FuncCall
11949770297748259006915--FuncCall,1194977029774825900691522389--findMin
119497702--Compound,11949770225491--Decl
119497702663936040--n2,11949770266393604024095--int
11949770277052344465281--FuncCall,119497702770523444652813376--ExprList
119497702691730498--ExprList,11949770269173049860987--FuncCall
119497702--Compound,11949770224187--FuncCall
119497702362914013233762--arr2,11949770236291401323376275614--int
1194977029774825900--ExprList,11949770297748259006915--FuncCall
1194977022202670385--ExprList,119497702220267038578330--"The minimum element is %d\n"
119497702996542004--/,11949770299654200433358--sizeof
11949770236291--Decl,1194977023629140132--ArrayDecl
1194977023632465327--/,119497702363246532717871--sizeof
119349426992391790555650--ArrayRef,11934942699239179055565086952--0
11949770284591911554614549782--ArrayRef,1194977028459191155461454978281703--arr3
1--FileAST,1193--FuncDef
11934942655898974961829343385--ExprList,1193494265589897496182934338544590---
119349426578347291244069--ArrayRef,11934942657834729124406941544--arr
11949770213514--FuncCall,1194977021351416422--ExprList
1194977029774825900691560812--ExprList,119497702977482590069156081299790--0
1194669275244548559--main,119466927524454855918831--int
1194977026639--Decl,119497702663954622--/
1194977026639--Decl,119497702663936040--n2
119349426992391790555650--ArrayRef,11934942699239179055565034512--arr
1194977028583431525--InitList,119497702858343152590307--1
1193494265589865837-->,119349426558986583749154--ArrayRef
1194977026639546223830925900--ArrayRef,119497702663954622383092590066169--arr2
1194977028459132534--n3,119497702845913253482907--int
119497702--Compound,11949770225847--Decl
1194977022418752858172112153257480---,119497702241875285817211215325748091324--1
119349426111734259573351--ArrayRef,11934942611173425957335180745--+
119497702221811580993585--sizeof,11949770222181158099358551472--ArrayRef
1193494261117349052892021101495993--+,119349426111734905289202110149599385773--mid
11934942611173490528920211014--ArrayRef,1193494261117349052892021101435624--arr
11949770255488--FuncCall,119497702554881887--ExprList
11934942611173--If,1193494261117342595--Return
1194977023143194850--InitList,119497702314319485033679--5
119349426565614645--+,11934942656561464584081--low
1193494265783472912--Return,119349426578347291244069--ArrayRef
1194977021864453355--InitList,119497702186445335597894--2
1194--FuncDef,119466927--Decl
119497702770523444652813376--ExprList,11949770277052344465281337668854---
1193494261117349052892021101495993--+,119349426111734905289202110149599345724--1
119349426361597767466086--ExprList,1193494263615977674660868022--high
1194977022584799681--n1,119497702258479968158540--int
119497702770523444--ExprList,11949770277052344488199--"The minimum element is %d\n"
11949770256020--Decl,1194977025602013600--ArrayDecl
11949770221742--FuncCall,119497702217423544--printf
11949770224187528581721121532--ExprList,1194977022418752858172112153278919--arr8
11949770222181158099358551472--ArrayRef,1194977022218115809935855147286043--arr9
1194977022584732583--/,119497702258473258346206--sizeof
11935129535870--FuncDecl,119351295358701630--ParamList
11934942624889--If,1193494262488936243--Return
1193494261117349052--&&,119349426111734905289202--<
11949770236291--Decl,119497702362915539--InitList
119349426248891317--&&,1193494262488913173139-->
119497702466524292--/,11949770246652429291269--sizeof
1194977026639546223830925900--ArrayRef,119497702663954622383092590083890--0
1194977024665242929126916794--ArrayRef,119497702466524292912691679430594--arr4
11949770255488--FuncCall,1194977025548893723--printf
119497702--Compound,11949770243441--Decl
11949770299654--Decl,119497702996542004--/
1194977029965420042423749043--ArrayRef,119497702996542004242374904347995--arr7
119497702--Compound,11949770285834--Decl
119497702--Compound,11949770221742--FuncCall
11949770222181158091458--sizeof,1194977022218115809145860395--arr9
11949770224187528581721121532--ExprList,1194977022418752858172112153257480---
11949770225847325831233849306--ArrayRef,1194977022584732583123384930661709--0
11949770269173049860987--FuncCall,119497702691730498609871938--findMin
11949770222026--FuncCall,1194977022202670385--ExprList
119497702--Compound,11949770297748--FuncCall
119497702663954622--/,11949770266395462288055--sizeof
1194977022202670385472077305011119---,119497702220267038547207730501111930158--1
11949770222181--Decl,119497702221813842--n9
1194977025602086186--InitList,119497702560208618632344--6
119497702--Compound,11949770255488--FuncCall
11949770255488188749022--FuncCall,1194977025548818874902233890--findMin
11949770288739--FuncCall,119497702887395537--printf
1194977028873961179--ExprList,119497702887396117939733--FuncCall
1194977023143194850--InitList,119497702314319485074215--3
11949770224187--FuncCall,1194977022418799164--printf
119497702115831685852374831--ArrayRef,11949770211583168585237483138487--0
1194977024344140591--InitList,119497702434414059195276--5
11934942624889--If,119349426248891317--&&
119349426558989749618293--FuncCall,11934942655898974961829343385--ExprList
1194977026917--FuncCall,119497702691730498--ExprList
11949770256020--Decl,1194977025602086186--InitList
1194977024344129747--ArrayDecl,119497702434412974785804--arr7
11949770225847325831233849306--ArrayRef,1194977022584732583123384930635227--arr1
119497702115833042--n8,11949770211583304284961--int
11934942655898974961829343385--ExprList,1193494265589897496182934338540205--low
11935129535870163071788--Decl,1193512953587016307178814483--ArrayDecl
1194977028873961179397333487664618---,119497702887396117939733348766461831361--n7
1193494262488913179588041473--ArrayRef,119349426248891317958804147350517--arr
1194977024344140591--InitList,119497702434414059155860--1
11949770285834--Decl,11949770285834887--ArrayDecl
11949770285834--Decl,1194977028583431525--InitList
11949770288739--FuncCall,1194977028873961179--ExprList
11949770249508--Decl,1194977024950814570--/
1194977024344140591--InitList,119497702434414059150943--4
119497702362915539--InitList,11949770236291553994355--2
119497702--Compound,11949770277052--FuncCall
1194977024665242929126916794--ArrayRef,119497702466524292912691679434399--0
1193494262488913173139-->,119349426248891317313945713--mid
1193494262488913173139-->,11934942624889131731393785--low
1193494261117349052--&&,119349426111734905293656--<
1194977028873961179--ExprList,119497702887396117932608--"The minimum element is %d\n"
119497702770523444--ExprList,11949770277052344465281--FuncCall
1194977026671643307--ArrayDecl,11949770266716433079092--arr3
119497702--Compound,11949770284591--Decl
1194977022202670385472077305011119---,119497702220267038547207730501111939198--n5
1193494269923917905--Return,119349426992391790555650--ArrayRef
1193494265656146457608377393---,119349426565614645760837739376913--low
1194977025602086186--InitList,119497702560208618659323--2
1194977023143194850--InitList,119497702314319485040929--2
11934942655898--If,1193494265589865837-->
11934942624889131795880--<,1193494262488913179588073765--ArrayRef
11934942699239--If,1193494269923917905--Return
11949770225491--Decl,1194977022549187180--ArrayDecl
119497702--Compound,11949770213514--FuncCall
119497702186444263--ArrayDecl,11949770218644426324804--arr8
1193494265589897496182934338544590---,119349426558989749618293433854459036114--1
11934942699239--If,119349426992393344--<
11949770255488188749022559613705---,1194977025548818874902255961370545731--n1
