11932221--sizeof,119322211--A
1193--FuncDef,11931--Decl
11932--Compound,119323--Decl
1193244122--=,11932441222--ArrayRef
119323--Decl,1193232--0
11932--Compound,119322--Decl
11932--Compound,119321--Decl
119325412--ExprList,1193254121--"%d "
119326--Return,1193261--0
1193252--<,11932522--n
1193254122--ArrayRef,11932541222--i
119325--For,1193254--Compound
119322221--ArrayRef,1193222211--A
1193244124--++,11932441241--j
1193254--Compound,11932541--FuncCall
1193212--InitList,11932125--6
1193212--InitList,11932128--0
1193244111--ArrayRef,11932441112--i
119311--FuncDecl,1193111--main
1193244123--=,11932441232--temp
11932441221--ArrayRef,119324412212--i
1193212--InitList,11932129--8
1193252--<,11932521--i
1193231--j,11932311--int
11932--Compound,119326--Return
1193242--<,11932422--n
11932441221--ArrayRef,119324412211--A
119325--For,1193253--++
1193221--n,11932211--int
11932111--A,119321111--int
1193251--DeclList,11932511--Decl
119324412--Compound,1193244124--++
119325111--i,1193251111--int
11932441212--ArrayRef,119324412121--A
11932441--If,119324412--Compound
1193244121--Decl,11932441211--temp
11932--Compound,119324--For
11932511--Decl,119325112--0
11932441--If,119324411--!=
119325412--ExprList,1193254122--ArrayRef
1193212--InitList,11932123--0
11932--Compound,119325--For
1193--FuncDef,11932--Compound
119321--Decl,1193211--ArrayDecl
11932441211--temp,119324412111--int
119322--Decl,1193222--/
119322--Decl,1193221--n
119324411--!=,1193244111--ArrayRef
1193244122--=,11932441221--ArrayRef
119324--For,1193242--<
119321--Decl,1193212--InitList
11932511--Decl,119325111--i
1193242--<,11932421--i
1193243--++,11932431--i
1193244123--=,11932441231--ArrayRef
1193254122--ArrayRef,11932541221--A
1193222--/,11932221--sizeof
119324111--i,1193241111--int
1193212--InitList,11932124--4
1193222--/,11932222--sizeof
119325--For,1193252--<
1193244121--Decl,11932441212--ArrayRef
1193212--InitList,11932127--9
119324--For,1193241--DeclList
119324412--Compound,1193244123--=
119324412--Compound,1193244122--=
1193212--InitList,11932122--6
11932441231--ArrayRef,119324412311--A
119324411--!=,1193244112--0
119323--Decl,1193231--j
11932441231--ArrayRef,119324412312--j
119324--For,1193244--Compound
119322221--ArrayRef,1193222212--0
1193212--InitList,11932126--0
1193244111--ArrayRef,11932441111--A
11932411--Decl,119324111--i
119324--For,1193243--++
1193111--main,11931111--int
1--FileAST,1193--FuncDef
1193244--Compound,11932441--If
11932441222--ArrayRef,119324412221--A
1193241--DeclList,11932411--Decl
11931--Decl,119311--FuncDecl
11932222--sizeof,119322221--ArrayRef
11932441222--ArrayRef,119324412222--j
1193253--++,11932531--i
11932541--FuncCall,119325412--ExprList
119325--For,1193251--DeclList
119324412--Compound,1193244121--Decl
11932541--FuncCall,119325411--printf
1193211--ArrayDecl,11932111--A
11932441212--ArrayRef,119324412122--i
11932411--Decl,119324112--0
1193212--InitList,11932121--5
