1193326077031847932749167017--arr_size,1193326077031847932749167017238--int
1193--FuncDef,119332922--Compound
119472974--Compound,11947297438493--Decl
119472974--Compound,11947297453070--Decl
119332922--Compound,11933292210152--Decl
119481781570029841--main,11948178157002984197915--int
119472974--Compound,11947297435857--Decl
11933292228555295504024472209---,1193329222855529550402447220953419--ArrayRef
1194729745839736585--ExprList,119472974583973658597094--target
1194729743585732224--InitList,119472974358573222440217--4
11947297453070--Decl,1194729745307037501--arr_size
11933260770318479327491--Decl,1193326077031847932749167017--arr_size
11933260770318479326387099619--ArrayDecl,1193326077031847932638709961939775--arr
1193329222855529550617766499341083--ArrayRef,119332922285552955061776649934108342184--s
1194729743585732224--InitList,11947297435857322241286--6
1194729743585732224--InitList,119472974358573222414655--45
119332922285552955061776--If,11933292228555295506177664993--==
11933260770318479327234856825--target,1193326077031847932723485682568757--int
1194817815700--FuncDecl,119481781570029841--main
1194729743585732224--InitList,11947297435857322249360--10
119332922--Compound,11933292228555--For
1193326077031847932638709961939775--arr,119332607703184793263870996193977588890--int
1193329222855555342--<,119332922285555534258399--i
1193329224476710998--temp,119332922447671099858863--int
1193329222855555342--<,119332922285555534223247--arr_size
11933260770318--FuncDecl,1193326077031830247--printPairs
1--FileAST,1193--FuncDef
119332607--Decl,11933260770318--FuncDecl
1194729745839736585--ExprList,119472974583973658576260--arr_size
11933292228555295506177668730494--ExprList,1193329222855529550617766873049485637--"Pair with given sum %d is (%d, %d) \n"
1193329222855529550402447220953419--ArrayRef,119332922285552955040244722095341949046--i
1193--FuncDef,119332607--Decl
1193329222855529550674791112--ArrayRef,11933292228555295506747911124680--s
1193329222855535527--=,119332922285553552770747--i
119472974358578955532091--A,11947297435857895553209169608--int
119472974530703787327280787--ArrayRef,11947297453070378732728078798974--0
119472974530703787339709--sizeof,1194729745307037873397097471--A
11933292244767--Decl,1193329224476710998--temp
11933292228555295506177668730--FuncCall,11933292228555295506177668730494--ExprList
1193329222855589040--++,119332922285558904085907--i
11933292228555295506177668730494--ExprList,1193329222855529550617766873049493225--temp
11933292228555--For,1193329222855529550--Compound
119472974--Compound,11947297458397--FuncCall
119332922285552955067479111211593--ArrayRef,11933292228555295506747911121159360355--i
1194729745307037873--/,119472974530703787339709--sizeof
1194729745839736585--ExprList,119472974583973658548774--A
11933292228555295506177668730494--ExprList,1193329222855529550617766873049490099--target
11947297458397--FuncCall,1194729745839736585--ExprList
119332922657766627--i,11933292265776662735649--int
119332607703184793272348--Decl,11933260770318479327234856825--target
1194729745307037873--/,119472974530703787327280--sizeof
1194729743585732224--InitList,119472974358573222472175--1
119332922--Compound,11933292244767--Decl
1193329222855529550617766873049471459--ArrayRef,119332922285552955061776687304947145921422--i
11947297495284--Return,1194729749528439763--0
11933292228555295506177664993--==,1193329222855529550617766499341083--ArrayRef
119332922285552955067479--=,11933292228555295506747943843--1
1193329222855529550617766499341083--ArrayRef,119332922285552955061776649934108345801--temp
119332607703184793263870--Decl,11933260770318479326387099619--ArrayDecl
1193329222855529550617766873049471459--ArrayRef,119332922285552955061776687304947145957192--arr
1193326077031847932--ParamList,119332607703184793263870--Decl
119472974--Compound,1194729744470--FuncCall
119332922285552955040244--=,11933292228555295504024428418--temp
11933292228555--For,1193329222855535527--=
11947297438493--Decl,1194729743849320525--target
1193329222855529550--Compound,119332922285552955040244--=
119332922--Compound,1193329226577--Decl
1193329221015274548--InitList,119332922101527454810269--0
1193329221015278665--ArrayDecl,119332922101527866568183--s
1193329226577--Decl,119332922657766627--i
11933292228555295504024472209---,119332922285552955040244722097194--target
1193329221015278665--ArrayDecl,119332922101527866567073--100000
11947297458397--FuncCall,119472974583975353--printPairs
11947297435857--Decl,1194729743585789555--ArrayDecl
11933292210152--Decl,1193329221015278665--ArrayDecl
1193326077031847932--ParamList,11933260770318479327491--Decl
11947297435857--Decl,1194729743585732224--InitList
119472974--Compound,11947297495284--Return
119472974530703787327280--sizeof,119472974530703787327280787--ArrayRef
119481781--Decl,1194817815700--FuncDecl
1194729744470--FuncCall,119472974447097700--getchar
11947297453070--Decl,1194729745307037873--/
11933292228555--For,1193329222855555342--<
119332922285552955061776--If,11933292228555295506177668730--FuncCall
11933260770318--FuncDecl,1193326077031847932--ParamList
1193329222855529550--Compound,119332922285552955067479--=
119332922285552955067479--=,1193329222855529550674791112--ArrayRef
11933292228555--For,1193329222855589040--++
1193329222855535527--=,119332922285553552781446--0
1194729743849320525--target,119472974384932052598859--int
1194729743585732224--InitList,119472974358573222448932--8
119472974530703787327280787--ArrayRef,11947297453070378732728078726855--A
1194729743585789555--ArrayDecl,119472974358578955532091--A
119332922285552955040244--=,11933292228555295504024472209---
119332922285552955067479111211593--ArrayRef,11933292228555295506747911121159323324--arr
1193329222855529550--Compound,119332922285552955061776--If
11933292228555295506177668730--FuncCall,1193329222855529550617766873015186--printf
1--FileAST,1194--FuncDef
11933292228555295506177668730494--ExprList,1193329222855529550617766873049471459--ArrayRef
11933292210152--Decl,1193329221015274548--InitList
1194--FuncDef,119472974--Compound
119332922101527866568183--s,11933292210152786656818347475--int
1193326077031830247--printPairs,119332607703183024714033--void
1193326077031847932--ParamList,119332607703184793272348--Decl
1193329222855529550402447220953419--ArrayRef,119332922285552955040244722095341911109--arr
11933292228555295506177664993--==,119332922285552955061776649934241--1
1193329222855529550674791112--ArrayRef,119332922285552955067479111211593--ArrayRef
1194729745307037501--arr_size,119472974530703750110876--int
11947297438493--Decl,119472974384939479--16
1194--FuncDef,119481781--Decl
