114004043561418618764312490--new_data,11400404356141861876431249093266--int
11400404356125672--append,1140040435612567267982--void
11958023039330197--StructRef,1195802303933019718169--data
11958029117087118--Compound,1195802911708711887518--=
11958027985826788--StructRef,1195802798582678879463--last
1195802911708711887518--=,119580291170871188751824420--*
1195802149307299988349--Typename,119580214930729998834923891--PtrDecl
1195802911708711887518--=,119580291170871188751883076--new_node
1195802--Compound,119580288521--=
11958023039330197--StructRef,1195802303933019742178--new_node
11958021859646365--!=,1195802185964636582922--StructRef
11--FuncDef,1140040--Decl
1195802--Compound,119580230393--=
11958021859646365--!=,1195802185964636598517--NULL
1195802185964636582922--StructRef,119580218596463658292252438--last
11958027985826788--StructRef,1195802798582678892134--next
11958021859669889--=,1195802185966988970593--last
114004043561418614222351136589516060--head_ref,11400404356141861422235113658951606026362--Node
1140040435614186142223511365895--PtrDecl,114004043561418614222351136589516060--head_ref
114004043561--FuncDecl,11400404356125672--append
11958029117086418--==,1195802911708641845905--*
119580291170--If,11958029117086418--==
119580230393--=,11958023039373483--new_data
1--FileAST,11--FuncDef
11958021859669889--=,1195802185966988957843--StructRef
1195802185966988957843--StructRef,119580218596698895784339166--next
1195802974068469--*,119580297406846942589--head_ref
11958021493072999330175610155701--sizeof,1195802149307299933017561015570152151--Typename
119580230393--=,11958023039330197--StructRef
119580218596--While,11958021859646365--!=
119580214930729993301756101--ExprList,11958021493072999330175610155701--sizeof
1195802149307299933017--FuncCall,119580214930729993301756101--ExprList
11958021493072999--Cast,1195802149307299988349--Typename
1140040435614186187643--Decl,114004043561418618764312490--new_data
119580214930729998834923891--PtrDecl,11958021493072999883492389122770--None
11400404356141861422235113--PtrDecl,1140040435614186142223511365895--PtrDecl
11958029117086418--==,1195802911708641849950--NULL
1140040--Decl,114004043561--FuncDecl
11--FuncDef,1195802--Compound
1195802149307299933017--FuncCall,119580214930729993301718442--malloc
1195802--Compound,119580214930--Decl
11958021493072999883492389122770--None,1195802149307299988349238912277029883--Node
11958028852180013--StructRef,1195802885218001366867--next
119580279858--=,11958027985883315--new_node
119580214930--Decl,11958021493072999--Cast
119580214930729993301756101557015215197208--None,11958021493072999330175610155701521519720837710--Node
1195802--Compound,119580291170--If
1195802--Compound,119580297406--Decl
119580297406--Decl,1195802974068469--*
11958021493072999--Cast,1195802149307299933017--FuncCall
119580214930--Decl,11958021493047724--PtrDecl
11958021493047724--PtrDecl,1195802149304772418945--new_node
119580297406968528390--last,11958029740696852839033711--Node
1195802185964636582922--StructRef,119580218596463658292238750--next
11958029117087118--Compound,1195802911708711881458--Return
11958028852180013--StructRef,1195802885218001372358--new_node
11400404356141861--ParamList,1140040435614186142223--Decl
11958029740696852--PtrDecl,119580297406968528390--last
119580297406--Decl,11958029740696852--PtrDecl
119580279858--=,11958027985826788--StructRef
1195802--Compound,119580279858--=
1195802--Compound,119580279219--Return
1140040435614186142223--Decl,11400404356141861422235113--PtrDecl
119580291170871188751824420--*,11958029117087118875182442095153--head_ref
114004043561--FuncDecl,11400404356141861--ParamList
11400404356141861--ParamList,1140040435614186187643--Decl
1195802149307299933017561015570152151--Typename,119580214930729993301756101557015215197208--None
119580288521--=,11958028852180013--StructRef
1195802911708641845905--*,119580291170864184590522668--head_ref
1195802149304772418945--new_node,119580214930477241894586733--Node
119580288521--=,11958028852116655--NULL
1195802--Compound,119580218596--While
1195802185966988957843--StructRef,119580218596698895784348223--last
119580218596--While,11958021859669889--=
119580291170--If,11958029117087118--Compound
