119570908--Compound,11957090862303--For
11942405426950227883840--Decl,1194240542695022788384096793--i
11938475762922--For,1193847576292245245--If
11947671489952--FuncDecl,1194767148995276617--modifyAndRearrangeArr
1193847576292245245944837803933228--++,119384757629224524594483780393322883813--count
119643999--Compound,11964399942193--FuncCall
11942405476182--If,1194240547618236057--==
119570908623036082492294--Decl,11957090862303608249229497949--i
1193847576292253569--++,119384757629225356938432--i
119424054269502703884187148581658555334--ArrayRef,11942405426950270388418714858165855533475501--+
1195--FuncDef,119540687--Decl
1196439992973355451--InitList,119643999297335545183315--6
1193847571099086857387497856--++,11938475710990868573874978565440--count
1195406879832226785--printArray,119540687983222678582797--void
119384757109908685--=,11938475710990868573874--ArrayRef
11964399910228--FuncCall,1196439991022811880--ExprList
1194767148995276617--modifyAndRearrangeArr,119476714899527661754966--void
1193847575064--Decl,119384757506417969--count
11964399945126--FuncCall,1196439994512696673--printf
119424054--Compound,11942405426950--For
1194240542695027038841878698--Compound,119424054269502703884187869813595--=
11964399965294--FuncCall,1196439996529496649--ExprList
119570908623039085293585--ExprList,11957090862303908529358568346--"%d "
11957090862303608249229497949--i,1195709086230360824922949794919507--int
1196439991437012554--ExprList,119643999143701255416960--n
119384757109906266--<,11938475710990626672155--count
119384757109906266--<,11938475710990626668782--n
1195709086230312030--++,119570908623031203089509--i
119384757629227032297587--Decl,11938475762922703229758773150--i
119384757--Compound,11938475762922--For
11964399914370--FuncCall,1196439991437012554--ExprList
119643999--Compound,11964399910228--FuncCall
11938475762922452459448378771--ArrayRef,1193847576292245245944837877136484--arr
1193481308029039881520614544649183--arr,119348130802903988152061454464918334388--int
119643999--Compound,11964399945126--FuncCall
11957090862303--For,1195709086230360824--DeclList
11942405426950270388418786981359585596534--ArrayRef,1194240542695027038841878698135958559653434302--i
1196439992973355451--InitList,119643999297335545169429--0
119643999--Compound,1196439998143--Return
1193847576292245245782027721--ArrayRef,119384757629224524578202772143978--i
11938475762922--For,1193847576292253569--++
11934813080290--FuncDecl,1193481308029039881--ParamList
119384757629224524578202--!=,1193847576292245245782027721--ArrayRef
1193847575064--Decl,119384757506447102--0
11957090862303908529358552233--ArrayRef,1195709086230390852935855223388443--i
119643999153059212139238--sizeof,11964399915305921213923844315--ArrayRef
1194240542695027038841878698135958559--*,119424054269502703884187869813595855989805--2
1196439992973355451--InitList,119643999297335545161625--0
1194240542695027038841878698--Compound,119424054269502703884187869812708--=
11964399942193--FuncCall,1196439994219389435--modifyAndRearrangeArr
1194240542695021881--<,119424054269502188147443--i
1196--FuncDef,119612868--Decl
1194240547618236057--==,119424054761823605799257--1
1196439991530534354--n,11964399915305343545680--int
11942405476908--FuncCall,1194240547690869851--ExprList
119424054269502703884187--If,11942405426950270388418714858--&&
119384757--Compound,1193847575064--Decl
119424054269502188146004---,11942405426950218814600443043--1
1196439991437012554--ExprList,119643999143701255442409--arr
11957090862303--For,1195709086230390852--FuncCall
11938475710990--While,119384757109906266--<
119424054--Compound,11942405476908--FuncCall
1194240547690869851--ExprList,119424054769086985184996--n
11942405426950270388418786981359579837--ArrayRef,119424054269502703884187869813595798379339--i
11938475762922--For,1193847576292261638--<
1194240547618236057--==,119424054761823605773545--n
1196439998143--Return,119643999814382319--0
11954068798322--FuncDecl,1195406879832263116--ParamList
11964399942193--FuncCall,119643999421937225--ExprList
119643999--Compound,11964399965294--FuncCall
11934813080290398813649--Decl,1193481308029039881364976161--n
1193481308029039881364976161--n,119348130802903988136497616151144--int
1196439992973355451--InitList,119643999297335545134137--2
11964399915305--Decl,1196439991530592121--/
1--FileAST,1196--FuncDef
11964399929733--Decl,1196439992973368833--ArrayDecl
11942405426950270388418786981270837152--ArrayRef,1194240542695027038841878698127083715220745--arr
1194240542695022788384096793--i,119424054269502278838409679350104--int
1194240542695027038841871485833593--!=,119424054269502703884187148583359376964--ArrayRef
119424054269502703884187869812708--=,11942405426950270388418786981270845471--0
