119427--Decl,1194271--i
11942842--=,119428422--*
1194284222--ArrayRef,11942842221--arr
119621--Decl,1196212--InitList
11942112212--*,119421122122--P
1--FileAST,1196--FuncDef
11962221--sizeof,119622211--arr
11931--FuncDecl,119312--fact
1--FileAST,1194--FuncDef
1196211--ArrayDecl,11962111--arr
11931--FuncDecl,119311--ParamList
11942--Compound,119426--Decl
11941--Decl,119411--FuncDecl
119422--Decl,1194222--1
119428--For,1194282--<
1196212--InitList,11962123--4
119428--For,1194284--Compound
1194111111--arr,11941111111--int
11962111--arr,119621111--int
11942--Compound,119427--Decl
11942132--/,119421321---
1196212--InitList,11962126--3
11942142--ExprList,119421423--y
1194210--=,11942101--P
11942--Compound,119422--Decl
1--FileAST,1193--Decl
119429221--*,1194292211--n
1194271--i,11942711--int
11952--Compound,119521--Return
11942112211--*,119421122111--S
119411--FuncDecl,1194111--ParamList
11942922--/,119429222--2
1194282--<,11942822--size
1196--FuncDef,11961--Decl
1194292---,11942922--/
1194283--++,11942831--i
119411--FuncDecl,1194112--printRepeating
1194210--=,11942102--/
11942142--ExprList,119421421--"The two Repeating elements are %d & %d"
119426--Decl,1194262---
11942--Compound,119428--For
1193--Decl,11931--FuncDecl
11942--Compound,1194214--FuncCall
11952113221---,119521132212--1
11942--Compound,119425--Decl
119421321---,1194213211--S
1196212--InitList,11962125--2
119428--For,1194281--=
1194282--<,11942821--i
11942112--FuncCall,119421122--ExprList
119422--Decl,1194221--P
11961--Decl,119611--FuncDecl
11942922--/,119429221--*
1194231--x,11942311--int
119622--Decl,1196222--/
11942--Compound,1194211--=
11942--Compound,119429--=
11942142--ExprList,119421422--x
1194262---,11942622--2
119521132--FuncCall,1195211321--fact
11962--Compound,119625--Return
1196221--arr_size,11962211--int
1194241--y,11942411--int
1194214--FuncCall,11942141--printf
119421122--ExprList,1194211221---
11952113221---,119521132211--n
1194292212--+,11942922121--n
1194212--=,11942122--/
1194211--=,11942112--FuncCall
11942--Compound,1194212--=
11942102--/,119421022--FuncCall
119428422--*,1194284221--P
1193111--Decl,11931111--n
11962--Compound,119624--FuncCall
11942842--=,119428421--P
1196212--InitList,11962121--4
11942122--/,119421221--+
119521132--FuncCall,1195211322--ExprList
1194281--=,11942812--0
119421--Decl,1194211--S
11942841--=,119428412--+
119623--FuncCall,1196231--printRepeating
1194292212--+,11942922122--1
1194210222--ExprList,11942102221--n
1194292---,11942921--S
1194284222--ArrayRef,11942842222--i
1194214--FuncCall,11942142--ExprList
11962--Compound,119621--Decl
1196111--main,11961111--int
11942841--=,119428411--S
119311--ParamList,1193111--Decl
11962--Compound,119622--Decl
1196212--InitList,11962127--1
119423--Decl,1194231--x
1196212--InitList,11962122--2
119411111--ArrayDecl,1194111111--arr
119622221--ArrayRef,1196222211--arr
11942132--/,119421322--2
11942102--/,119421021--P
119425--Decl,1194251--D
1196212--InitList,11962124--5
1194111--ParamList,11941112--Decl
119421022--FuncCall,1194210221--fact
119312--fact,1193121--int
119622221--ArrayRef,1196222212--0
1194284--Compound,11942842--=
1195211322--ExprList,11952113221---
1195111--ParamList,11951111--Decl
119625--Return,1196251--0
11942--Compound,1194213--=
1196--FuncDef,11962--Compound
119421221--+,1194212211--D
1194111--ParamList,11941111--Decl
119511--FuncDecl,1195111--ParamList
11942122--/,119421222--2
1195211--TernaryOp,11952112--1
11942112--FuncCall,119421121--sqrt
1194284122--ArrayRef,11942841221--arr
1194211221---,11942112212--*
119429--=,1194291--S
1195--FuncDef,11951--Decl
11951111--Decl,119511111--n
1195112--fact,11951121--int
1196222--/,11962221--sizeof
1195--FuncDef,11952--Compound
1194251--D,11942511--int
119428422--*,1194284222--ArrayRef
11942112212--*,119421122121--4
11942--Compound,1194210--=
1194213--=,11942131--y
1194281--=,11942811--i
11941111--Decl,119411111--ArrayDecl
119421022--FuncCall,1194210222--ExprList
1194211--S,11942111--int
119621--Decl,1196211--ArrayDecl
119421--Decl,1194212--0
1194--FuncDef,11941--Decl
119424--Decl,1194241--y
1194212--=,11942121--x
119611--FuncDecl,1196111--main
11942112211--*,119421122112--S
1194221--P,11942211--int
119511111--n,1195111111--int
1195211--TernaryOp,11952113--*
11962222--sizeof,119622221--ArrayRef
11942--Compound,119423--Decl
1194112--printRepeating,11941121--void
119521--Return,1195211--TernaryOp
119421321---,1194213212--D
11931111--n,119311111--int
1196232--ExprList,11962321--arr
119421221--+,1194212212--S
1196232--ExprList,11962322--arr_size
119428412--+,1194284121--S
1194284--Compound,11942841--=
1196222--/,11962222--sizeof
119411121--size,1194111211--int
11952113--*,119521131--n
11951--Decl,119511--FuncDecl
1195211--TernaryOp,11952111--==
119428412--+,1194284122--ArrayRef
11952111--==,119521111--n
11942--Compound,119421--Decl
119429--=,1194292---
1194261--n,11942611--int
1194262---,11942621--size
119624--FuncCall,1196241--getchar
1194284122--ArrayRef,11942841222--i
119511--FuncDecl,1195112--fact
11962--Compound,119623--FuncCall
119426--Decl,1194261--n
119428--For,1194283--++
119623--FuncCall,1196232--ExprList
1194211221---,11942112211--*
11952113--*,119521132--FuncCall
11942--Compound,119424--Decl
11952111--==,119521112--0
1194211--=,11942111--D
1194213--=,11942132--/
1194--FuncDef,11942--Compound
119622--Decl,1196221--arr_size
11941112--Decl,119411121--size
119429221--*,1194292212--+
1--FileAST,1195--FuncDef
