119440543--Decl,11944054336969--FuncDecl
1193118172546026714--<,119311817254602671481310--last_index
119311817--Compound,11931181739221--Decl
119495180423450591818798225--/,11949518042345059181879822539092--n
1193118172546041037--=,119311817254604103718001--0
11931181739221778351671821868--/,1193118173922177835167182186810011--2
1193118172546071167951911103556232--==,119311817254607116795191110355623229570--ArrayRef
119397928110808491775191--Decl,11939792811080849177519159116--ArrayDecl
11949518042345016--FuncCall,1194951804234501611406--ExprList
1194951--Compound,119495145372--Decl
11931181725460711679519111035--&&,1193118172546071167951911103556232--==
11939792811080--FuncDecl,1193979281108084917--ParamList
11939792811080--FuncDecl,119397928110803945--isMajority
11949512025--Decl,1194951202596081--n
1194951804234505918187--ExprList,119495180423450591818785110--x
11949512025561243187389130--ArrayRef,1194951202556124318738913086977--0
119495180423--If,11949518042345016--FuncCall
11931181725460711679519183865--Return,1193118172546071167951918386588407--1
1194951--Compound,119495180423--If
11931181725460711679519111035--&&,1193118172546071167951911103562877--==
11949514537271873--ArrayDecl,1194951453727187391357--arr
11931181725460--For,1193118172546071167--Compound
119311817254607116795191110356287758714--ArrayRef,11931181725460711679519111035628775871472371--arr
1194951453721505--InitList,119495145372150598242--4
119495120255612431873--sizeof,11949512025561243187389130--ArrayRef
1193118173922145297--last_index,119311817392214529771194--int
119311817254607116795191--If,11931181725460711679519183865--Return
119311817254607116795191110356287758714--ArrayRef,11931181725460711679519111035628775871482933--+
1194951453721505--InitList,119495145372150521664--3
1194951804234501611406--ExprList,119495180423450161140669543--x
1194--FuncDef,119440543--Decl
1194951202556124--/,119495120255612431873--sizeof
119495130038--Decl,11949513003896716--4
119311817392217783516718--+,1193118173922177835167188646--1
11931181725460711679519111035628775871482933--+,1193118172546071167951911103562877587148293348697--i
1193--FuncDef,119397928--Decl
1194951804232314788051--ExprList,119495180423231478805177736--x
11949513003863322--x,1194951300386332227714--int
1193118172546071167951911103562877587148293343837--/,119311817254607116795191110356287758714829334383770022--2
1193118172546041037--=,119311817254604103768872--i
1194951804232314788051--ExprList,119495180423231478805195484--n
1193118172546026714--<,119311817254602671466058--i
1194951804234501611406--ExprList,119495180423450161140665851--"%d does not appear more than %d times in arr[]"
11949518042345059--FuncCall,1194951804234505918187--ExprList
119397928110803945--isMajority,11939792811080394536479--bool
119397928--Decl,11939792811080--FuncDecl
11931181739221778351671821868--/,1193118173922177835167182186878453--n
