119793044128013101314497--sizeof,11979304412801310131449725541--ArrayRef
1196125611841270300--<,119612561184127030091798--n
11979304469897--Decl,1197930446989767670--InitList
1194329317464--While,119432931746437970--&&
119432931746468245062492688193958040--ArrayRef,11943293174646824506249268819395804037507--arr
11934623967535--ParamList,1193462396753529731--Decl
119432931746468238779--++,11943293174646823877998871--pos
1195933796558868194--*,11959337965588681946510--b
1194329317464682--Compound,119432931746468238779--++
119793044--Compound,11979304412801--Decl
11943293174646824506249268--ExprList,1194329317464682450624926877113--&
11934623965144--swap,1193462396514416158--void
119432931746437970--&&,11943293174643797052548--<
1194329317464379707123117036--<,119432931746437970712311703624430--neg
11965975585158484301547852656--n,1196597558515848430154785265678045--int
1197930447887523791--ExprList,11979304478875237915587--n
11943293174643797052548--<,1194329317464379705254835798--ArrayRef
1196125611841275135--DeclList,119612561184127513529675--Decl
119583985--Decl,11958398527508--FuncDecl
119432936226483713--pos,11943293622648371373131--int
119432933480434539--<,11943293348043453966307--j
119583985275082614400706949825740--a,1195839852750826144007069498257402505--int
11958398527508261440070--Decl,1195839852750826144007069498--PtrDecl
119432931746468245062492687711330050--ArrayRef,11943293174646824506249268771133005097366--arr
1194329317464--While,1194329317464682--Compound
119432933480495041--DeclList,11943293348049504166826--Decl
119593379--Compound,11959337945276--Decl
1196125611841280110389425075--ArrayRef,119612561184128011038942507513744--i
119432933480498770--++,11943293348049877098996--j
119583985275082614--ParamList,11958398527508261446205--Decl
1193462396753547476--Decl,119346239675354747635156--PtrDecl
1194329362264--Decl,119432936226483713--pos
1195839852750814012--swap,119583985275081401272986--void
11979304478875--FuncCall,1197930447887523791--ExprList
1197930446989767670--InitList,119793044698976767020777--5
1194329317464682--Compound,119432931746468245062--FuncCall
1195933794527677379--*,119593379452767737946982--a
1196125611841270300--<,119612561184127030061237--i
1194419787159273279--ParamList,119441978715927327987852--Decl
1196125611841280110389425075--ArrayRef,119612561184128011038942507529471--arr
11943293514815313--neg,1194329351481531358795--int
119432933480458933370056439146850442257291--&,11943293348045893337005643914685044225729154744--ArrayRef
1194329334804589333700534930--<,119432933480458933370053493093729--0
11943293348045893337005--If,1194329334804589333700564391--Compound
11943293174643797071231--&&,1194329317464379707123145313--<
11943293--Compound,1194329362264--Decl
11961256118412751352967583357--i,1196125611841275135296758335769681--int
119432939693325562---,11943293969332556235824--1
119793044--Compound,11979304471344--Return
1196125611841280110--FuncCall,119612561184128011085788--printf
119432935148--Decl,11943293514846867--0
1197930446989767670--InitList,119793044698976767061551--2
119659755851584843015478--Decl,11965975585158484301547852656--n
11961256118412--For,1196125611841270300--<
11979304412801--Decl,1197930441280131013--/
1195--FuncDef,119583985--Decl
119612561184127513529675--Decl,11961256118412751352967523190--0
1194329334804--For,119432933480498770--++
119432933480458933370053493083485--ArrayRef,11943293348045893337005349308348539701--arr
1196597558515848430943748732094803--arr,119659755851584843094374873209480344592--int
11958398527508261446205--Decl,1195839852750826144620524754--PtrDecl
119432931746468245062492687711330050--ArrayRef,11943293174646824506249268771133005015240--neg
1--FileAST,1193--Decl
11943293348045893337005643914685044225729154744--ArrayRef,1194329334804589333700564391468504422572915474416610--arr
1197930446989767670--InitList,119793044698976767070393--4
119793044--Compound,11979304478875--FuncCall
11943293348045893337005643914685044225729154744--ArrayRef,1194329334804589333700564391468504422572915474420959--i
1--FileAST,1196--FuncDef
119441978715927327987852--Decl,11944197871592732798785288574--n
119583985275082614--ParamList,11958398527508261440070--Decl
11959337945276--Decl,1195933794527677379--*
11943293174643797052548--<,1194329317464379705254876217--0
119793044128013101393198--sizeof,11979304412801310139319829709--arr
11943293348049504166826--Decl,1194329334804950416682696168--j
1194329334804589333700534930--<,119432933480458933370053493083485--ArrayRef
1194329362264--Decl,11943293622644303--+
1194419787159229335--rearrange,119441978715922933593874--void
119432939693313088--i,11943293969331308875711--int
1194329334804--For,119432933480495041--DeclList
