11944329314701620270357--sizeof,1194432931470162027035727374--newarr
119443293552732111185038--newarr,11944329355273211118503847832--int
119443293147016202--/,1194432931470162022226--sizeof
119333582416078557086272--Decl,11933358241607855708627263036--size
11944329355273--Decl,1194432935527324072--InitList
119333582416078557042431741831833--arr,11933358241607855704243174183183311727--int
1194432935527324072--InitList,119443293552732407289902--5
1193157642476746109--DeclList,119315764247674610933563--Decl
1193157642476716396--Compound,119315764247671639624859--FuncCall
11933358241607--FuncDecl,1193335824160785570--ParamList
1194432935527321111--ArrayDecl,119443293552732111185038--newarr
119443293--Compound,1194432931470--Decl
1194432935527324072--InitList,119443293552732407299636--1
1193157642476736559--<,119315764247673655980631--i
119443293--Compound,11944329355273--Decl
119333582--Decl,11933358241607--FuncDecl
1193157642476716396248592212997037--ArrayRef,119315764247671639624859221299703747638--arr
11931576424767--For,1193157642476736559--<
11944329320920--FuncCall,1194432932092033992--printAllElementOfArray
1194432935527324072--InitList,119443293552732407238558--3
1194432932092031330--ExprList,11944329320920313302672--newarr
1194432931470162022226--sizeof,119443293147016202222643853--ArrayRef
119315764--Compound,11931576424767--For
1194432931470--Decl,119443293147090924--size
1194--FuncDef,119443293--Compound
11933358241607855704243--Decl,1193335824160785570424317418--ArrayDecl
11931576424767--For,1193157642476796367--++
1194783449934--FuncDecl,119478344993478922--main
1193335824160793396--printAllElementOfArray,119333582416079339622530--void
1--FileAST,1193--FuncDef
1193157642476716396248592212997037--ArrayRef,119315764247671639624859221299703781914--i
119443293--Compound,11944329320920--FuncCall
1193157642476796367--++,119315764247679636793766--i
119478344993478922--main,11947834499347892259700--int
1193157642476736559--<,119315764247673655915006--size
1193335824160785570--ParamList,11933358241607855704243--Decl
11933358241607855708627263036--size,1193335824160785570862726303680263--int
11931576424767--For,1193157642476716396--Compound
119443293147016202222643853--ArrayRef,11944329314701620222264385335039--newarr
1194432932092031330--ExprList,119443293209203133099255--size
1--FileAST,1194--FuncDef
11931576424767--For,1193157642476746109--DeclList
1194432935527324072--InitList,119443293552732407269269--4
1194432931470--Decl,119443293147016202--/
1193--FuncDef,119315764--Compound
11931576424767461093356342659--i,1193157642476746109335634265963581--int
11931576424767163962485922129--ExprList,1193157642476716396248592212997037--ArrayRef
119315764247671639624859--FuncCall,11931576424767163962485922129--ExprList
119315764247674610933563--Decl,11931576424767461093356342659--i
1194--FuncDef,11947834--Decl
119443293147090924--size,11944329314709092439940--int
11947834--Decl,1194783449934--FuncDecl
1193335824160785570--ParamList,119333582416078557086272--Decl
11944329320920--FuncCall,1194432932092031330--ExprList
1194432935527324072--InitList,119443293552732407219995--2
11944329355273--Decl,1194432935527321111--ArrayDecl
11933358241607--FuncDecl,1193335824160793396--printAllElementOfArray
119315764247674610933563--Decl,11931576424767461093356326225--0
1193335824160785570424317418--ArrayDecl,119333582416078557042431741831833--arr
119443293147016202--/,11944329314701620270357--sizeof
1193--FuncDef,119333582--Decl
119443293147016202222643853--ArrayRef,11944329314701620222264385357132--0
119315764247671639624859--FuncCall,11931576424767163962485917274--printf
11931576424767163962485922129--ExprList,1193157642476716396248592212960912--"%d\n"
