1193224246951--Decl,119322424695131518--first
11945245065175277459656295588--ArrayRef,1194524506517527745965629558819210--arr
11945245065175--Decl,1194524506517524118--n
119322429632664495211354727849236534--=,11932242963266449521135472784923653426712--third
119367502632756604--ParamList,11936750263275660437047--Decl
1193224245655263525101469545---,119322424565526352510146954524630--2147483648
1193224296326644952113547244402--Compound,11932242963266449521135472444028918--=
1193224296326644952119918772481--=,11932242963266449521199187724819388--ArrayRef
1194996834811963213--main,1194996834811963213274--int
119367502632756604--ParamList,11936750263275660496484--Decl
119322428610187990--ExprList,1193224286101879908776--first
1194524506400680924--InitList,119452450640068092417248--12
11932242963266449521141047-->,119322429632664495211410477182--first
11945245064006--Decl,1194524506400680924--InitList
119322429632664495--Compound,119322429632664495211--If
11932242963266449521199187--Compound,119322429632664495211991873854--=
11932242321843361--i,1193224232184336179785--int
119322429632664495211--If,11932242963266449521135472--If
1193224248353--Decl,119322424835343064--second
119322429632664495211354722557092002--ArrayRef,11932242963266449521135472255709200298768--i
1194524506517527745--/,119452450651752774596562--sizeof
1193224260135--Decl,119322426013561359--third
119367502632756604964843567--arr_size,11936750263275660496484356713110--int
119322429632664495211354727849282627-->,11932242963266449521135472784928262799501--ArrayRef
119367502--Decl,1193675026327--FuncDecl
119452450651752774596562--sizeof,11945245065175277459656295588--ArrayRef
1193224296326644952113547244402891840461--ArrayRef,119322429632664495211354724440289184046177747--arr
119322429632664495211354724440268214--=,11932242963266449521135472444026821489082--second
11936750263275660437047--Decl,1193675026327566043704738981--ArrayDecl
11932242963266449521135472--If,1193224296326644952113547225570-->
119322429632660016--<,11932242963266001674732--i
1193224296326644952113547244402891840461--ArrayRef,119322429632664495211354724440289184046124570--i
1193224245655--=,119322424565526327--third
11932242--Compound,1193224248353--Decl
11932242249123746--Compound,1193224224912374694434--Return
1193675026327566043704738981--ArrayDecl,119367502632756604370473898125230--arr
11932242963266449521135472784923653499064--ArrayRef,1193224296326644952113547278492365349906499005--arr
1--FileAST,1193--FuncDef
1193224296326644952114104791163--ArrayRef,1193224296326644952114104791163784--i
119322428610187990--ExprList,11932242861018799011916--third
119322426013561359--third,11932242601356135945958--int
119452450111849672--ExprList,11945245011184967236142--n
11945245087207--Return,1194524508720784564--0
11932242456552635251014--=,1193224245655263525101479288--second
11932242--Compound,1193224260135--Decl
