119428304161563492157716--Return,11942830416156349215771658734--minmax
1--FileAST,1193--Decl
1194283042419211100--<,119428304241921110033820--StructRef
11942830488114--If,1194283048811435164--Compound
119428304161563492169661--If,11942830416156349216966149706-->
119428304373263287097341--+,11942830437326328709734168969--high
11942830423529--=,1194283042352960616--FuncCall
119428304241921110033820--StructRef,11942830424192111003382068048--min
1195348622415442797--ExprList,119534862241544279791297--"nMinimum element is %d"
119428304--Compound,11942830416156--If
119428304496221139720953--StructRef,1194283044962211397209534852--max
1194283042419265674--=,119428304241926567484192--StructRef
1195--FuncDef,119534862--Compound
11942830416156475776272--+,1194283041615647577627266126--low
119428304161563492169661808248493--=,11942830416156349216966180824849337870--StructRef
119534862524684366599283--ExprList,1195348625246843665992835256---
1194283044962211397-->,119428304496221139770207--StructRef
1195348624144644498--InitList,119534862414464449899532--3000
1194283042419271929951--StructRef,119428304241927192995144884--min
1194283048811435164--Compound,11942830488114351642418--Return
119428304161563492169661263373375118895--StructRef,11942830416156349216966126337337511889558254--minmax
11942830416156349216966180824849337870--StructRef,1194283041615634921696618082484933787048548--minmax
11943157521044953963796366596--high,1194315752104495396379636659648486--int
119534862377819954--arr_size,11953486237781995430275--int
11943157521044953963660821533--ArrayDecl,1194315752104495396366082153361487--arr
11942830416156349216966149706-->,1194283041615634921696614970675114--ArrayRef
11942830486022--=,119428304860225650--mmr
119428304241921110084196--StructRef,11942830424192111008419626610--mml
119428304860222137630037--ExprList,11942830486022213763003779647--arr
11942830416156349216966126337924271054--ArrayRef,1194283041615634921696612633792427105486791--arr
11942830416156349216966126337924271902--StructRef,1194283041615634921696612633792427190244326--max
1194283048602221376--FuncCall,119428304860222137630037--ExprList
1195196114388--FuncDecl,119519611438849897--main
119428304496224971662018--StructRef,11942830449622497166201886223--max
1194283048811435164844158547--ArrayRef,11942830488114351648441585479824--low
1194283047397261910--mmr,1194283047397261910334--pair
119534862241544279757251--StructRef,11953486224154427975725184423--min
11943157521044--FuncDecl,1194315752104468103--getMinMax
11942830488114351646511732370--ArrayRef,1194283048811435164651173237093781--arr
119431575210449539636608--Decl,11943157521044953963660821533--ArrayDecl
1194283042352960616--FuncCall,119428304235296061679805--getMinMax
1194283041615634921696612633733751--=,119428304161563492169661263373375157442--ArrayRef
119534862--Compound,11953486252468--Decl
11953486237781--Decl,119534862377819954--arr_size
