11931939165459587773797813626--ArrayDecl,119319391654595877737978136263881--arr
11938564472346141632465--ArrayRef,1193856447234614163246584644---
1193856442963914795--Return,119385644296391479549591--0
1193856445729517115131930310866791975488699---,119385644572951711513193031086679197548869975149--1
119385644572951711513193031036859064680799--+,11938564457295171151319303103685906468079960614--i
119319391--Decl,11931939165459--FuncDecl
1193856445729708028105686336--i,119385644572970802810568633624648--int
119426485317150744--ArrayDecl,11942648531715074461128--arr
119418845--Decl,11941884534537--FuncDecl
1194264892220--Decl,119426489222049921--n
1193856445729517115131930310866791975488699---,119385644572951711513193031086679197548869939271--i
11938564457297483763721---,1193856445729748376372147006--n
1193856445729--For,119385644572951711--Compound
1194--FuncDef,11942648--Compound
11931939165459--FuncDecl,1193193916545958777--ParamList
11938564457295171151319303103685-->=,1193856445729517115131930310368522617--ArrayRef
1194188453453785412--main,119418845345378541230411--int
1193856444569854364-->=,11938564445698543642368--ArrayRef
1193856445729517115131930310368590646--ArrayRef,119385644572951711513193031036859064680799--+
11942648--Compound,1194264856418--Return
1194264892220--Decl,119426489222072424--/
119385644--Compound,11938564429639--If
11942648--Compound,1194264892220--Decl
1193856445729--For,119385644572970802--DeclList
11938564472343110314825---,1193856447234311031482585597--1
1193856442963914259--==,119385644296391425953643--n
119385644572974837--<,11938564457297483763721---
1193193916545958777--ParamList,119319391654595877737978--Decl
1--FileAST,1193--FuncDef
1193856447234614163103362679---,119385644723461416310336267945007--1
119385644723461416-->=,11938564472346141632465--ArrayRef
119385644723431103--Return,11938564472343110314825---
119385644572974837--<,11938564457297483749505--i
1194264856418--Return,119426485641879240--0
11938564445698543642368--ArrayRef,1193856444569854364236890689--1
11938564472346141631033--ArrayRef,1193856447234614163103362679---
1193856445729517115131930310368522617--ArrayRef,119385644572951711513193031036852261716330--arr
1193856445729517115131930310368590646--ArrayRef,119385644572951711513193031036859064610950--arr
1193856444569850646--Return,119385644456985064652760--0
11938564457295171151319--If,1193856445729517115131911144--Return
1193856445729517115131930310368522617--ArrayRef,119385644572951711513193031036852261773629--i
119426481839496910--ExprList,11942648183949691023697--"Index of a peak point is %d"
11942648183949691071841--FuncCall,1194264818394969107184177280--ExprList
1193856445729517115131911144--Return,119385644572951711513191114442016--i
11942648--Compound,1194264853171--Decl
1193856444569854364-->=,119385644456985436485618--ArrayRef
11938564457295171151319303108667972305--ArrayRef,1193856445729517115131930310866797230596193--arr
1193856447234614163103362679---,11938564472346141631033626798451--n
1194--FuncDef,119418845--Decl
1193856447234614163246584644---,119385644723461416324658464483001--n
11938564472343110314825---,119385644723431103148256123--n
1193856445729517115131930310--&&,119385644572951711513193031086679-->=
11938564445698--If,1193856444569854364-->=
1194264818394969107184177280--ExprList,119426481839496910718417728080063--arr
119385644572951711513193031086679-->=,11938564457295171151319303108667919754--ArrayRef
11938564472346141632465--ArrayRef,1193856447234614163246599995--arr
119385644723461416-->=,11938564472346141631033--ArrayRef
11942648531715074461128--arr,1194264853171507446112851074--int
11938564457295171151319303108667919754--ArrayRef,1193856445729517115131930310866791975488699---
119426485317137318--InitList,11942648531713731873682--1
119385644572951711--Compound,11938564457295171151319--If
119426481839496910--ExprList,11942648183949691071841--FuncCall
119426489222072424--/,11942648922207242457869--sizeof
11938564457295171151319--If,1193856445729517115131930310--&&
11938564457295171151319303108667919754--ArrayRef,1193856445729517115131930310866791975469877--arr
119319391654595877737978136263881--arr,11931939165459587773797813626388141533--int
1193--FuncDef,119319391--Decl
119385644--Compound,1193856445729--For
119426485317137318--InitList,11942648531713731898894--1
11938564457297483763721---,1193856445729748376372139367--1
1194264818394--FuncCall,119426481839496910--ExprList
