119375214158386114495272--Decl,11937521415838611449527249761--ArrayDecl
119368333973429653--Compound,11936833397342965363625--If
11937521415838611449527249761--ArrayDecl,1193752141583861144952724976137293--arr
11936833397342--For,1193683339734236077--++
1194308838361221106--InitList,119430883836122110696643--13
119368333--Compound,11936833394131--=
11936833373346226732776545283--ExprList,1193683337334622673277654528320860--" Invalid Input "
1193683339734296536362583495166083902--<,119368333973429653636258349516608390234562--second
11936833397342965363625--If,1193683339734296536362564045--Compound
119375214158386114430393--Decl,11937521415838611443039376050--arr_size
1193683339734296536362583497616554292--ArrayRef,119368333973429653636258349761655429287208--i
1193--FuncDef,119368333--Compound
119368333--Compound,11936833371347--Decl
1193683339413176444--=,119368333941317644489817--second
119368333794125375166288--ExprList,11936833379412537516628825533--first
119430883--Compound,11943088333374--FuncCall
119490304--Decl,11949030472102--FuncDecl
119368333973427240--<,1193683339734272402010--arr_size
1193683337941253751--FuncCall,119368333794125375166288--ExprList
119368333973429653636257635649355--ArrayRef,11936833397342965363625763564935568644--i
1194308838361221106--InitList,119430883836122110658307--12
1193683339413176444--=,119368333941317644425981--2147483647
119368333973429653636258349516608390275974--ArrayRef,11936833397342965363625834951660839027597455319--i
1193683333490989543--first,119368333349098954325621--int
119368333794125375166288--ExprList,11936833379412537516628849342--second
11936833373346--If,1193683337334654679--<
11949030472102--FuncDecl,119490304721021949--main
119368333973427240--<,1193683339734272406450--i
11943088342510--Decl,1194308834251037282--/
11943088342510--Decl,1194308834251079748--n
1194308833337474733--ExprList,119430883333747473363077--arr
11936833334909--Decl,1193683333490989543--first
11936833379412--If,1193683337941213616--FuncCall
1193683339734296536362564045--Compound,119368333973429653636256404587203--=
119368333973429653636258349516601221181522--ArrayRef,11936833397342965363625834951660122118152253246--i
1193683337941213616--FuncCall,119368333794121361675216--ExprList
119368333973429653636256404582189--=,11936833397342965363625640458218959020--ArrayRef
11943088333374--FuncCall,1194308833337474733--ExprList
1194308834251037282--/,119430883425103728268308--sizeof
11936833397342965363625--If,119368333973429653636258349--If
11936833379412--If,1193683337941253751--FuncCall
1193683337941253751--FuncCall,119368333794125375199916--printf
1193683339734270646--=,119368333973427064695219--i
119368333973429653636256404587203--=,11936833397342965363625640458720390676--first
1193752141583861144--ParamList,119375214158386114495272--Decl
11936833371347--Decl,1193683337134774311--second
11936833379412--If,1193683337941265711--==
1194308834251037282317144061--ArrayRef,119430883425103728231714406182151--arr
11936833397342965363625834951660--&&,1193683339734296536362583495166083902--<
1194308834251079748--n,119430883425107974863330--int
119368333973429653636258349516601221181522--ArrayRef,11936833397342965363625834951660122118152270310--arr
1194308838361221106--InitList,119430883836122110623141--10
119368333794125375166288--ExprList,11936833379412537516628824163--"The smallest element is %d and second Smallest element is %d\n"
1193752141583861144952724976137293--arr,11937521415838611449527249761372931573--int
119368333--Compound,11936833373346--If
1193683337334654679--<,119368333733465467917206--2
11936833397342965363625834976165--=,1193683339734296536362583497616554292--ArrayRef
1194--FuncDef,119490304--Decl
1193683331010495945--i,119368333101049594576231--int
119368333733462267327765--FuncCall,11936833373346226732776545283--ExprList
1193683339734236077--++,119368333973423607750771--i
1194308834251037282--/,11943088342510372823171--sizeof
11937521415838611443039376050--arr_size,1193752141583861144303937605059442--int
1193683337334622673--Compound,119368333733462267327765--FuncCall
119368333973429653636257635649355--ArrayRef,11936833397342965363625763564935566294--arr
11936833310104--Decl,1193683331010495945--i
11936833397342--For,1193683339734270646--=
119368333973429653636258349--If,11936833397342965363625834976165--=
1193--FuncDef,119375214--Decl
1194308838361221106--InitList,119430883836122110676401--1
11943088333374--FuncCall,119430883333742017--print2Smallest
11936833397342965363625640458218959020--ArrayRef,1193683339734296536362564045821895902052159--i
