11945396562776477527361--Decl,1194539656277647752736197349--n
1194273073514653334853114759--ArrayRef,119427307351465333485311475984116--0
119427307893145610777929973368007189457005957889--ArrayRef,11942730789314561077792997336800718945700595788939931--arr
1193--FuncDef,11939442--Decl
11942730789314--For,1194273078931469448--DeclList
119427307893145610777929973361109655776-->,11942730789314561077792997336110965577692452--j
1194--FuncDef,119453965--Decl
1194273078931456107779299733680071--While,11942730789314561077792997336800711610--++
11942730789314561077792997336800718945700595932371116--ArrayRef,11942730789314561077792997336800718945700595932371116405--arr
1195100273541171212440524709--ExprList,119510027354117121244052470956439--size
119427307--Compound,11942730731147--Decl
11951002735411712124405--FuncCall,1195100273541171212440524709--ExprList
119510027354117121--ExprList,11951002735411712124405--FuncCall
119427307893145610777929--For,1194273078931456107779295167--++
119427307893145610777929--For,11942730789314561077792997336--Compound
11942730789314561078963588725--+,119427307893145610789635887256835--i
119357673230952372740360--*,11935767323095237274036059437--Cast
1193944265368--FuncDecl,1193944265368995--ParamList
119427307893145610777929385974882697010--+,11942730789314561077792938597488269701029351--1
119357673230952372741682179388354569576--PtrDecl,11935767323095237274168217938835456957610898--None
11942730731147--Decl,1194273073114710768--0
119427307351465333--ExprList,11942730735146533390914--comp
119453965627764775672361809--ArrayDecl,11945396562776477567236180981334--arr
1195100278047582735--InitList,119510027804758273567202--10
119357673--Compound,11935767323095--Return
119427307893146944856181--Decl,1194273078931469448561813241--i
1193944265368995527985102650722--b,119394426536899552798510265072261342--void
11942730789314561077792985186--<,1194273078931456107779298518657653--j
11942730731147--Decl,1194273073114719094--count
119453965627764775--ParamList,11945396562776477527361--Decl
11942730789314561077792938597--DeclList,1194273078931456107779293859748826--Decl
1195100273541171212440524709--ExprList,119510027354117121244052470973734--arr
1193944265368995--ParamList,119394426536899580667--Decl
119427307893145610789635--Decl,11942730789314561078963588725--+
11942730789314--For,1194273078931456107--Compound
119427307893145610777929973368007189457005959323--+,11942730789314561077792997336800718945700595932327496--ArrayRef
1195100278047582735--InitList,119510027804758273556603--21
1194273073514653334853114759--ArrayRef,119427307351465333485311475992027--arr
11939442653689958066774093--PtrDecl,1193944265368995806677409398613--a
1194273078931469448--DeclList,119427307893146944856181--Decl
1195100279465238034--/,119510027946523803449492--sizeof
1194273078931456107779299733680071894570059-->,119427307893145610777929973368007189457005957889--ArrayRef
119394426536882530--comp,11939442653688253015419--int
119510027354117121--ExprList,11951002735411712114178--"Total number of triangles possible is %d "
1195100278047564216--ArrayDecl,119510027804756421648900--arr
119427307--Compound,1194273073514--FuncCall
119427307351465333--ExprList,11942730735146533368349--n
119394426536899552798--Decl,11939442653689955279851026--PtrDecl
11935767323095237274168217938835456957610898--None,1193576732309523727416821793883545695761089832357--int
1193944265368--FuncDecl,119394426536882530--comp
11942730789314561077792985186--<,1194273078931456107779298518618559--n
11951002780475--Decl,1195100278047564216--ArrayDecl
11951002780475--Decl,1195100278047582735--InitList
11942730789314561078963524662--k,1194273078931456107896352466237074--int
11951002735411--FuncCall,119510027354117121--ExprList
119427307893145610777929385974882696137--j,11942730789314561077792938597488269613796538--int
1195100278047582735--InitList,119510027804758273582744--101
119427307893145610777929--For,11942730789314561077792985186--<
119427307893145610777929--For,11942730789314561077792938597--DeclList
11935767323095237274168217938--Cast,1193576732309523727416821793891318--a
11935767323095237274168217938--Cast,1193576732309523727416821793883545--Typename
119510027--Compound,11951002794652--Decl
119357673230952372741682--*,11935767323095237274168217938--Cast
1194273073114719094--count,119427307311471909437736--int
11942730789314561077792997336800718945700595932327496--ArrayRef,1194273078931456107779299733680071894570059593232749628153--i
11935767323095237274036059437--Cast,1193576732309523727403605943739758--b
11942730789314561077792997336800718945--&&,1194273078931456107779299733680071894536507--<
11942730789314561077792997336110961080973084---,1194273078931456107779299733611096108097308422302--1
11951002794652380341485591821--ArrayRef,1195100279465238034148559182180806--0
1193944265368995806677409398613--a,119394426536899580667740939861325979--void
1195--FuncDef,11955241--Decl
119427307351465333--ExprList,11942730735146533320073--arr
1--FileAST,1195--FuncDef
11942730735146533348531--sizeof,1194273073514653334853114759--ArrayRef
1194273078931456107779299733611096108097308487546---,119427307893145610777929973361109610809730848754692832--j
119510027804756421648900--arr,11951002780475642164890065225--int
1194273078931456107779299733611096--If,119427307893145610777929973361109610809--+=
11939442653689955279851026--PtrDecl,1193944265368995527985102650722--b
119357673230952372740360594379426259147--PtrDecl,11935767323095237274036059437942625914777359--None
1194273078931456107--Compound,119427307893145610777929--For
