120177785870053004--ExprList,12017778587005300431436--a
1200314038090817262--StructRef,120031403809081726220453--prev
11981575939388--Decl,1198157593938865437--PtrDecl
1198157593938883974--FuncCall,119815759393888397485107--lastNode
11981575985717--FuncCall,1198157598571759614--ExprList
1198157598571759614--ExprList,119815759857175961435565--head
1200314039505449304--!=,120031403950544930424855--*
1196840553394384828426--&,11968405533943848284269466--StructRef
119331058958998976--PtrDecl,11933105895899897692804--prev
120176819419311473777674417427670155209--argv,12017681941931147377767441742767015520995527--char
1195333074463128709--=,119533307446312870997298--StructRef
119763428--Decl,11976342873639--FuncDecl
1196226672690179783268--Decl,11962266726901797832685409--PtrDecl
11985547099554849658247--Decl,1198554709955484965824799773--PtrDecl
1--FileAST,1199--FuncDef
120177784131676689--PtrDecl,12017778413167668918727--a
119546643353634082453480--Decl,11954664335363408245348015233--PtrDecl
11968405237543782912216294579475893147997731055--StructRef,1196840523754378291221629457947589314799773105511399--j
11933105895899897692804--prev,11933105895899897692804827--Node
12003140346320--=,1200314034632025439--*
1201--FuncDef,120176819--Decl
119479977--Compound,11947997795727--=
1200314037633599135--*,120031403763359913536292--head_ref
12004323989144383184706248137--PtrDecl,1200432398914438318470624813787018--PtrDecl
11975810487282152167596--FuncCall,1197581048728215216759695085--ExprList
1200314037273118565633996977--PtrDecl,120031403727311856563399697730301--None
119937297495552831--ParamList,11993729749555283190788--Decl
11975810487281572--&&,1197581048728157299430--!=
120031403727311856563399697730301--None,12003140372731185656339969773030135675--Node
119758104872821521675969508526449--StructRef,11975810487282152167596950852644931610--next
1196840553394--FuncCall,119684055339438482--ExprList
1200314037633569097--StructRef,120031403763356909772162--new_node
1196840567282--Decl,119684056728259982--StructRef
12003140395054--If,1200314039505449304--!=
1194349703649915698--ParamList,119434970364991569837856--Decl
11975810487282152170937--FuncCall,1197581048728215217093749782--ExprList
11947997785758--Decl,1194799778575851695--*
11992983252885--While,1199298325288584500--head
1193310588704573130--PtrDecl,119331058870457313058939--next
120031403--Compound,1200314039433--=
11968405237546956912122--StructRef,1196840523754695691212222862--j
11992983252885699342552230269--StructRef,119929832528856993425522302694382--head
120043239--Decl,12004323989144--FuncDecl
