11944418251339419466709451011--n,1194441825133941946670945101123251--int
11949929595539--Decl,1194992959553928255--i
119444182--Decl,11944418251339--FuncDecl
11949929586455155244770265908792245014989625749994032664493--ArrayRef,1194992958645515524477026590879224501498962574999403266449320279--i
1195314322768189354--InitList,119531432276818935437976--1
11949929586455--For,1194992958645539083--++
11949929520084--Decl,1194992952008491598--ArrayDecl
119444182513394194667094--Decl,11944418251339419466709451011--n
11949929577696--If,1194992957769645748--||
11949929586455155244770265908792245014989625--=,1194992958645515524477026590879224501498962523600--ArrayRef
119499295--Compound,11949929512726--Decl
1194992957769636877--Return,119499295776963687771228--2147483647
11949929586455--For,1194992958645532319--=
119499295--Compound,11949929586455--For
11953143227681--Decl,1195314322768184560--ArrayDecl
1193--FuncDef,119374588--Decl
119499295776964574854319--==,11949929577696457485431975708--ArrayRef
11949929586455155244770265908792245014989625749994032662879--+,1194992958645515524477026590879224501498962574999403266287982332--1
119374588217705566823208--Decl,11937458821770556682320857674--y
119499295864551552447702--For,11949929586455155244770215672--=
11953143231406436438558562081--ExprList,1195314323140643643855856208170204--arr
1193745882177042046--min,119374588217704204661162--int
1194441825133941946--ParamList,119444182513394194695357--Decl
119444182513394194695357--Decl,11944418251339419469535799079--ArrayDecl
11949929586455155244770265908792248708440887--<=,1194992958645515524477026590879224870844088783470--+
11953143258599821081454288809--Typename,119531432585998210814542888096988--None
1194441825133941946--ParamList,119444182513394194667094--Decl
119560109--Decl,11956010961478--FuncDecl
11949929586455155244770265908792248708470115--!=,1194992958645515524477026590879224870847011593028--2147483647
119531432314064364385585--FuncCall,11953143231406436438558518388--minJumps
119499295864551552447702659087922450149896257499940326--ExprList,11949929586455155244770265908792245014989625749994032662879--+
11953143231406--FuncCall,1195314323140641547--printf
11949929586455155244770256954--<,1194992958645515524477025695467680--i
1194992958645515524477026590879224--If,119499295864551552447702659087922450149--Compound
11949929586455155245770230268--ArrayRef,1194992958645515524577023026844838--i
1194992951272685994--j,119499295127268599438651--int
11949929586455155244770265908792248708470115--!=,1194992958645515524477026590879224870847011535778--ArrayRef
119499295864551552447702659087922487084--&&,11949929586455155244770265908792248708470115--!=
11937458821770--FuncDecl,1193745882177055668--ParamList
119499295146734829--ArrayRef,11949929514673482963238---
1195314323140643643--ExprList,119531432314064364385585--FuncCall
11949929577696--If,1194992957769636877--Return
1194--FuncDef,119444182--Decl
1195314322768189354--InitList,11953143227681893545912--9
11937458821770--FuncDecl,1193745882177042046--min
119317622468363419--TernaryOp,11931762246836341930842--<
1194992958645515524477026590879224870844088783470--+,119499295864551552447702659087922487084408878347021792--j
119531432--Compound,11953143258599--Decl
119499295--Compound,11949929577696--If
1194992958645532319--=,119499295864553231994920--1
11949929586455155244770256954--<,1194992958645515524477025695460777--j
119374588217705566887651--Decl,11937458821770556688765111048--x
119531432--Compound,11953143239445--Return
119499295864551552447702--For,11949929586455155244770265908--Compound
1195314322768189354--InitList,119531432276818935480092--1
1194992958645515524477026590879224501498962574999--FuncCall,119499295864551552447702659087922450149896257499968435--min
1195314322768189354--InitList,119531432276818935486974--6
119317622468363419--TernaryOp,11931762246836341960803--x
119499295864551552447702659087922487084--&&,11949929586455155244770265908792248708440887--<=
11944418251339--FuncDecl,1194441825133975752--minJumps
1194992958645532319--=,119499295864553231966980--i
119374588--Decl,11937458821770--FuncDecl
11949929586455155244770265908792245014989625749994032662879--+,1194992958645515524477026590879224501498962574999403266287960342--ArrayRef
119499295864551552447702--For,11949929586455155244770256954--<
1194992958645515524477026590879224501498962574999403266287960342--ArrayRef,119499295864551552447702659087922450149896257499940326628796034269002--j
1194992958645575160--<,119499295864557516015992--i
11953143239445--Return,1195314323944510491--0
1195314322768189354--InitList,119531432276818935425769--3
11949929512726--Decl,1194992951272685994--j
1194441825133975752--minJumps,119444182513397575288854--int
119531432585998210814542--sizeof,11953143258599821081454288809--Typename
1194992958645515524477026590879224870844088783470--+,119499295864551552447702659087922487084408878347063763--ArrayRef
11937458821770556682320857674--y,1193745882177055668232085767472351--int
1195--FuncDef,119560109--Decl
1194992957769645748--||,119499295776964574854319--==
