1195977834280112843--main,119597783428011284387943--int
1194633417114513971385476060--ArrayRef,119463341711451397138547606056487--arr
1193135443907123573--max,119313544390712357312069--int
1194633417114513971385476060--ArrayRef,119463341711451397138547606061861--i
11957759159307--Return,1195775915930741659--0
1194633415410833858--maxHam,119463341541083385839016--int
11946334184047537733558--If,119463341840475377335582353--Return
1194--FuncDef,119463341--Compound
1194539378472070491--maxHamming,119453937847207049143719--int
11946334184047537733558--If,1194633418404753773355836801--==
119463341840475377--Compound,11946334184047537733558--If
1194633417114545340--DeclList,119463341711454534068111--Decl
119463341840475377335582353--Return,11946334184047537733558235344077--n
11935562922620--Return,1193556292262067248--TernaryOp
11931354439071533768966387925--num1,1193135443907153376896638792546890--int
11946334184047537758213--=,1194633418404753775821390594--FuncCall
1194633418404752259--++,119463341840475225974619--i
119463341840475377--Compound,11946334184047537712077--For
119463341840475377120772992750442--!=,11946334184047537712077299275044230424--ArrayRef
1194633418404753771207748947--ExprList,119463341840475377120774894728979--++
119577591884028703--InitList,11957759188402870378851--6
1194633418404774190--<,11946334184047741902855--i
1194633418404753775821390594--FuncCall,11946334184047537758213905945337--max
1194633417114513971385479817039484--+,119463341711451397138547981703948431678--i
1194633418404774190--<,119463341840477419021850--n
119453937847207711882535--Decl,11945393784720771188253591337--n
119463341711451397138547--=,11946334171145139713854798170--ArrayRef
1194633418404753775821390594--FuncCall,119463341840475377582139059448796--ExprList
1194633418404753773355836801--==,119463341840475377335583680167677--n
119577591884028703--InitList,11957759188402870345619--4
119463341711454534068111--Decl,11946334171145453406811128054--0
119463341711451397110332--=,11946334171145139711033240351--ArrayRef
1195--FuncDef,119577591--Compound
11946334184047537712077299275044230424--ArrayRef,1194633418404753771207729927504423042456162--brr
11957759152640--Decl,1195775915264074160--/
1194539378472077118--ParamList,119453937847207711882535--Decl
1194633417114541391--<,119463341711454139129585--n
11957759141467--FuncCall,1195775914146765508--printf
1194633418404793352--DeclList,119463341840479335240036--Decl
1193135443907153376--ParamList,119313544390715337689663--Decl
119463341840479335240036--Decl,11946334184047933524003641327--i
1194633417114513971103328253--ArrayRef,119463341711451397110332825393230--brr
119463341840475377120775598314056--+,11946334184047537712077559831405698992--n
119577591526407416041773--sizeof,11957759152640741604177392705--arr
11957759188402--Decl,119577591884028703--InitList
119463341840479335240036--Decl,11946334184047933524003618493--1
11946334158086--Decl,1194633415808649151--ArrayDecl
11957759141467--FuncCall,1195775914146790033--ExprList
119463341--Compound,11946334171145--For
119463341--Compound,11946334158086--Decl
1194633417114513971--Compound,119463341711451397110332--=
11946334184047537712077850002118982692--k,1194633418404753771207785000211898269287187--int
11946334184047537712077--For,1194633418404753771207785000--DeclList
11957759141467900331734367133--ExprList,1195775914146790033173436713322716--n
11946334184047537712077--For,1194633418404753771207748947--ExprList
1193556292262067248--TernaryOp,11935562922620672485939-->
1194539378472077118--ParamList,119453937847207711822012--Decl
1194633418404753771207785000--DeclList,119463341840475377120778500013626--Decl
1194633415808649151--ArrayDecl,11946334158086491515898--brr
11946334184047537712077850001362615359--j,1194633418404753771207785000136261535991480--int
11946334184047--For,1194633418404752259--++
11946334171145--For,1194633417114513971--Compound
119577591--Compound,11957759141467--FuncCall
1195775914146790033--ExprList,119577591414679003317529--"%d\n"
119577591884024760080294--arr,11957759188402476008029421503--int
119463341840475377--Compound,11946334184047537797992--Decl
119463341840475377120775598314056--+,11946334184047537712077559831405622396--i
11946334171145139713854798170--ArrayRef,1194633417114513971385479817015734--brr
1195775915264074160--/,119577591526407416041773--sizeof
1194633418404753771207755983--<,119463341840475377120775598371865--j
1194633417114513971--Compound,119463341711451397138547--=
11959778342801--FuncDecl,1195977834280112843--main
1--FileAST,1195--FuncDef
119577591884028703--InitList,11957759188402870372569--8
11946334184047537712077--For,1194633418404753771207729927--If
1194633418404753771207755983--<,119463341840475377120775598314056--+
119597783--Decl,11959778342801--FuncDecl
1194--FuncDef,119453937--Decl
119577591--Compound,11957759188402--Decl
119463341840475377120774894728979--++,1194633418404753771207748947289796886--k
1195775914146790033--ExprList,119577591414679003317343--FuncCall
11946334171145453406811170322--i,1194633417114545340681117032227016--int
119463341840475377120778500013626--Decl,11946334184047537712077850001362615359--j
119463341840475377582139059448796--ExprList,11946334184047537758213905944879639556--currHam
119463341840475377120772992750442--!=,11946334184047537712077299275044235267--ArrayRef
119577591--Compound,11957759159307--Return
119355629--Compound,11935562922620--Return
1193--FuncDef,119355629--Compound
11946334173876--Return,1194633417387694774--maxHam
119463341711451397110332--=,1194633417114513971103328253--ArrayRef
119463341840475377120778500013626--Decl,11946334184047537712077850001362696604--i
1194633415808649151659696731--*,119463341580864915165969673175512--2
11946334184047537712077299274674--++,1194633418404753771207729927467474446--currHam
1194633418404753773355836801--==,119463341840475377335583680163246--currHam
1195775915264074160114337447--ArrayRef,119577591526407416011433744717671--arr
11946334171145139713854798170--ArrayRef,1194633417114513971385479817039484--+
119463341--Compound,11946334184047--For
1193135443907153376--ParamList,119313544390715337691482--Decl
1194633417114513971103328253--ArrayRef,119463341711451397110332825317717--i
11957759152640--Decl,1195775915264065439--n
119463341840475377--Compound,11946334184047537758213--=
119463341711451397138547--=,1194633417114513971385476060--ArrayRef
1195775915264074160114337447--ArrayRef,119577591526407416011433744724942--0
1--FileAST,1193--FuncDef
1193--FuncDef,119313544--Decl
119463341--Compound,11946334154108--Decl
119577591414679003317343--FuncCall,11957759141467900331734383616--maxHamming
1--FileAST,1194--FuncDef
1194539378472077118220127544765703--arr,119453937847207711822012754476570382949--int
1193556292262067248--TernaryOp,119355629226206724850956--num1
119577591526407416011433--sizeof,1195775915264074160114337447--ArrayRef
119577591--Compound,11957759152640--Decl
1194633418404753771207748947--ExprList,119463341840475377120774894750870--++
11946334154108--Decl,1194633415410858991--0
119463341580864915165969--+,1194633415808649151659696731--*
11946334171145--For,1194633417114541391--<
1194633418404753771207785000--DeclList,119463341840475377120778500021189--Decl
119463341840475377120778500021189--Decl,11946334184047537712077850002118994621--0
1193556292262067248--TernaryOp,119355629226206724850261--num2
1194633417114574692--++,119463341711457469229413--i
11931354439071--FuncDecl,1193135443907153376--ParamList
11946334184047--For,1194633418404793352--DeclList
119463341--Compound,11946334173876--Return
11946334184047537758213--=,1194633418404753775821367172--maxHam
