119492044585398506013270--Decl,11949204458539850601327011555--arr_size
1193249673276476724109855289523579--a,11932496732764767241098552895235798833--void
1193658750979964418036035444--Cast,119365875097996441803603544439613--Typename
1194835995396271448--Compound,119483599539627144837851--=
119324967327647672410985--Decl,11932496732764767241098552895--PtrDecl
119533256788796769--InitList,11953325678879676928636--6
119533256759831803--ExprList,11953325675983180321211--arr_size
119483599539627144873291752849235598302989194272649025--ArrayRef,11948359953962714487329175284923559830298919427264902533960--i
11949204458539850606870--Decl,1194920445853985060687051795--ArrayDecl
119483599539627144873291752849235510261--If,11948359953962714487329175284923551026163499--++
119533256--Compound,1195332565164--Decl
11953325645501--Decl,1195332564550173433--/
119365875097996441797626880123377841246069--None,1193658750979964417976268801233778412460695460--int
119533256788796769--InitList,11953325678879676957670--4
1194835995396271448732917528492355562167889979177--ArrayRef,119483599539627144873291752849235556216788997917774369--r
11948359953962714487329175284923551026149070883713649393501--ArrayRef,1194835995396271448732917528492355102614907088371364939350154413--A
11948359953962714488476938500--+,1194835995396271448847693850022870--i
1195663423898028387--main,119566342389802838772548--int
11948359996795--FuncCall,1194835999679573017--qsort
119533256455017343321062--sizeof,11953325645501734332106287829--A
119533256759831803--ExprList,11953325675983180351492--A
119483599539627144873291752849235510261--If,11948359953962714487329175284923551026135032----
11936587509799644180360354443961342152034--None,119365875097996441803603544439613421520343945--int
11948359953962714487329175284--Compound,1194835995396271448732917528492355--If
11948359953962714483785144485---,1194835995396271448378514448542555--arr_size
11948359953962--For,1194835995396265739--++
119492044585398506085185--Decl,11949204458539850608518527324--sum
119483599--Compound,11948359992594--Return
11948359953962714488476938500--+,1194835995396271448847693850031724--1
1195--FuncDef,119533256--Compound
1194835995396271911--<,119483599539627191151436--i
1194835995396215443--DeclList,119483599539621544332801--Decl
119365875097996441---,11936587509799644180360--*
119483599539627144873291--While,11948359953962714487329175838--<
11948359953962714487329175284923559830298919427266657--ArrayRef,1194835995396271448732917528492355983029891942726665792715--r
1194835995396265739--++,119483599539626573968926--i
1193658750979--Return,119365875097996441---
1193658750979964417976268801--Cast,119365875097996441797626880123377--Typename
119533256788796769--InitList,11953325678879676925614--8
119533256788796769--InitList,11953325678879676991316--1
1195--FuncDef,119566342--Decl
11948359953962--For,1194835995396271911--<
119483599539627144873291752849235556216--==,11948359953962714487329175284923555621678899--+
119533256516455731--sum,11953325651645573132604--int
11948359953962714487329175284923551026149070883713649393501--ArrayRef,1194835995396271448732917528492355102614907088371364939350164932--i
119483599--Compound,11948359996795--FuncCall
11948359953962714487329175284923551026149070883713649328740--ArrayRef,1194835995396271448732917528492355102614907088371364932874065510--A
119483599539627144884769--=,11948359953962714488476938500--+
119533256455017343384634--sizeof,11953325645501734338463444927--ArrayRef
119483599539627144873291752849235510261--If,11948359953962714487329175284923551026149070--<
119483599539627144873291752849235598302989194272649025--ArrayRef,11948359953962714487329175284923559830298919427264902578673--A
119483599539627144837851--=,11948359953962714483785142533--r
119365875097996441797626880123377--Typename,11936587509799644179762688012337784124--PtrDecl
119483599539627144873291752849235510261490708837184553--ArrayRef,11948359953962714487329175284923551026149070883718455388475--r
1193249673276476724--ParamList,119324967327647672410985--Decl
11949204458539850608518527324--sum,1194920445853985060851852732436481--int
1194835995396271448732917528492355562167889926310--+,119483599539627144873291752849235556216788992631075393--ArrayRef
119533256--Compound,1195332567598--FuncCall
1194835995396271448732917528492355983029891942726--ExprList,11948359953962714487329175284923559830298919427263514--"Triplet is %d, %d, %d"
119365875097996441803603544439613--Typename,119365875097996441803603544439613421--PtrDecl
1194920445853985060687051795--ArrayDecl,119492044585398506068705179586558--A
1194835995396271448732917528492355983029891942726--ExprList,119483599539627144873291752849235598302989194272649025--ArrayRef
1195332564550173433--/,119533256455017343384634--sizeof
11948359953962714487329175284923551026149070--<,1194835995396271448732917528492355102614907088371--+
11948359996795593049369682953--Typename,1194835999679559304936968295392417--None
119483599539627191159334---,11948359953962719115933423798--2
11948359964488--Decl,1194835996448894171--r
