1193511358186433384--min_l,119351135818643338441157--int
11935113521153--=,1193511352115318037--+
1193511358486--=,119351135848699773--min_r
1193511357333939264870654588--Compound,119351135733393926487065458856766--=
119351135--Compound,11935113521153--=
1193625181957392232--ParamList,119362518195739223225150--Decl
119351135211531803740310--ArrayRef,11935113521153180374031036090--1
1193511357333939264870654588294008517-->,119351135733393926487065458829400851739998--FuncCall
1193511357333949378--=,119351135733394937827166--0
1193511357333939264870654588294005917051575--=,119351135733393926487065458829400591705157597152--sum
11935113573339392648706545882940085176480756317--ExprList,1193511357333939264870654588294008517648075631726964--min_sum
11935113573339392648706--For,1193511357333939264870646610--=
11935113573339392648706545882940085173999844924--ExprList,1193511357333939264870654588294008517399984492437427--sum
1194847265925439499--InitList,119484726592543949987746--85
11935113573339--For,1193511357333939710--++
119351135211531803727282--ArrayRef,11935113521153180372728251583--0
119351135750158203867801--FuncCall,11935113575015820386780146032--ExprList
119351135750158203867801--FuncCall,11935113575015820386780170460--printf
119484726610484516--ExprList,11948472661048451618434--arr
11935113575015820386780146032--ExprList,1193511357501582038678014603235042--"Invalid Input"
119351135395787314--ExprList,11935113539578731480079--" The two elements whose sum is minimum are %d and %d"
11935113581864--Decl,1193511358186433384--min_l
119351135733393926487065458829400--If,11935113573339392648706545882940059170--Compound
11935113573339392648706545882940059170--Compound,1193511357333939264870654588294005917051575--=
1193511357333939264870654588294005917031201--=,119351135733393926487065458829400591703120183116--min_l
119351135--Compound,11935113510085--=
1193511358486--=,11935113584868579--1
119484726--Compound,11948472659254--Decl
119351135107--Decl,11935113510793310--r
119351135--Compound,11935113575393--Decl
1193511357501549324--<,119351135750154932486988--arr_size
1194847265925439499--InitList,119484726592543949935143--70
119484726610484516--ExprList,11948472661048451644436--6
11948472659254769966847--arr,1194847265925476996684788956--int
1193511357333939264870654588567669937590091--ArrayRef,119351135733393926487065458856766993759009112790--l
11948472643016--FuncCall,1194847264301689140--getchar
1193511359255949492--l,11935113592559494924623--int
119351135733393926487065458829400851764807--FuncCall,11935113573339392648706545882940085176480758061--abs
11935113573339--For,1193511357333980234--<
119351135733393926487064661073803--+,11935113573339392648706466107380380116--l
119351135--Compound,11935113575015--If
1--FileAST,1193--FuncDef
11935113573339--For,1193511357333939264--Compound
119351135--Compound,11935113596915--Decl
1193--FuncDef,119362518--Decl
11935113510085--=,1193511351008585908--0
11935113592559--Decl,1193511359255949492--l
1193511357333939264870654588567669937536076--ArrayRef,119351135733393926487065458856766993753607665861--arr
1194847265925439499--InitList,119484726592543949969799---
1193625181957392232--ParamList,119362518195739223228899--Decl
119351135--Compound,11935113573339--For
1194847265925439499--InitList,119484726592543949922700--60
1193511357333939264870649265--++,119351135733393926487064926552105--r
1193511357333939264870654588294005917051575--=,119351135733393926487065458829400591705157533123--min_sum
119484726592543949969799---,11948472659254394996979974296--10
1193511359399816629--sum,119351135939981662947303--int
119351135211531803740310--ArrayRef,11935113521153180374031097681--arr
119351135733393926487065458829400851764807--FuncCall,11935113573339392648706545882940085176480756317--ExprList
11935113510793310--r,1193511351079331011313--int
1193511357501582038--Compound,119351135750158203867801--FuncCall
11948472659254--Decl,1194847265925439499--InitList
11935113573339392648706545882940059170--Compound,1193511357333939264870654588294005917031201--=
119484726--Compound,11948472643016--FuncCall
1194847266104--FuncCall,119484726610484516--ExprList
11935113573339392648706545885676699375--+,1193511357333939264870654588567669937536076--ArrayRef
11936251819573--FuncDecl,1193625181957330217--minAbsSumPair
11935113573339392648706545885676699375--+,1193511357333939264870654588567669937590091--ArrayRef
11935113573339392648706--For,1193511357333939264870649121--<
119351135733393926487065458829400--If,1193511357333939264870654588294008517-->
119351135--Compound,11935113593998--Decl
1193511357333939264870654588294005917031201--=,119351135733393926487065458829400591703120169482--l
11935113573339392648706545882940059170--Compound,1193511357333939264870654588294005917046049--=
11948472659254--Decl,119484726592547699--ArrayDecl
1193511357333980234--<,119351135733398023412418---
11935113539578731484260--ArrayRef,1193511353957873148426093405--min_r
11935113575015--If,1193511357501549324--<
1193511357333949378--=,119351135733394937858434--l
1193511357501549324--<,119351135750154932490409--2
11936251819573--FuncDecl,1193625181957392232--ParamList
1193511357333939264870654588294008517-->,119351135733393926487065458829400851764807--FuncCall
119351135--Compound,1193511358486--=
1193511357333939264870649121--<,119351135733393926487064912187223--arr_size
1193511357333939264870649121--<,119351135733393926487064912136706--r
11935113573339392648706--For,1193511357333939264870654588--Compound
1193511352115318037--+,119351135211531803727282--ArrayRef
11935113573339392648706--For,1193511357333939264870649265--++
11935113521153--=,1193511352115357608--min_sum
1193511357501582038--Compound,1193511357501582038731--Return
11935113575393--Decl,1193511357539317189--min_r
119351135733398023412418---,11935113573339802341241815086--1
1193625181957330217--minAbsSumPair,119362518195733021781325--void
119484726592547699--ArrayDecl,11948472659254769966847--arr
119351135--Compound,11935113592559--Decl
11935113539578731427075--ArrayRef,1193511353957873142707568799--min_l
119351135--Compound,11935113572052--Decl
119351135733393926487064661073803--+,1193511357333939264870646610738038695--1
1193511357333939264870654588294005917046049--=,119351135733393926487065458829400591704604949746--r
1193511357539317189--min_r,119351135753931718991030--int
1193511352115318037--+,119351135211531803740310--ArrayRef
119351135211531803727282--ArrayRef,11935113521153180372728296950--arr
11935113573339--For,1193511357333949378--=
1193--FuncDef,119351135--Compound
11935113572052--Decl,1193511357205236631--min_sum
11936251819573922322515074731--ArrayDecl,1193625181957392232251507473194889--arr
11948472614020--Return,1194847261402026412--0
11935113510085--=,1193511351008587200--min_l
1194847265925439499--InitList,119484726592543949958828--1
1193511357333939264870654588567669937590091--ArrayRef,119351135733393926487065458856766993759009149971--arr
11935113596915--Decl,1193511359691517438--inv_count
119351135733393926487065458856766--=,11935113573339392648706545885676699375--+
1194847266104--FuncCall,119484726610476040--minAbsSumPair
11936251819573922322889933091--arr_size,1193625181957392232288993309160584--int
11935113593998--Decl,1193511359399816629--sum
119351135--Compound,11935113581864--Decl
1193511357333939710--++,11935113573339397103122--l
119421839809--FuncDecl,1194218398094462--main
1193511357333939264870654588--Compound,119351135733393926487065458829400--If
1194218398094462--main,119421839809446222278--int
119351135395787314--ExprList,11935113539578731427075--ArrayRef
119484726--Compound,1194847266104--FuncCall
1193625181957392232251507473194889--arr,11936251819573922322515074731948896049--int
1193511357333939264--Compound,11935113573339392648706--For
11935113539578731427075--ArrayRef,1193511353957873142707568694--arr
