11932441411222--ExprList,119324414112221---
1193--FuncDef,11931--Decl
11932--Compound,119323--Decl
11932--Compound,119322--Decl
11932--Compound,119321--Decl
1--FileAST,1194--FuncDef
119324414--Compound,1193244141--If
11932441--For,119324411--=
1193244112--+,11932441122--1
11941--Decl,119411--FuncDecl
119324411--=,1193244111--j
119324--For,1193241--=
119422221--ArrayRef,1194222211--arr
11942--Compound,119422--Decl
1194222--/,11942221--sizeof
119324414112-->,1193244141121--min_dist
1193244141212--FuncCall,11932441412121--abs
119324414111222--ArrayRef,1193244141112221--arr
11932--Compound,119325--If
11932441412122--ExprList,119324414121221---
1194212--InitList,119421212--3
11932441411--&&,119324414111--||
119324411--=,1193244112--+
11942111--arr,119421111--int
11932441411112--==,119324414111122--ArrayRef
119422--Decl,1194221--n
11932441--For,119324413--++
1193111--ParamList,11931114--Decl
1194212--InitList,11942126--5
11932--Compound,119326--Return
119311121--n,1193111211--int
1194231--x,11942311--int
119424--Decl,1194242--6
11932441411122--==,119324414111221--x
1194252--ExprList,11942522--x
1193242--<,11932422--n
119422221--ArrayRef,1194222212--0
11942--Compound,119425--FuncCall
119325--If,1193252--Compound
1194241--y,11942411--int
119324414112-->,1193244141122--FuncCall
119421--Decl,1194212--InitList
11932441412--Compound,119324414121--=
1193244112--+,11932441121--i
11932441411111--==,119324414111111--x
1193111111--arr,11931111111--int
1194212--InitList,11942128--6
119324414111222--ArrayRef,1193244141112222--j
119425242--ExprList,1194252422--n
119324414112221---,1193244141122212--j
11932--Compound,119324--For
1193244--Compound,11932441--For
119324414112221---,1193244141122211--i
1194252--ExprList,11942524--FuncCall
119423--Decl,1194232--0
1193211--i,11932111--int
1194212--InitList,11942129--5
1193251-->,11932512--n
1193244141212--FuncCall,11932441412122--ExprList
1193--FuncDef,11932--Compound
11942524--FuncCall,119425242--ExprList
1194212--InitList,119421211--8
119324414111122--ArrayRef,1193244141111222--j
119323--Decl,1193231--min_dist
1194212--InitList,11942123--4
1193111--ParamList,11931111--Decl
119324414111122--ArrayRef,1193244141111221--arr
1194222--/,11942222--sizeof
1193221--j,11932211--int
1193244141112--&&,11932441411122--==
119423--Decl,1194231--x
119421--Decl,1194211--ArrayDecl
119324--For,1193242--<
119425242--ExprList,1194252423--x
11932441--For,119324412--<
1193244141122--FuncCall,11932441411222--ExprList
1194211--ArrayDecl,11942111--arr
1193242--<,11932421--i
1193244141111--&&,11932441411112--==
1193252--Compound,11932521--Return
119425242--ExprList,1194252421--arr
11942524--FuncCall,119425241--minDist
11931112--Decl,119311121--n
119325211---,1193252111--1
1193243--++,11932431--i
11932441411112--==,119324414111121--y
1194111--main,11941111--int
11932441--For,119324414--Compound
119311111--ArrayDecl,1193111111--arr
1193244141--If,11932441412--Compound
1193244141--If,11932441411--&&
11942222--sizeof,119422221--ArrayRef
119326--Return,1193261--min_dist
119324414111212--ArrayRef,1193244141112121--arr
119324413--++,1193244131--j
11932441411121--==,119324414111211--y
1193111--ParamList,11931113--Decl
11931113--Decl,119311131--x
11932521--Return,119325211---
119324414111212--ArrayRef,1193244141112122--i
119324414111--||,1193244141112--&&
11931114--Decl,119311141--y
1194252--ExprList,11942523--y
119425242--ExprList,1194252424--y
119324414121221---,1193244141212212--j
11931111--Decl,119311111--ArrayDecl
1193244141111--&&,11932441411111--==
119311131--x,1193111311--int
119425--FuncCall,1194252--ExprList
1193111--ParamList,11931112--Decl
11942221--sizeof,119422211--arr
1194221--n,11942211--int
1194212--InitList,11942124--2
119324--For,1193244--Compound
119411--FuncDecl,1194111--main
119324414111--||,1193244141111--&&
119324414121--=,1193244141211--min_dist
1193251-->,11932511--min_dist
1194212--InitList,11942121--3
1194--FuncDef,11941--Decl
119424--Decl,1194241--y
119324414111112--ArrayRef,1193244141111122--i
11942--Compound,119426--Return
119425--FuncCall,1194251--printf
119324414121221---,1193244141212211--i
1194212--InitList,11942122--5
1193241--=,11932411--i
119324414111112--ArrayRef,1193244141111121--arr
1193112--minDist,11931121--int
11942--Compound,119423--Decl
119325--If,1193251-->
119426--Return,1194261--0
119311141--y,1193111411--int
119324--For,1193243--++
1--FileAST,1193--FuncDef
11932441411111--==,119324414111112--ArrayRef
1194212--InitList,119421210--4
119324414121--=,1193244141212--FuncCall
11931--Decl,119311--FuncDecl
119324412--<,1193244122--n
11932441411121--==,119324414111212--ArrayRef
1193244141122--FuncCall,11932441411221--abs
11942--Compound,119421--Decl
1193231--min_dist,11932311--int
1193244141112--&&,11932441411121--==
119321--Decl,1193211--i
1194212--InitList,11942125--6
119311--FuncDecl,1193111--ParamList
119324412--<,1193244121--j
1194252--ExprList,11942521--"Minimum distance between %d and %d is %d\n"
11942--Compound,119424--Decl
119422--Decl,1194222--/
11932441411122--==,119324414111222--ArrayRef
1194212--InitList,11942127--6
11932441411--&&,119324414112-->
1193241--=,11932412--0
1194--FuncDef,11942--Compound
119322--Decl,1193221--j
119323--Decl,1193232--2147483647
119311--FuncDecl,1193112--minDist
