11944541424481994152609661763--++,1194454142448199415260966176344551--j
11944541424481994152609682552157245186--Compound,1194454142448199415260968255215724518696310--Break
11935425795316--FuncDecl,119354257953166893--min
1193--FuncDef,11936950--Compound
1194454142448199415260968255215723835955247--!=,119445414244819941526096825521572383595524714095--ArrayRef
119445414719822530715385---,11944541471982253071538558924--1
119445414509938128720096--jumps,11944541450993812872009647715--int
1194454147198225307--ArrayRef,119445414719822530715385---
1194454142265793072--i,119445414226579307217026--int
11944541438680--=,1194454143868034519--ArrayRef
119445414244819941526096825521572383595524714095--ArrayRef,11944541424481994152609682552157238359552471409595944--j
119445414244819941526096825521572451862645866979--FuncCall,11944541424481994152609682552157245186264586697954429--min
119553022--Decl,11955302267063--FuncDecl
1195361182381152257620312743--ExprList,119536118238115225762031274336953--arr
1194454142448199415260968255215724518626458669793654295399--+,119445414244819941526096825521572451862645866979365429539986983--ArrayRef
11935425795316--FuncDecl,1193542579531623218--ParamList
1195361185115161582--ArrayDecl,119536118511516158256071--arr
1194859925554--FuncDecl,119485992555445702--minJumps
11944541424481994152609682552157238359914288508736153--ArrayRef,1194454142448199415260968255215723835991428850873615369122--arr
1194454142448154635--<,119445414244815463554116--i
1194454142448199415260968255215724518626458669793654232497--ArrayRef,119445414244819941526096825521572451862645866979365423249770824--i
119445414244819941526096825521572451862645866979365429539986983--ArrayRef,11944541424481994152609682552157245186264586697936542953998698315023--j
119369504725432894--TernaryOp,11936950472543289441062--x
11944541422657--Decl,1194454142265793072--i
119445414--Compound,11944541438680--=
11955302267063--FuncDecl,1195530226706378274--main
1194454148710217648--j,119445414871021764830145--int
119445414--Compound,11944541450993--Decl
119445414976157057466010--==,11944541497615705746601073179--ArrayRef
11948599255545706--ParamList,1194859925554570615715--Decl
11944541424481994152609682552157245186264586697936542--ExprList,1194454142448199415260968255215724518626458669793654232497--ArrayRef
1195530226706378274--main,119553022670637827435822--int
11944541424481--For,1194454142448191297--=
1194454142448199415260968255215724518626458669793654295399--+,119445414244819941526096825521572451862645866979365429539961545--1
11948599255545706181459330962366--arr,1194859925554570618145933096236678433--int
1194454142448199415260968255215723835991428--<=,119445414244819941526096825521572383599142882994--i
1194454142448191297--=,119445414244819129753001--i
11935425795316232186618097221--y,1193542579531623218661809722178359--int
119445414244819941526096825521572451862645872230--ArrayRef,1194454142448199415260968255215724518626458722304764--jumps
119445414244819941585112--=,11944541424481994158511268202--ArrayRef
119445414244819941526096--For,11944541424481994152609646583--=
119536118238115225--ExprList,11953611823811522514382--"Minimum number of jumps to reach end is %d "
