11946640292936225565273--Decl,1194664029293622556527346167--ArrayDecl
119360662--Decl,11936066264137--FuncDecl
119456894--Compound,11945689425111--Decl
119456894168295246842630940993005923736490637277--ExprList,11945689416829524684263094099300592373649063727797376--ArrayRef
119456894--Compound,11945689416829--For
1194--FuncDef,119456894--Compound
1193887663345439998023580533789795192--PtrDecl,119388766334543999802358053378979519296625--None
11954882445981--Decl,1195488244598145960--arr_size
1195488244598184912419--sizeof,11954882445981849124195717--A
11954882445981849--/,1195488244598184912419--sizeof
119388766334543999---,11938876633454399987577--*
11936066264137990061741572073--PtrDecl,1193606626413799006174157207396518--a
1195488243195072808--ExprList,119548824319507280839245--sum
1193606626413799006174157207396518--a,119360662641379900617415720739651841056--void
1195488244701075096--ArrayDecl,119548824470107509677992--A
1194568941682952468426309409930059815768448281801--ArrayRef,119456894168295246842630940993005981576844828180162625--r
119456894168295371480290---,11945689416829537148029052638--arr_size
1194568941682952468--Compound,119456894168295246878124--=
119388766334543999875779173544592824435345--None,11938876633454399987577917354459282443534585118--int
119456894168295246866787--=,11945689416829524686678799157--l
1194--FuncDef,119466402--Decl
11945689416829524686678758326--+,1194568941682952468667875832626388--i
1194568946321846398--ExprList,119456894632184639861764--A
119456894168295246842630940993005923736490637277--ExprList,11945689416829524684263094099300592373649063727769947--ArrayRef
1194568941682952468426309409930059815768448256129--+,119456894168295246842630940993005981576844825612945299--ArrayRef
1194568941958811658--r,119456894195881165893573--int
119456894168295246842630940993005923736490637277--ExprList,11945689416829524684263094099300592373649063727733822--"Triplet is %d, %d, %d"
119548824--Compound,11954882445981--Decl
1193887663345439998757791735--Cast,119388766334543999875779173577796--b
119548824459818494831752894--ArrayRef,11954882445981849483175289478149--0
119456894168295246842630--While,11945689416829524684263094099--Compound
1--FileAST,1193--FuncDef
1195488247152296479--sum,11954882471522964792157--int
119456894--Compound,11945689463218--FuncCall
1194568941682952468426309409930059--If,119456894168295246842630940993005923736--Compound
1194568941682952468--Compound,119456894168295246866787--=
11945689425111--Decl,1194568942511137322--l
1195488244598184948317--sizeof,119548824459818494831752894--ArrayRef
1194568941682953714--<,119456894168295371461651--i
1193606626413799006202328960395022--b,119360662641379900620232896039502276068--void
119388766--Compound,11938876633454--Return
119456894168295246842630940993005987552--If,11945689416829524684263094099300598755246741--<
119456894168295246842630940993005987552--If,1194568941682952468426309409930059875526234--++
1194568941682952468426309409930059875524674164986--+,119456894168295246842630940993005987552467416498652913--ArrayRef
11945689416829--For,1194568941682997432--++
119466402929362255--ParamList,11946640292936225557554--Decl
119456894168295246842630940993005923736--Compound,11945689416829524684263094099300592373656674--Return
1194568942511137322--l,119456894251113732294852--int
1194664029293--FuncDecl,119466402929362255--ParamList
1194568941682952468781244363---,11945689416829524687812443631392--arr_size
11946640292936225561884--Decl,1194664029293622556188448125--arr_size
11945689416829524684263094099300598157684482--+,1194568941682952468426309409930059815768448281801--ArrayRef
11938876633454--Return,119388766334543999---
119548824470107509677992--A,11954882447010750967799226655--int
1195488243195072808--ExprList,11954882431950728081292--arr_size
11936066264137--FuncDecl,1193606626413743029--cmpfunc
119456894168295246878124--=,1194568941682952468781244363---
11954882431950--FuncCall,1195488243195072808--ExprList
119456894168295246842630940993005923736490637277--ExprList,1194568941682952468426309409930059237364906372775570--ArrayRef
11954882431950--FuncCall,1195488243195041656--find3Numbers
1194568946321846398--ExprList,11945689463218463989639--cmpfunc
11945689416829--For,1194568941682953714--<
1195--FuncDef,119548824--Compound
1194568941682952468426309409930059875524674164986--+,11945689416829524684263094099300598755246741649864194--+
1194568941682952468426309409930059875524674164986419441159--ArrayRef,119456894168295246842630940993005987552467416498641944115943094--A
11945689416829524684263069107--<,1194568941682952468426306910737427--l
11945689478418--Return,1194568947841852700--0
11946640292936225557554--Decl,1194664029293622555755487321--sum
11945689416829524684263094099300592373649063--FuncCall,119456894168295246842630940993005923736490637277--ExprList
11945689416829524684263094099300592373656674--Return,1194568941682952468426309409930059237365667482512--1
1193--FuncDef,119360662--Decl
1194568941682952468426309409930059875524674164986419441159--ArrayRef,119456894168295246842630940993005987552467416498641944115969341--i
1195488243195072808--ExprList,119548824319507280823246--A
11938876633454399987577--*,1193887663345439998757791735--Cast
1195--FuncDef,119533372--Decl
119456894168295246842630940993005981576--==,11945689416829524684263094099300598157668281--sum
11945689416829524684263094099300598755246741649864194--+,1194568941682952468426309409930059875524674164986419441159--ArrayRef
11954882447010--Decl,1195488244701075096--ArrayDecl
119456894168295246842630940993005981576844825612928874--ArrayRef,11945689416829524684263094099300598157684482561292887495644--A
1194568941682952468426309409930059815768448281801--ArrayRef,119456894168295246842630940993005981576844828180145329--A
119456894168295246842630940993005981576844825612945299--ArrayRef,11945689416829524684263094099300598157684482561294529988127--A
11954882471522--Decl,1195488247152296479--sum
119548824459818494831752894--ArrayRef,11954882445981849483175289421993--A
11945689463218--FuncCall,1194568946321870735--qsort
1195488244701014337--InitList,119548824470101433725903--45
11945689416829804724748243624--i,119456894168298047247482436244210--int
119456894168295246842630940993005987552467416498652913--ArrayRef,11945689416829524684263094099300598755246741649865291313281--r
11945689416829524684263069107--<,119456894168295246842630691079363--r
119456894168295246866787--=,11945689416829524686678758326--+
11945689416829--For,1194568941682952468--Compound
1193887663345439998757791735--Cast,119388766334543999875779173544592--Typename
11945689416829--For,1194568941682980472--DeclList
1194568941682952468426309409930059--If,119456894168295246842630940993005981576--==
119533372--Decl,11953337283769--FuncDecl
119466402--Decl,1194664029293--FuncDecl
11936066264137--FuncDecl,1193606626413799006--ParamList
11945689416829524684263094099300592373649063727769947--ArrayRef,119456894168295246842630940993005923736490637277699478341--l
11954882445981849--/,1195488244598184948317--sizeof
119466402929399506--find3Numbers,11946640292939950635721--bool
1195488244701014337--InitList,119548824470101433767023--4
119388766334543999802358053--Cast,11938876633454399980235805329768--a
119456894168295246842630940993005981576844825612945299--ArrayRef,11945689416829524684263094099300598157684482561294529994823--l
119360662641379900617415--Decl,11936066264137990061741572073--PtrDecl
119548824--Compound,11954882431950--FuncCall
119388766334543999802358053--Cast,11938876633454399980235805337897--Typename
119456894168295246878124--=,11945689416829524687812483291--r
1195488244701014337--InitList,119548824470101433719741--6
11945689416829524684263094099--Compound,1194568941682952468426309409930059--If
119466402929362255--ParamList,11946640292936225565273--Decl
119456894168295246842630940993005981576--==,11945689416829524684263094099300598157684482--+
11945689416829524684263094099300598755246741--<,1194568941682952468426309409930059875524674164986--+
1195488244701014337--InitList,119548824470101433745955--8
1194568941682952468426309409930059875526234--++,119456894168295246842630940993005987552623460087--l
1193606626413743029--cmpfunc,119360662641374302971073--int
119456894168295246842630940993005923736--Compound,11945689416829524684263094099300592373649063--FuncCall
1194568941682952468426309409930059--If,119456894168295246842630940993005987552--If
1194664029293622555755487321--sum,119466402929362255575548732123920--int
119456894168295246842630--While,11945689416829524684263069107--<
11945689416829524684263094099300592373649063727797376--ArrayRef,1194568941682952468426309409930059237364906372779737658756--A
119548824--Compound,11954882471522--Decl
1194568946321846398--ExprList,119456894632184639814171--arr_size
1193--FuncDef,119388766--Compound
119388766334543999802358053378979519296625--None,11938876633454399980235805337897951929662592598--int
11954882471522--Decl,1195488247152277246--22
119456894168295246842630940993005987552--If,11945689416829524684263094099300598755214637----
11954882445981--Decl,11954882445981849--/
119456894632184639842136--sizeof,11945689463218463984213698016--Typename
119456894--Compound,11945689419588--Decl
1194568941682952468--Compound,119456894168295246842630--While
11938876633454399980235805337897--Typename,1193887663345439998023580533789795192--PtrDecl
1194568941682980472--DeclList,119456894168298047247482--Decl
11945689463218--FuncCall,1194568946321846398--ExprList
119456894168295371480290---,11945689416829537148029099003--2
119548824--Compound,1195488245468--Return
11945689416829524684263094099300592373649063--FuncCall,1194568941682952468426309409930059237364906357714--printf
1194664029293622556527346167--ArrayDecl,119466402929362255652734616730430--A
119548824--Compound,11954882447010--Decl
1--FileAST,1195--FuncDef
11945689419588--Decl,1194568941958811658--r
1194568941682952468426309409930059237364906372775570--ArrayRef,119456894168295246842630940993005923736490637277557049328--i
11953337283769--FuncDecl,1195333728376977990--main
1194568941682952468426309409930059815768448256129--+,119456894168295246842630940993005981576844825612928874--ArrayRef
119456894--Compound,11945689478418--Return
1193887663345439998757791735445928244--PtrDecl,119388766334543999875779173544592824435345--None
1195333728376977990--main,119533372837697799042968--int
1194568941682952468426309409930059875524674164986419421484--ArrayRef,11945689416829524684263094099300598755246741649864194214844339--l
11954882447010--Decl,1195488244701014337--InitList
119360662641379900620232--Decl,11936066264137990062023289603--PtrDecl
11945689416829524684263094099300598755246741--<,1194568941682952468426309409930059875524674191357--sum
1193606626413799006--ParamList,119360662641379900617415--Decl
1193887663345439998023--*,119388766334543999802358053--Cast
1194664029293--FuncDecl,119466402929399506--find3Numbers
1194568946321846398--ExprList,119456894632184639842136--sizeof
11936066264137990062023289603--PtrDecl,1193606626413799006202328960395022--b
1195488245468--Return,119548824546884720--0
1194568941682953714--<,119456894168295371480290---
11945689416829524684263094099300592373649063727797376--ArrayRef,1194568941682952468426309409930059237364906372779737622964--r
1194568941682952468426309409930059237364906372775570--ArrayRef,119456894168295246842630940993005923736490637277557069378--A
119466402929362255652734616730430--A,11946640292936225565273461673043035422--int
1--FileAST,1194--FuncDef
1194664029293622556188448125--arr_size,119466402929362255618844812585603--int
11945689463218463984213698016--Typename,119456894632184639842136980167007--None
119456894168298047247482--Decl,11945689416829804724748226930--0
1195488244701014337--InitList,119548824470101433717883--10
119466402929362255--ParamList,11946640292936225561884--Decl
119456894632184639842136980167007--None,1194568946321846398421369801670077905--int
11945689416829524686678758326--+,1194568941682952468667875832666055--1
11945689416829524684263094099300598157684482--+,1194568941682952468426309409930059815768448256129--+
1193606626413799006--ParamList,119360662641379900620232--Decl
119456894168295246842630940993005987552467416498652913--ArrayRef,11945689416829524684263094099300598755246741649865291344875--A
1194568941682952468426309409930059875524674164986419421484--ArrayRef,119456894168295246842630940993005987552467416498641942148410898--A
1195488244598145960--arr_size,119548824459814596076762--int
119388766334543999---,1193887663345439998023--*
11945689416829524684263094099300592373649063727769947--ArrayRef,1194568941682952468426309409930059237364906372776994791795--A
119456894168298047247482--Decl,11945689416829804724748243624--i
1194568941682997432--++,119456894168299743222958--i
119456894168295246842630940993005981576844825612928874--ArrayRef,11945689416829524684263094099300598157684482561292887494311--i
1195488244701014337--InitList,119548824470101433735804--1
11945689416829524684263094099300598755246741649864194--+,1194568941682952468426309409930059875524674164986419421484--ArrayRef
119388766334543999875779173544592--Typename,1193887663345439998757791735445928244--PtrDecl
1194568941682952468781244363---,119456894168295246878124436392081--1
11945689416829524684263094099300598755214637----,1194568941682952468426309409930059875521463719211--r
