11946933424506--Return,1194693342450624394--0
1193909393146279742490172617647558983374379092458833689123--ArrayRef,119390939314627974249017261764755898337437909245883368912385173--mat1
1193909393146279742490172617647558983374379077859--ArrayRef,119390939314627974249017261764755898337437907785966796--j
11946933473959384663857--InitList,1194693347395938466385725154--3
11946933473959384645314--InitList,1194693347395938464531489450--2
11946933421653365310122--InitList,1194693342165336531012285522--3
1193909393146293076--++,119390939314629307639339--i
1194693342165--Decl,119469334216560184--ArrayDecl
119390939--Compound,11939093931462--For
11939093931462797424901726176475589833743790--+=,1193909393146279742490172617647558983374379077859--ArrayRef
11939093931462--For,1193909393146296255--DeclList
1193909393146215979--<,119390939314621597914912--4
1193909393146279742--Compound,119390939314627974225837--FuncCall
11946933465211--If,1194693346521171783--Compound
11946933473959384678753--InitList,1194693347395938467875341807--4
119469334--Compound,11946933465211--If
119390939314627974249017--For,11939093931462797424901781132--DeclList
1193796902261757902672886699432543--ArrayDecl,119379690226175790267288669943254352686--mat2
1194693342165336532285--InitList,119469334216533653228549153--4
119390939--Compound,11939093997419--Decl
11946933465211717834071337822--ExprList,1194693346521171783407133782280880--"The number of columns in Matrix-1 must be equal to the number of rows in Matrix-2\n"
11937969022617--FuncDecl,1193796902261757902--ParamList
119390939314627974249017--For,11939093931462797424901726176--Compound
119469334652117178333664--FuncCall,11946933465211717833366479879--printf
1194693347395362581700038375--mat2,119469334739536258170003837587421--int
11946933473959384622356--InitList,1194693347395938462235611108--1
119390939314627974249017811327069272468--j,11939093931462797424901781132706927246886178--int
11939093931462797424901726176689163470039009--ArrayRef,1193909393146279742490172617668916347003900995348--j
1194693342165336535941--InitList,119469334216533653594165347--2
119390939314627974249017261764755898337--Compound,11939093931462797424901726176475589833743790--+=
11946933421653365368141--InitList,1194693342165336536814135890--1
11946933473959384645314--InitList,1194693347395938464531417300--2
119469334652117178334376--FuncCall,11946933465211717833437610310--exit
119390939314629625577200--Decl,11939093931462962557720013510--i
1193909393146279742490172617647558--For,119390939314627974249017261764755818003--++
11946933473953625817000--ArrayDecl,1194693347395362581700038375--mat2
11939093931462797424901763929--++,1193909393146279742490176392987429--j
119390939314627974225837--FuncCall,11939093931462797422583747070--ExprList
11939093931462797424901726176475588332659611--Decl,1193909393146279742490172617647558833265961120157--0
1193909393146279742490172617668916347003900930275--ArrayRef,119390939314627974249017261766891634700390093027519024--rslt
11939093931462962557720013510--i,1193909393146296255772001351086312--int
119390939314627974249017261764755877366--<,11939093931462797424901726176475587736616774--k
119469334216560184--ArrayDecl,11946933421656018418601--4
1194878873785974001--ParamList,119487887378597400182845--Typename
1193909393146279742490172617647558--For,119390939314627974249017261764755883326--DeclList
11946933421653365368141--InitList,1194693342165336536814191543--1
11946933421653365310122--InitList,1194693342165336531012289753--3
11946933421653365368141--InitList,1194693342165336536814198421--1
1193796902261757902--ParamList,119379690226175790228809--Decl
119469334739593846--InitList,11946933473959384678753--InitList
11948788737859740018284559079--None,1194878873785974001828455907980658--void
1193909399741933552--ArrayDecl,1193909399741933552112--ArrayDecl
119469334739536258--ArrayDecl,11946933473953625817000--ArrayDecl
11939093931462797424901774902--<,1193909393146279742490177490243144--j
11937969022617579022880967061--ArrayDecl,1193796902261757902288096706174226--ArrayDecl
1194693342165336532285--InitList,119469334216533653228573022--4
1193909393146279742490172617647558--For,119390939314627974249017261764755877366--<
1194693347648443618--ExprList,119469334764844361827220--mat2
1193909393146279742--Compound,119390939314627974249017--For
119379690226175790267288--Decl,11937969022617579026728866994--ArrayDecl
119390939314627974249017261766891634700--ExprList,11939093931462797424901726176689163470043018--"%d\t"
119469334216533653--InitList,1194693342165336535941--InitList
11946933465211--If,1194693346521156522--!=
11946933476484--FuncCall,1194693347648435659--mulMat
1194693342165--Decl,119469334216533653--InitList
119390939314627974249017261766891634700--ExprList,11939093931462797424901726176689163470039009--ArrayRef
1193909393146279742490172617647558983374379092458--*,119390939314627974249017261764755898337437909245883368--ArrayRef
119469334--Compound,1194693347395--Decl
11946933421656018427678--ArrayDecl,1194693342165601842767859138--4
119390939314627974249017261763105411298--ArrayRef,11939093931462797424901726176310541129858091--j
1193909393146296255--DeclList,119390939314629625577200--Decl
1193909393146279742490172617668916--FuncCall,119390939314627974249017261766891634700--ExprList
11946933465211717833366461490--ExprList,1194693346521171783336646149024225--"Please update MACROs value according to your array dimension in #define section\n"
1194693342165336532285--InitList,119469334216533653228562762--4
119390939314627974249017261763105411298--ArrayRef,11939093931462797424901726176310541129816859--ArrayRef
11946933473959384663857--InitList,1194693347395938466385742695--3
11939093997419--Decl,1193909399741933552--ArrayDecl
119469334739536258--ArrayDecl,11946933473953625889468--4
1194693346521156522--!=,119469334652115652271038--4
1193796902261781910--mulMat,119379690226178191092425--void
