1194399822534230113--ExprList,119439982253423011319435--"Result matrix is \n"
11943998228160--Decl,119439982281601848--ArrayDecl
11932563316339--For,1193256331633962128--++
119325633163393555831078820639219824272895026960--ArrayRef,11932563316339355583107882063921982427289502696067452--ArrayRef
11932563316339355583107882063921982427--+=,1193256331633935558310788206392198242722031--ArrayRef
119334872895149468884002930--ArrayDecl,11933487289514946888400293087014--ArrayDecl
119325633163393555831078--For,11932563316339355583107882063--Compound
11943998228160387983074--InitList,1194399822816038798307493099--4
119439982183865784629115--InitList,11943998218386578462911512706--4
11932563316339355583107882063921982427289505654831800--ArrayRef,1193256331633935558310788206392198242728950565483180065906--mat2
119439982219535716879997--For,11943998221953571687999737555--=
11932563316339355583107882063921944362--=,119325633163393555831078820639219443629857--0
119439982183865784629115--InitList,11943998218386578462911547464--4
119325633163393555831078820639219824272895056548--ArrayRef,1193256331633935558310788206392198242728950565486535--j
11932563316339355583107882063921982427289505654831800--ArrayRef,119325633163393555831078820639219824272895056548318004029--k
1194399822816038793367--InitList,119439982281603879336759024--1
1194399822195392860--=,119439982219539286063160--0
1194399822195330335--<,119439982219533033561912--i
119325633163393555831078820639219--For,11932563316339355583107882063921945741--<
119439982219535716879997--For,11943998221953571687999735019--++
119439982183865784629115--InitList,11943998218386578462911593188--4
1193--FuncDef,119325633--Compound
119439982281603879--InitList,11943998228160387983074--InitList
119439982447039650693063--ArrayDecl,11943998244703965069306365324--4
1194399821838657846--InitList,119439982183865784668461--InitList
1194399821722139464--ExprList,119439982172213946463170--mat1
11943998228160387983074--InitList,1194399822816038798307452810--4
11943998228160184873737--ArrayDecl,1194399822816018487373777616--4
119439982183865784668461--InitList,11943998218386578466846150094--1
1193348728951494688--ParamList,11933487289514946888400--Decl
11943998228160387919223--InitList,1194399822816038791922316830--2
1193256331633933945--<,11932563316339339453534--i
119325633163393555831078820639219--For,11932563316339355583107882063921982427--+=
1194399822816038793367--InitList,119439982281603879336794445--1
11943998221953571687999790873--FuncCall,1194399822195357168799979087373240--printf
119439982183865784668461--InitList,11943998218386578466846183278--1
1194399822195357168799979087327024--ExprList,119439982219535716879997908732702498312--ArrayRef
11932563316339355583107882063921982427289502696067452--ArrayRef,1193256331633935558310788206392198242728950269606745241798--mat1
11943998221953571687999735019--++,1194399822195357168799973501954336--j
1194399821838657846--InitList,119439982183865784650195--InitList
11943998228160387919223--InitList,119439982281603879192237437--2
11932563316339355583107882063249826299--ArrayRef,1193256331633935558310788206324982629958450--j
11932563316339355583107857869--=,1193256331633935558310785786930321--0
11943998244703--Decl,1194399824470396506--ArrayDecl
11943998218386578469471--InitList,1194399821838657846947188656--3
11943998221953571687999790873--FuncCall,1194399822195357168799979087327024--ExprList
119325633163393555831078820639219824272895026960--ArrayRef,11932563316339355583107882063921982427289502696044999--k
1193256331566827186--j,119325633156682718652912--int
11943998218386--Decl,1194399821838685681--ArrayDecl
11943998221953571681129639571--ExprList,1194399822195357168112963957198086--"\n"
11943998221953--For,1194399822195344352--++
11943998218386856815463549104--mat1,1194399821838685681546354910429552--int
11943998228160--Decl,119439982281603879--InitList
119325633--Compound,11932563315668--Decl
119439982183865784668461--InitList,11943998218386578466846111037--1
1194399822816038793367--InitList,119439982281603879336716031--1
11932563316339355583107882063921982427289502696067452--ArrayRef,1193256331633935558310788206392198242728950269606745237707--i
119325633163393555831078820639219--For,11932563316339355583107882063921957882--++
11943998217221--FuncCall,1194399821722139464--ExprList
119439982183865784650195--InitList,11943998218386578465019537173--2
1193256331633935558--Compound,119325633163393555831078--For
1193348728951425035--multiply,119334872895142503517764--void
11943998228160387983074--InitList,119439982281603879830746758--4
119325633163393555831078820639219--For,11932563316339355583107882063921944362--=
11943998218386--Decl,1194399821838657846--InitList
11943998225342--FuncCall,1194399822534230113--ExprList
119439982219535716811296--FuncCall,119439982219535716811296837--printf
119325633163393555831078820632498--=,11932563316339355583107882063249826299--ArrayRef
1194399822739019550--j,119439982273901955039217--int
119439982447039650693063--ArrayDecl,11943998244703965069306355088--res
119439982183868568154635--ArrayDecl,1194399821838685681546354709--4
119439982--Compound,11943998282434--Decl
119334872895149468874462--Decl,11933487289514946887446279262--ArrayDecl
11943998221953--For,1194399822195357168--Compound
1194399821838685681--ArrayDecl,11943998218386856815946--4
119439982281601848--ArrayDecl,11943998228160184873737--ArrayDecl
1194399828243434981--i,119439982824343498194016--int
119439982219535716879997908732702498312--ArrayRef,11943998221953571687999790873270249831260614--ArrayRef
11943998228160387929685--InitList,1194399822816038792968562759--3
1193256331633935558310788206392198242728950--*,119325633163393555831078820639219824272895056548--ArrayRef
11943998221953571687999737555--=,119439982219535716879997375554249--j
119334872895149468869363--Decl,11933487289514946886936376366--ArrayDecl
119493507--Decl,11949350716544--FuncDecl
119334872895149468874462792628414516001--mat2,11933487289514946887446279262841451600153043--int
119439982281603879--InitList,11943998228160387919223--InitList
1194399822195344352--++,119439982219534435215040--i
119325633163393555831078820639219824272895056548--ArrayRef,11932563316339355583107882063921982427289505654831800--ArrayRef
11943998228160387919223--InitList,1194399822816038791922319318--2
119439982183865784650195--InitList,1194399821838657846501954238--2
11933487289514946888400--Decl,119334872895149468884002930--ArrayDecl
1193256331633933945--<,119325633163393394580693--4
11932563348404--Decl,1193256334840431693--i
1193348728951494688840029308701467085--mat1,119334872895149468884002930870146708583915--int
11932563316339355583107894425--<,119325633163393555831078944258698--j
11943998227390--Decl,1194399822739019550--j
11932563316339355583107846789--++,1193256331633935558310784678910521--j
1193--FuncDef,119334872--Decl
119439982281603879--InitList,1194399822816038793367--InitList
11932563315668--Decl,1193256331566827186--j
11932563316339355583107894425--<,1193256331633935558310789442571754--4
119439982--Compound,11943998228160--Decl
11932563316339--For,1193256331633993970--=
1193256331633993970--=,11932563316339939706232--0
119439982183865784650195--InitList,11943998218386578465019568252--2
11943998221953571687999737555--=,1194399822195357168799973755537776--0
11933487289514946888400293087014--ArrayDecl,1193348728951494688840029308701467085--mat1
11932563316339355583107882063249826299--ArrayRef,1193256331633935558310788206324982629941294--ArrayRef
119439982183865784650195--InitList,11943998218386578465019580364--2
1194399821722139464--ExprList,119439982172213946441474--mat2
1193256331633935558310788206392198242722031598--ArrayRef,119325633163393555831078820639219824272203159841540--i
119334872895149468869363763668164231451--res,11933487289514946886936376366816423145184537--int
11943998225342--FuncCall,1194399822534283251--printf
119439982--Compound,11943998218386--Decl
119439982219535716879997908732702498312--ArrayRef,11943998221953571687999790873270249831267145--j
11943998244703965069306355088--res,1194399824470396506930635508857030--int
1193348728951494688744627926284145--ArrayDecl,119334872895149468874462792628414584297--4
119439982--Compound,11943998227390--Decl
11943998218386578469471--InitList,1194399821838657846947166665--3
119439982--Compound,11943998273350--Return
119325633--Compound,11932563377546--Decl
1193348728951494688744627926284145--ArrayDecl,119334872895149468874462792628414516001--mat2
1193256337754626775--k,119325633775462677591762--int
1194399822195357168799972915--<,119439982219535716879997291540430--j
11932563316339355583107882063921957882--++,1193256331633935558310788206392195788225852--k
11932563316339355583107882063921944362--=,1193256331633935558310788206392194436233703--k
11932563316339355583107882063921982427--+=,1193256331633935558310788206392198242728950--*
11933487289514946888400293087014--ArrayDecl,1193348728951494688840029308701447071--4
11932563316339--For,1193256331633935558--Compound
1194--FuncDef,119493507--Decl
11943998228160387929685--InitList,1194399822816038792968573472--3
1--FileAST,1193--FuncDef
11933487289514--FuncDecl,1193348728951425035--multiply
1194935071654431120--main,119493507165443112031951--int
1194399822195392860--=,11943998221953928609638--i
1193256331633935558310788206392198242722031--ArrayRef,1193256331633935558310788206392198242722031598--ArrayRef
1194399821838657846--InitList,119439982183865784629115--InitList
1--FileAST,1194--FuncDef
119439982183865784668461--InitList,11943998218386578466846156045--1
1193256331633935558310788206392198242722031598--ArrayRef,11932563316339355583107882063921982427220315989604--res
119325633163393555831078820632498--=,11932563316339355583107882063249898133--0
11932563316339355583107882063--Compound,119325633163393555831078820632498--=
11943998221953571687999790873270249831260614--ArrayRef,119439982219535716879997908732702498312606148206--res
1194--FuncDef,119439982--Compound
