119311111--ArrayDecl,1193111111--A
1193--FuncDef,11931--Decl
119424--For,1194242--<
119321411--&&,1193214111--!=
1193214122121--ArrayRef,11932141221212--x
11942--Compound,119423--FuncCall
1--FileAST,1194--FuncDef
1194212--InitList,11942127--2
1193212--<,11932121--i
11932141222--Compound,119321412223--=
11942122---,119421221--1
11941--Decl,119411--FuncDecl
1193214121--Decl,11932141211--x
1193212--<,11932122--len
11942111--A,119421111--int
1193211--DeclList,11932111--Decl
11942--Compound,119422--Decl
1194222--/,11942221--sizeof
119321--For,1193211--DeclList
1193214111--!=,11932141111--ArrayRef
119321412223--=,1193214122232--y
1193214112--!=,11932141121--ArrayRef
11942121---,119421211--1
11942442--ExprList,119424422--ArrayRef
11932141222--Compound,119321412221--Decl
11932141221--&&,119321412212--!=
11932141222--Compound,119321412222--=
11942442--ExprList,119424421--"%d "
119321111--i,1193211111--int
119321412211--!=,1193214122111--ArrayRef
11932141121--ArrayRef,119321411211--A
11932141212--ArrayRef,119321412122--i
11932141111--ArrayRef,119321411111--A
1193214122212--ArrayRef,11932141222121--A
11932141241--!=,119321412412--i
1194212--InitList,11942125--9
119321412221--Decl,1193214122211--y
1194212--InitList,11942126--3
1194212--InitList,11942129--4
11931112--Decl,119311121--len
119424--For,1194243--++
11942221--sizeof,119422211--A
119422221--ArrayRef,1194222212--0
11942411--Decl,119424111--i
11932141112---,119321411121--1
119321412222--=,1193214122222--x
1193214124211--ArrayRef,11932141242111--A
119321412211--!=,1193214122112---
1193214122211--y,11932141222111--int
1193214122--While,11932141221--&&
1194232--ExprList,11942322--len
119421--Decl,1194212--InitList
1193214123--=,11932141231--ArrayRef
11932141212--ArrayRef,119321412121--A
119422221--ArrayRef,1194222211--A
119321412--Compound,1193214122--While
1193112--fixArray,11931121--void
1193214123--=,11932141232--x
119321412411--ArrayRef,1193214124112--i
119321412223--=,1193214122231--x
1194211--ArrayDecl,11942111--A
11942--Compound,119424--For
119321412212--!=,1193214122122--x
1194212--InitList,11942121---
1194212--InitList,119421210---
119424422--ArrayRef,1194244221--A
1193--FuncDef,11932--Compound
119311--FuncDecl,1193112--fixArray
119321411--&&,1193214112--!=
1193111--ParamList,11931111--Decl
1193214--Compound,11932141--If
1194222--/,11942222--sizeof
119321--For,1193212--<
11932141--If,119321412--Compound
1193214122221--ArrayRef,11932141222211--A
119321412221--Decl,1193214122212--ArrayRef
119321412--Compound,1193214124--If
11932141211--x,119321412111--int
119421--Decl,1194211--ArrayDecl
11932141242--Compound,119321412421--=
1194244--FuncCall,11942442--ExprList
119321412411--ArrayRef,1193214124111--A
1194241--DeclList,11942411--Decl
119423--FuncCall,1194232--ExprList
11942411--Decl,119424112--0
119321412--Compound,1193214121--Decl
1194212--InitList,11942122---
1194221--len,11942211--int
119321412222--=,1193214122221--ArrayRef
119321--For,1193214--Compound
11932141121--ArrayRef,119321411212--i
1194111--main,11941111--int
11942222--sizeof,119422221--ArrayRef
11932141111--ArrayRef,119321411112--i
1193214112--!=,11932141122--i
11932141221--&&,119321412211--!=
119321412421--=,1193214124212---
11932141--If,119321411--&&
119423--FuncCall,1194231--fixArray
1194232--ExprList,11942321--A
1194212--InitList,11942123--6
11942128---,119421281--1
1193214122221--ArrayRef,11932141222212--x
1193214122212--ArrayRef,11932141222122--x
11931111--Decl,119311111--ArrayDecl
1194212--InitList,11942128---
119321--For,1193213--++
1193214124--If,11932141242--Compound
1193111--ParamList,11931112--Decl
1193111111--A,11931111111--int
1194242--<,11942422--len
119311121--len,1193111211--int
1193214111--!=,11932141112---
1194242--<,11942421--i
11932141231--ArrayRef,119321412311--A
119411--FuncDecl,1194111--main
1193214124211--ArrayRef,11932141242112--i
11932141231--ArrayRef,119321412312--x
1194--FuncDef,11941--Decl
1194212--InitList,11942124--1
119421210---,1194212101--1
119321412--Compound,1193214123--=
1193214122121--ArrayRef,11932141221211--A
119321412421--=,1193214124211--ArrayRef
1--FileAST,1193--FuncDef
11932111--Decl,119321111--i
119321412212--!=,1193214122121--ArrayRef
119424--For,1194244--FuncCall
11932111--Decl,119321112--0
11931--Decl,119311--FuncDecl
1193214124--If,11932141241--!=
1193213--++,11932131--i
1194243--++,11942431--i
11942--Compound,119421--Decl
1193214122111--ArrayRef,11932141221111--A
1193214124212---,11932141242121--1
119424422--ArrayRef,1194244222--i
119422--Decl,1194221--len
119311--FuncDecl,1193111--ParamList
11932--Compound,119321--For
11932141241--!=,119321412411--ArrayRef
1193214121--Decl,11932141212--ArrayRef
119422--Decl,1194222--/
1193214122111--ArrayRef,11932141221112--x
119424111--i,1194241111--int
1194--FuncDef,11942--Compound
1193214122112---,11932141221121--1
1194244--FuncCall,11942441--printf
1193214122--While,11932141222--Compound
119424--For,1194241--DeclList
