119423212--ExprList,1194232121--"The number of columns in Matrix-1 must be equal to the number of rows in Matrix-2\n"
1193--FuncDef,11931--Decl
119425--Return,1194251--0
119323414--Compound,1193234141--=
11931112111--mat2,119311121111--int
11932341--For,119323414--Compound
119423--If,1194232--Compound
119323414211--Decl,1193234142111--k
11932--Compound,119321--Decl
1--FileAST,1194--FuncDef
1194222--InitList,11942223--InitList
1193234142411--ArrayRef,11932341424112--j
11942123--InitList,119421231--3
119424--FuncCall,1194242--ExprList
11941--Decl,119411--FuncDecl
119422111--mat2,1194221111--int
11942--Compound,119423--If
1194222--InitList,11942222--InitList
11932341424--Compound,119323414241--+=
1194212--InitList,11942123--InitList
1194232--Compound,11942323--FuncCall
1193234111--Decl,11932341111--j
119323414241211--ArrayRef,1193234142412112--i
11942--Compound,119422--Decl
11942124--InitList,119421244--4
11932341--For,119323412--<
11942124--InitList,119421241--4
11942124--InitList,119421242--4
119411--FuncDecl,1194111--ParamList
119323413--++,1193234131--j
11932341111--j,119323411111--int
1193231--DeclList,11932311--Decl
11932341422--<,119323414222--4
1193234--Compound,11932342--FuncCall
11932341424111--ArrayRef,119323414241112--i
11942221--InitList,119422211--1
119322--FuncCall,1193221--printf
11942224--InitList,119422243--4
11942111--ArrayDecl,119421111--mat1
1194222--InitList,11942221--InitList
11942323--FuncCall,119423232--ExprList
11942123--InitList,119421234--3
1194232--Compound,11942322--FuncCall
1194112--main,11941121--int
1193234142412--*,11932341424122--ArrayRef
119323422--ExprList,1193234221--"\n"
11932342--FuncCall,119323422--ExprList
1193234111--Decl,11932341112--0
1193234--Compound,11932341--For
1194222--InitList,11942224--InitList
11942211--ArrayDecl,119422112--4
119323--For,1193232--<
11942121--InitList,119421213--1
11942321--FuncCall,119423211--printf
1193211--ArrayDecl,11932112--4
11942122--InitList,119421222--2
119411111--None,1194111111--void
119421--Decl,1194212--InitList
119323414--Compound,1193234143--FuncCall
11942223--InitList,119422232--3
119323414241221--ArrayRef,1193234142412211--mat2
11942121--InitList,119421214--1
1194212--InitList,11942124--InitList
11932--Compound,119322--FuncCall
11931111111--mat1,119311111111--int
1194212--InitList,11942122--InitList
11942121--InitList,119421212--1
1194212--InitList,11942121--InitList
11942321--FuncCall,119423212--ExprList
1193234142--For,11932341422--<
11932341422--<,119323414221--k
1193--FuncDef,11932--Compound
119321--Decl,1193211--ArrayDecl
119323414322--ArrayRef,1193234143222--j
11932341432--ExprList,119323414321--"%d\t"
119323414211--Decl,1193234142112--0
119321111--rslt,1193211111--int
119323414241--+=,1193234142411--ArrayRef
1193234142--For,11932341421--DeclList
11942123--InitList,119421233--3
119423222--ExprList,1194232221--"Please update MACROs value according to your array dimension in #define section\n"
1193111--ParamList,11931111--Decl
1193234142412--*,11932341424121--ArrayRef
1193111111--ArrayDecl,11931111112--4
11942--Compound,119425--Return
11942223--InitList,119422231--3
11942224--InitList,119422241--4
119422--Decl,1194222--InitList
119323414111--ArrayRef,1193234141111--rslt
1193234142111--k,11932341421111--int
119421--Decl,1194211--ArrayDecl
11942124--InitList,119421243--4
11942122--InitList,119421221--2
119423232--ExprList,1194232321--1
1193234141--=,11932341412--0
11942221--InitList,119422213--1
119323414241--+=,1193234142412--*
11932111--ArrayDecl,119321112--4
1194242--ExprList,11942421--mat1
1194231--!=,11942311--4
119323414241211--ArrayRef,1193234142412111--mat1
11932341411--ArrayRef,119323414111--ArrayRef
11942111--ArrayDecl,119421112--4
11932341432--ExprList,119323414322--ArrayRef
11932341424121--ArrayRef,119323414241212--k
11942222--InitList,119422221--2
1193234143221--ArrayRef,11932341432211--rslt
1193232--<,11932322--4
119423--If,1194231--!=
1194232--Compound,11942321--FuncCall
1193111211--ArrayDecl,11931112112--4
11942323--FuncCall,119423231--exit
119323414241221--ArrayRef,1193234142412212--k
11932341424122--ArrayRef,119323414241221--ArrayRef
11932341421--DeclList,119323414211--Decl
1193232--<,11932321--i
11932341--For,119323411--DeclList
11942221--InitList,119422212--1
119311121--ArrayDecl,1193111211--ArrayDecl
11931111--Decl,119311111--ArrayDecl
11942121--InitList,119421211--1
11941111--Typename,119411111--None
119311--FuncDecl,1193112--mulMat
