11948510420760592559397224804--i,1194851042076059255939722480499034--int
11937653281315320923505266871--ArrayRef,1193765328131532092350526687138578--0
119376532813153209243436521608881---,11937653281315320924343652160888124106--n
1193765328131512269--DeclList,119376532813151226966431--Decl
119485104853558716373802--sizeof,11948510485355871637380227657--ArrayRef
119376532--Compound,11937653281315--For
119485104--Compound,11948510470527--Decl
119485104639520003--InitList,11948510463952000318175--6
1193765328131532092--Compound,119376532813153209218337--For
1194851048074695249--ExprList,11948510480746952497352--arr
1193765328131532092183378048224320---,119376532813153209218337804822432055003--1
119376532813153209218337770498450321374--j,11937653281315320921833777049845032137449099--int
119485104639520003--InitList,11948510463952000383304--5
119399714--Decl,11939971490075--FuncDecl
11948510420760--For,1194851042076059255--DeclList
1194851042076068329--FuncCall,119485104207606832959162--ExprList
11948510463959273657795--arr,1194851046395927365779517934--int
119485104639520003--InitList,11948510463952000321915--12
1193765328131527782--<,119376532813152778299218--i
119376532813153209243436--=,11937653281315320924343652160--ArrayRef
11948510485355--Decl,1194851048535587163--/
1194851048074695249--ExprList,11948510480746952492562--position
1194851042076059255--DeclList,119485104207605925593972--Decl
119485104--Compound,11948510480746--FuncCall
119427461944973556--main,11942746194497355634979--int
11948510485355871637380227657--ArrayRef,1194851048535587163738022765790992--arr
11937653281315320923505266871--ArrayRef,1193765328131532092350526687176225--arr
1194851048074695249--ExprList,119485104807469524940394--n
11937653281315--For,1193765328131532092--Compound
119485104207606832959162--ExprList,1194851042076068329591628321--ArrayRef
1194--FuncDef,119427461--Decl
1194851042076095496--++,119485104207609549661069--i
11948510420760--For,1194851042076092021--<
119485104639520003--InitList,11948510463952000360384--10
1194851048535587163--/,119485104853558716373802--sizeof
1194--FuncDef,119485104--Compound
11937653281315320921833741650--=,1193765328131532092183374165012585--ArrayRef
119376532813153209235052--Decl,11937653281315320923505276106--x
119485104--Compound,11948510485355--Decl
119376532813151226966431--Decl,11937653281315122696643126436--i
11948510480746--FuncCall,1194851048074696371--splitArr
11937653281315320921833788909--++,1193765328131532092183378890958548--j
119399714900755529833988--Decl,11939971490075552983398841669--ArrayDecl
119485104639520003--InitList,11948510463952000371598--52
119376532813153209243436521608881---,11937653281315320924343652160888194059--1
119399714900755529856246--Decl,11939971490075552985624630250--n
11948510420760--For,1194851042076095496--++
11948510480746--FuncCall,1194851048074695249--ExprList
1193765328131582230--++,119376532813158223093417--i
1194851042076092021--<,119485104207609202178361--n
119376532813153209218337416507136860174--+,11937653281315320921833741650713686017488198--j
1193765328131532092183374165071368--ArrayRef,119376532813153209218337416507136860174--+
11948510485355871633745--sizeof,1194851048535587163374525180--arr
1194851048535513452--n,119485104853551345228083--int
119485104--Compound,1194851046395--Decl
1193997149007555298--ParamList,119399714900755529856246--Decl
11937653281315--For,1193765328131512269--DeclList
119376532813153209243436--=,11937653281315320924343664665--x
11939971490075552983398841669--ArrayDecl,1193997149007555298339884166941317--arr
1193765328131532092--Compound,119376532813153209235052--Decl
1193765328131532092--Compound,119376532813153209243436--=
119427461--Decl,1194274619449--FuncDecl
11937653281315320924343652160--ArrayRef,1193765328131532092434365216037610--arr
1193765328131532092183378048224320---,119376532813153209218337804822432043449--n
11937653281315--For,1193765328131527782--<
11939971490075552983848--Decl,1193997149007555298384890381--k
1193765328131532092183377704984503--Decl,119376532813153209218337770498450321374--j
11937653281315320921833780482--<,1193765328131532092183378048224320---
1193--FuncDef,119399714--Decl
1194274619449--FuncDecl,119427461944973556--main
1--FileAST,1193--FuncDef
11937653281315320921833741650--=,1193765328131532092183374165071368--ArrayRef
119485104--Compound,11948510420760--For
119376532813153209235052--Decl,11937653281315320923505266871--ArrayRef
1193--FuncDef,119376532--Compound
1194851048535587163--/,11948510485355871633745--sizeof
1--FileAST,1194--FuncDef
119485104207606832959162--ExprList,11948510420760683295916251252--"%d "
1194851042076068329591628321--ArrayRef,119485104207606832959162832144344--i
11939971490075--FuncDecl,1193997149007555298--ParamList
11948510470527--Decl,1194851047052790422--2
1193765328131532092183374165071368--ArrayRef,119376532813153209218337416507136856042--arr
119376532813153209218337--For,11937653281315320921833741650--=
1193765328131532092183374165012585--ArrayRef,119376532813153209218337416501258514181--j
11939971490075552985624630250--n,1193997149007555298562463025030113--int
11937653281315320923505276106--x,1193765328131532092350527610662331--int
119376532813151226966431--Decl,119376532813151226966431673--0
1193997149007582771--splitArr,119399714900758277170728--void
119376532813153209218337--For,11937653281315320921833777049--DeclList
11937653281315122696643126436--i,1193765328131512269664312643678041--int
1194851046395--Decl,119485104639520003--InitList
11937653281315320921833780482--<,1193765328131532092183378048245275--j
119376532813153209218337416507136860174--+,11937653281315320921833741650713686017478933--1
1194851042076068329591628321--ArrayRef,119485104207606832959162832120422--arr
11948510485355871637380227657--ArrayRef,1194851048535587163738022765726266--0
11948510495255--Return,1194851049525555710--0
1194851042076068329--FuncCall,119485104207606832916682--printf
11948510470527--Decl,1194851047052729351--position
1193997149007555298--ParamList,11939971490075552983848--Decl
119485104207605925593972--Decl,11948510420760592559397224804--i
11948510485355--Decl,1194851048535513452--n
11937653281315320921833777049--DeclList,1193765328131532092183377704984503--Decl
11948510420760--For,1194851042076068329--FuncCall
1194851042076092021--<,119485104207609202134109--i
119485104639520003--InitList,11948510463952000325553--36
119485104639592736--ArrayDecl,11948510463959273657795--arr
119376532813153209218337--For,11937653281315320921833780482--<
1193765328131527782--<,119376532813152778267822--k
1193997149007555298339884166941317--arr,119399714900755529833988416694131717260--int
119485104--Compound,11948510495255--Return
11937653281315--For,1193765328131582230--++
11937653281315320924343652160--ArrayRef,119376532813153209243436521608881---
1193997149007555298384890381--k,119399714900755529838489038177804--int
1194851047052729351--position,119485104705272935165004--int
119485104207605925593972--Decl,11948510420760592559397282576--0
1194851046395--Decl,119485104639592736--ArrayDecl
1193997149007555298--ParamList,119399714900755529833988--Decl
1193765328131532092183374165012585--ArrayRef,119376532813153209218337416501258524602--arr
11939971490075--FuncDecl,1193997149007582771--splitArr
119376532813153209218337--For,11937653281315320921833788909--++
1193765328131532092183377704984503--Decl,119376532813153209218337770498450338558--0
