11939933188490483293705293411--x,1193993318849048329370529341160117--int
1193993318849048329249326933972261--ArrayRef,119399331884904832924932693397226179213--arr
11946436281740--FuncDecl,1194643628174034790--main
11941413544051--Return,1194141354405182426--0
11939933188490--For,1193993318849099200--<
1194--FuncDef,119414135--Compound
1193993318849048329248023729686120---,119399331884904832924802372968612031175--n
119399331884904832924932--For,11939933188490483292493271836--++
1193993318849099200--<,119399331884909920013719--k
1194141352969538193--ExprList,119414135296953819354928--arr
1194643628174034790--main,119464362817403479039232--int
1194141353973661504--/,119414135397366150418073--sizeof
119331736248593869543091--Decl,11933173624859386954309178092--k
11939933188490--For,1193993318849052585--++
1193993318849099200--<,119399331884909920082349--i
11939933188490--For,1193993318849048329--Compound
11939933188490483292493232301--DeclList,1193993318849048329249323230115206--Decl
11939933188490483292480237296--ArrayRef,1193993318849048329248023729686120---
11939933188490483292493271836--++,1193993318849048329249327183635516--j
11941413581508--Decl,1194141358150876595--ArrayDecl
11941413580280936123--Decl,1194141358028093612338761--i
1194141358150886937--InitList,119414135815088693797753--10
119399331884904832924932--For,11939933188490483292493232301--DeclList
119331736--Decl,11933173624859--FuncDecl
11933173624859--FuncDecl,1193317362485938695--ParamList
11941413580280--For,119414135802809361--DeclList
1194141358150886937--InitList,119414135815088693716786--5
11933173624859386955181783089--ArrayDecl,1193317362485938695518178308994557--arr
1--FileAST,1193--FuncDef
1194141358150886937--InitList,119414135815088693722403--6
11941413529695--FuncCall,1194141352969538193--ExprList
11939933188490483293705211733--ArrayRef,1193993318849048329370521173394027--arr
119414135802809361--DeclList,11941413580280936123--Decl
11939933188490--For,1193993318849090498--DeclList
1194--FuncDef,119464362--Decl
1194141353973661504--/,119414135397366150433163--sizeof
119399331884904832924932201936903---,11939933188490483292493220193690380230--1
1193317362485987548--splitArr,119331736248598754855766--void
119414135--Compound,11941413539736--Decl
1193993318849090498--DeclList,119399331884909049816574--Decl
119399331884904832937052--Decl,11939933188490483293705293411--x
1193993318849048329249323230115206--Decl,119399331884904832924932323011520660890--j
119331736248593869551817--Decl,11933173624859386955181783089--ArrayDecl
1194141358150886937--InitList,119414135815088693711327--12
119399331884904832924932693397226136225--+,11939933188490483292493269339722613622573928--1
11941413539736615043316317215--ArrayRef,1194141353973661504331631721569123--arr
11941413580280--For,1194141358028024176--++
119399331884909049816574--Decl,11939933188490904981657459033--0
1193317362485938695--ParamList,119331736248593869551817--Decl
1194141352969538193--ExprList,119414135296953819336074--position
11941413585346--Decl,1194141358534624363--position
1194141358150876595--ArrayDecl,11941413581508765954512--arr
119414135--Compound,11941413585346--Decl
119399331884909049816574--Decl,11939933188490904981657454480--i
11933173624859386951248787876--n,1193317362485938695124878787616921--int
11941413539736615043316317215--ArrayRef,1194141353973661504331631721589784--0
11941413581508765954512--arr,1194141358150876595451299986--int
1193993318849048329248023729686120---,11939933188490483292480237296861202748--1
11941413580280560307389--ExprList,1194141358028056030738968079--ArrayRef
1194141352969538193--ExprList,119414135296953819319214--n
119331736248593869512487--Decl,11933173624859386951248787876--n
11941413581508--Decl,1194141358150886937--InitList
119399331884904832924932693397226136225--+,11939933188490483292493269339722613622589036--j
11941413529695--FuncCall,119414135296953893--splitArr
119399331884904832924932--For,11939933188490483292493220193--<
11941413585346--Decl,1194141358534673119--2
119399331884904832924802--=,11939933188490483292480260640--x
119414135--Compound,11941413544051--Return
11933173624859386954309178092--k,1193317362485938695430917809248189--int
1193993318849048329249323230115206--Decl,119399331884904832924932323011520690045--0
119399331884904832924932201936903---,11939933188490483292493220193690336165--n
1193993318849048329249326933972261--ArrayRef,119399331884904832924932693397226136225--+
119414135397366150433163--sizeof,11941413539736615043316317215--ArrayRef
119414135397366150418073--sizeof,11941413539736615041807322061--arr
1194141358028087970--<,119414135802808797099028--i
1194141358028087970--<,119414135802808797074336--n
119414135--Compound,11941413529695--FuncCall
119414135--Compound,11941413581508--Decl
11939933188490483292493220193--<,1193993318849048329249322019387948--j
11941413580280936123--Decl,119414135802809361238040--0
1194141353973612339--n,119414135397361233928976--int
1194141358028056030--FuncCall,119414135802805603093045--printf
119399331884904832924932693395662--ArrayRef,11939933188490483292493269339566210982--j
1194141358150886937--InitList,119414135815088693779571--36
119399331884904832924932693395662--ArrayRef,11939933188490483292493269339566218207--arr
11939933188490483292493220193--<,119399331884904832924932201936903---
11941413580280560307389--ExprList,1194141358028056030738952282--"%d "
11941413580280--For,1194141358028056030--FuncCall
1193--FuncDef,119331736--Decl
11939933188490483292493269339--=,1193993318849048329249326933972261--ArrayRef
11939933188490904981657454480--i,1193993318849090498165745448067560--int
1194141358028056030738968079--ArrayRef,119414135802805603073896807915473--arr
1194141358028024176--++,119414135802802417665399--i
1194141358028056030738968079--ArrayRef,119414135802805603073896807919292--i
1193993318849052585--++,119399331884905258510640--i
1193317362485938695--ParamList,119331736248593869543091--Decl
11941413580280--For,1194141358028087970--<
1193--FuncDef,119399331--Compound
11939933188490483293705211733--ArrayRef,1193993318849048329370521173316208--0
1193993318849048329--Compound,119399331884904832924932--For
11933173624859--FuncDecl,1193317362485987548--splitArr
119399331884904832937052--Decl,11939933188490483293705211733--ArrayRef
11939933188490483292480237296--ArrayRef,1193993318849048329248023729618978--arr
11941413539736--Decl,1194141353973612339--n
1193317362485938695518178308994557--arr,119331736248593869551817830899455740488--int
11941413539736--Decl,1194141353973661504--/
119399331884904832924932--For,11939933188490483292493269339--=
1194141358028056030--FuncCall,11941413580280560307389--ExprList
119399331884904832924932323011520660890--j,11939933188490483292493232301152066089086643--int
1194141358028093612338761--i,119414135802809361233876158395--int
1193993318849048329--Compound,119399331884904832937052--Decl
11939933188490483292493269339--=,119399331884904832924932693395662--ArrayRef
119464362--Decl,11946436281740--FuncDecl
119399331884904832924802--=,11939933188490483292480237296--ArrayRef
1--FileAST,1194--FuncDef
119399331--Compound,11939933188490--For
1193993318849048329--Compound,119399331884904832924802--=
1194141358150886937--InitList,119414135815088693734914--52
1193317362485938695--ParamList,119331736248593869512487--Decl
1194141358534624363--position,119414135853462436327794--int
119414135--Compound,11941413580280--For
