119335073--Compound,11933507391806--Return
11945714270854505245208416360687322385633191--ArrayRef,1194571427085450524520841636068732238563319126595--arr
1193350739180681793693686495190394821280415--None,119335073918068179369368649519039482128041544420--int
1195427705494582659--InitList,119542770549458265971962--5
119457142--Compound,11945714256736--Decl
11945714270854505245208416360687324448131209--FuncCall,1194571427085450524520841636068732444813120999876--printf
119457142--Compound,11945714232149--FuncCall
1194--FuncDef,119457142--Compound
119335073918068179---,11933507391806817944852--*
1194459861277--FuncDecl,119445986127797346--find3largest
11945714256736--Decl,1194571425673632753--count
119457142708545052452084--If,11945714270854505245208416360--Compound
1194459861277166697499612520--ArrayDecl,119445986127716669749961252021339--arr
11937206898889164--ParamList,1193720689888916432332--Decl
119372068988--FuncDecl,11937206898816277--cmpfunc
1195427705494582659--InitList,119542770549458265949521---
1193350739180681794485282787269658291183528--None,119335073918068179448528278726965829118352898674--int
11937206898816277--cmpfunc,1193720689881627747746--int
1193720689888916432332--Decl,119372068988891643233239146--PtrDecl
1195427705494582659--InitList,119542770549458265949005--45
1193350739180681793693686495--Cast,119335073918068179369368649519039--Typename
11933507391806817944852--*,1193350739180681794485282787--Cast
1194571427085450524520841636068732--If,119457142708545052452084163606873244481--Compound
1193720689888916469792--Decl,119372068988891646979274827--PtrDecl
11945714270854863354800094505--i,1194571427085486335480009450548051--int
1194571427085450524--Compound,119457142708545052452084--If
1194571423214986915--ExprList,119457142321498691588445--sizeof
11954277044266--Decl,1195427704426625215--/
1194571423214986915--ExprList,119457142321498691513918--arr
119457142708545052452084163606873244481--Compound,11945714270854505245208416360687324448131209--FuncCall
119457142708548633548000--Decl,11945714270854863354800029500--1
11945714270854--For,1194571427085486335--DeclList
1194571427956--Decl,119457142795647373--check
119542770--Compound,11954277054945--Decl
1195427705494582659--InitList,119542770549458265961455--54
11945714270854505245208416360687322385633191--ArrayRef,1194571427085450524520841636068732238563319125590---
11944598612771666974996--Decl,1194459861277166697499612520--ArrayDecl
1193720--Decl,119372068988--FuncDecl
119542770442662521559546--sizeof,11954277044266252155954634717--ArrayRef
11945714232149--FuncCall,1194571423214993049--qsort
1193350739180681793693686495--Cast,119335073918068179369368649564717--b
119542770--Compound,11954277044266--Decl
11937206898889164--ParamList,1193720689888916469792--Decl
1--FileAST,1193--FuncDef
1195427701578418069--ExprList,119542770157841806935994--n
119445986127797346--find3largest,1194459861277973461282--void
11954277015784--FuncCall,1195427701578453188--find3largest
1195--FuncDef,119542770--Compound
119372068988891643233239146--PtrDecl,11937206898889164323323914628114--b
11945714270854505245208416360687324448131209--FuncCall,1194571427085450524520841636068732444813120940741--ExprList
1194571427085450524520841636068732444815245876691--ArrayRef,11945714270854505245208416360687324448152458766912489---
1195427704426625215--/,119542770442662521590779--sizeof
119457142708545052452084163606873244481--Compound,11945714270854505245208416360687324448126498--++
11933507391806817936936--*,1193350739180681793693686495--Cast
119457142708545052452084--If,1194571427085450524520845671--<
119542770549458265986110---,11954277054945826598611069508--1
119457142708545052452084163606873244481--Compound,11945714270854505245208416360687324448152458--=
1194--FuncDef,119445986--Decl
1194459861277--FuncDecl,119445986127716669--ParamList
1195427705494582659--InitList,119542770549458265990681--23
1194571427956--Decl,119457142795674973--0
119457142708545052452084163606873223856--!=,11945714270854505245208416360687322385696989--check
1193350739180681794485282787--Cast,119335073918068179448528278785414--a
1194571427085453866--++,119457142708545386627115--i
11945714270854505245208416360687324448152458766912489---,1194571427085450524520841636068732444815245876691248963905--i
1195427704426625215--/,119542770442662521559546--sizeof
1195427705494582659--InitList,119542770549458265920831--12
119457142708545052452084--If,1194571427085450524520849493--Break
11954277054945125926530--arr,1195427705494512592653054812--int
11945714270854505245208416360687324448131209407411869310782---,1194571427085450524520841636068732444813120940741186931078224954--n
11954277015784--FuncCall,1195427701578418069--ExprList
1194571427085450524520841636068732238563319125590---,119457142708545052452084163606873223856331912559097649--n
1194571427085450524520841636068732--If,119457142708545052452084163606873223856--!=
11954277054945--Decl,1195427705494582659--InitList
119457142708545052452084163606873223856--!=,11945714270854505245208416360687322385633191--ArrayRef
11933507391806--Return,119335073918068179---
1195427704426621215--n,119542770442662121570111--int
119542770--Compound,11954277015784--FuncCall
1193350739180681794485282787--Cast,119335073918068179448528278726965--Typename
1194571427085450524520841636068732444813120940741--ExprList,119457142708545052452084163606873244481312094074189646--"%d "
119372068988891646979274827--PtrDecl,1193720689888916469792748273264--a
11945714232149--FuncCall,1194571423214986915--ExprList
11945714270854505245208416360687324448131209407411869310782---,11945714270854505245208416360687324448131209407411869310782248--i
1193--FuncDef,1193720--Decl
119457142795647373--check,11945714279564737349869--int
119445986127716669749961252021339--arr,11944598612771666974996125202133980370--int
1194571427085450524520845671--<,119457142708545052452084567135898--4
1194571427085446220--<=,119457142708544622074620--i
11944598612771666997348--Decl,1194459861277166699734890770--n
1194571423214986915--ExprList,119457142321498691562012--cmpfunc
1195526929190--FuncDecl,119552692919096447--main
119445986127716669--ParamList,11944598612771666997348--Decl
1195427705494582659--InitList,119542770549458265942449--45
11945714270854--For,1194571427085453866--++
11955269--Decl,1195526929190--FuncDecl
119335073918068179448528278726965--Typename,11933507391806817944852827872696582911--PtrDecl
1195427705494582659--InitList,11954277054945826594706--0
1193720689888916469792748273264--a,119372068988891646979274827326424597--void
11945714270854505245208416360687324448126498--++,1194571427085450524520841636068732444812649853553--count
1195427705494582659--InitList,119542770549458265986110---
11933507391806817944852827872696582911--PtrDecl,1193350739180681794485282787269658291183528--None
1194571427085450524520841636068732238563319125590---,119457142708545052452084163606873223856331912559091767--i
119457142--Compound,1194571427956--Decl
119552692919096447--main,11955269291909644757636--int
11937206898889164323323914628114--b,11937206898889164323323914628114972--void
119445986127716669--ParamList,11944598612771666974996--Decl
11945714270854505245208416360687324448152458--=,1194571427085450524520841636068732444815245876691--ArrayRef
1194571423214986915884451961516980--None,11945714232149869158844519615169805621--int
119457142708545052452084163606873244481312094074118693--ArrayRef,11945714270854505245208416360687324448131209407411869337613--arr
119372068988--FuncDecl,11937206898889164--ParamList
1194571427085450524520841636068732444813120940741--ExprList,119457142708545052452084163606873244481312094074118693--ArrayRef
1194571427085450524520841636068732444815245876691--ArrayRef,119457142708545052452084163606873244481524587669176978--arr
11945714270854505245208416360--Compound,1194571427085450524520841636068732--If
11945714270854505245208416360687324448152458766912489---,1194571427085450524520841636068732444815245876691248947830--n
11945714270854--For,1194571427085450524--Compound
1194459861277166699734890770--n,119445986127716669973489077018232--int
119457142708545052452084163606873244481312094074118693--ArrayRef,11945714270854505245208416360687324448131209407411869310782---
119542770442662521590779--sizeof,11954277044266252159077959461--arr
11954277044266252155954634717--ArrayRef,1195427704426625215595463471789494--0
11954277044266252155954634717--ArrayRef,1195427704426625215595463471773506--arr
119542770549451259--ArrayDecl,11954277054945125926530--arr
1194571423214986915--ExprList,119457142321498691547772--n
119457142708548633548000--Decl,11945714270854863354800094505--i
11945714256736--Decl,1194571425673673114--1
1--FileAST,1195--FuncDef
11954277044266--Decl,1195427704426621215--n
119457142321498691588445--sizeof,11945714232149869158844519615--Typename
1195427701578418069--ExprList,119542770157841806923198--arr
119457142--Compound,11945714270854--For
1194571427085446220--<=,11945714270854462202396--n
11933507391806817936936864951903948212--PtrDecl,1193350739180681793693686495190394821280415--None
1194571427085450524520845671--<,119457142708545052452084567184595--count
11954277054945--Decl,119542770549451259--ArrayDecl
119335073918068179369368649519039--Typename,11933507391806817936936864951903948212--PtrDecl
1--FileAST,1194--FuncDef
11945714232149869158844519615--Typename,1194571423214986915884451961516980--None
1194571427085486335--DeclList,119457142708548633548000--Decl
1195--FuncDef,11955269--Decl
11945714270854505245208416360687324448152458--=,1194571427085450524520841636068732444815245889055--check
1194571425673632753--count,119457142567363275382190--int
1193--FuncDef,119335073--Compound
119335073918068179---,11933507391806817936936--*
1195427705494582659--InitList,119542770549458265999564--1
11945714270854--For,1194571427085446220--<=
119542770549458265949521---,11954277054945826594952195533--10
119445986--Decl,1194459861277--FuncDecl
