11936222055025139--i,1193622205502513960172--int
1194764327269--Decl,119476432726933987--arrSize
11936221643811336---,1193622164381133694828--1
119362226501--While,1193622265013251--Compound
1193622265013251151467979234698--<,119362226501325115146797923469826297--+
11947643272789130--InitList,119476432727891309510--10
119476432726928167--/,11947643272692816712741--sizeof
1194218225285--FuncDecl,119421822528513879--main
119362216438--Decl,11936221643818023--j
11936221643811336---,1193622164381133695184--N
1193--FuncDef,119384750--Decl
1193622265013251151467979230891--++,11936222650132511514679792308919929--i
11938475063671425254434462895--X,119384750636714252544344628952109--int
1193622265013251151467979260260----,119362226501325115146797926026016344--j
1193622265013251151466364299376--+,119362226501325115146636429937682061--ArrayRef
119362226501--While,11936222650135086--<
119476432--Compound,1194764322171--Decl
11936222650132511514663642993762498--ArrayRef,1193622265013251151466364299376249849982--j
1194--FuncDef,11942182--Decl
119362226501325115146--If,11936222650132511514676169--Return
1193622265013251151467979234698--<,119362226501325115146797923469836686--X
1194764326900615120--ExprList,119476432690061512045494--"%d"
11936222650132511514663642993762498--ArrayRef,1193622265013251151466364299376249875631--A
1194764327269281677773879829--ArrayRef,119476432726928167777387982975415--0
11947643269006151204580599182--ExprList,119476432690061512045805991822718--arr
1193847506367142525--ParamList,119384750636714252544344--Decl
11936222650132511514679792346982629758336--ArrayRef,1193622265013251151467979234698262975833681795--A
119476432726933987--arrSize,1194764327269339879658--int
11936221643818023--j,1193622164381802350388--int
11936222650132511514679792346982629760317--ArrayRef,1193622265013251151467979234698262976031782210--A
119362220550--Decl,11936222055025139--i
11947643269006--FuncCall,1194764326900674224--printf
11947643272692816777738--sizeof,1194764327269281677773879829--ArrayRef
119476432--Compound,11947643269006--FuncCall
119362226501325115146636429937682061--ArrayRef,11936222650132511514663642993768206175839--A
11938475063671--FuncDecl,1193847506367142525--ParamList
119362216438--Decl,11936221643811336---
119362226501325115146636429937682061--ArrayRef,11936222650132511514663642993768206191341--i
11947643272789130--InitList,1194764327278913058395--3
11936222650132511514679792--If,1193622265013251151467979230891--++
1193622--Compound,119362216438--Decl
11947643272768842--ArrayDecl,1194764327276884216853--arr
119476432--Compound,1194764323186--Return
11947643272789130--InitList,1194764327278913035957--9
1194764322171--Decl,11947643221716553--17
119362226501325115146797923469826297--+,11936222650132511514679792346982629760317--ArrayRef
1193622--Compound,119362238675--Return
119476432727--Decl,11947643272789130--InitList
1193847506367142525--ParamList,11938475063671425251683--Decl
11947643272789130--InitList,1194764327278913013992--11
11947643272789130--InitList,1194764327278913036142--8
119476432--Compound,119476432727--Decl
11947643269006--FuncCall,1194764326900615120--ExprList
1193847506367142525--ParamList,119384750636714252529589--Decl
119362238675--Return,11936223867532693--0
119362226501325115146797923469826297--+,11936222650132511514679792346982629758336--ArrayRef
1193622--Compound,119362220550--Decl
11947643272789130--InitList,1194764327278913029380--5
1194764326900615120--ExprList,119476432690061512045805--FuncCall
11936222650132511514663642--==,1193622265013251151466364299376--+
119476432726928167--/,11947643272692816777738--sizeof
119362226501325115146--If,11936222650132511514679792--If
1193622--Compound,119362226501--While
119476432727--Decl,11947643272768842--ArrayDecl
1--FileAST,1193--FuncDef
11936222650132511514679792346982629758336--ArrayRef,119362226501325115146797923469826297583369469--i
1194764323186--Return,119476432318671243--0
1--FileAST,1194--FuncDef
1193--FuncDef,1193622--Compound
1194--FuncDef,119476432--Compound
11942182--Decl,1194218225285--FuncDecl
11936222650135086--<,1193622265013508680938--j
119476432690061512045805--FuncCall,11947643269006151204580599182--ExprList
1193622265013251151466364299376--+,11936222650132511514663642993762498--ArrayRef
11947643272789130--InitList,1194764327278913013631--2
11947643269006151204580599182--ExprList,1194764326900615120458059918284875--arrSize
119476432217181111--val,11947643221718111187936--int
119384750636714252516836985219206--A,11938475063671425251683698521920677258--int
11947643272692816712741--sizeof,1194764327269281671274120472--arr
11938475063671--FuncDecl,1193847506367188438--isPairSum
1194764327269--Decl,119476432726928167--/
11936222650132511514663642--==,1193622265013251151466364223653--X
119384750636714252529589--Decl,11938475063671425252958925061--N
11936222650132511514679792--If,1193622265013251151467979260260----
119384750636714252544344--Decl,11938475063671425254434462895--X
119421822528513879--main,11942182252851387963923--int
1194764327276884216853--arr,119476432727688421685361371--int
11936222650132511514679792346982629760317--ArrayRef,1193622265013251151467979234698262976031750653--j
11938475063671425252958925061--N,1193847506367142525295892506162163--int
11936222650135086--<,1193622265013508610297--i
1193622265013251--Compound,119362226501325115146--If
119476432--Compound,1194764327269--Decl
11936222650132511514676169--Return,1193622265013251151467616963492--1
119384750--Decl,11938475063671--FuncDecl
119362226501325115146--If,11936222650132511514663642--==
11947643269006151204580599182--ExprList,1194764326900615120458059918230166--val
11938475063671425251683--Decl,1193847506367142525168369852--ArrayDecl
1194764322171--Decl,119476432217181111--val
1194764327269281677773879829--ArrayRef,119476432726928167777387982938959--arr
119476432690061512045805--FuncCall,11947643269006151204580596182--isPairSum
1193847506367188438--isPairSum,119384750636718843825203--int
1193847506367142525168369852--ArrayDecl,119384750636714252516836985219206--A
11936222650132511514679792--If,1193622265013251151467979234698--<
119362220550--Decl,11936222055077880--0
