11952121--Typename,119521211--PtrDecl
1195212221--*,11952122212--array_size
1197291--<=,11972912---
119621--Decl,1196211--mid
1197111--ParamList,11971112--Decl
119727--=,1197271--k
119521--Decl,1195211--PtrDecl
119623--If,1196231-->
119728213222---,1197282132221--mid
11972812--<=,119728122--right
1193113--Decl,11931131--left
11952212--ExprList,119522124---
11972821211--ArrayRef,119728212111--temp
11972821311--ArrayRef,119728213112--++
119611121--ArrayDecl,1196111211--temp
11952111--temp,119521111--int
119521211--PtrDecl,1195212111--None
119511--FuncDecl,1195112--mergeSort
1193--Decl,11931--FuncDecl
119511111--ArrayDecl,1195111111--arr
1195211--PtrDecl,11952111--temp
11931121--ArrayDecl,119311211--temp
11972821212--ArrayRef,119728212121--arr
1198111211--PtrDecl,11981112111--args
11961112--Decl,119611121--ArrayDecl
119311211--temp,1193112111--int
1197210212--++,11972102121--k
11952212--ExprList,119522122--temp
119522124---,1195221241--array_size
119723--Decl,1197231--k
119726--=,1197261--j
11962322--+=,119623222--FuncCall
119822222--ExprList,1198222221--arr
1197221--j,11972211--int
1198211--ArrayDecl,11982111--arr
11972112--<=,119721122--right
1197211--For,11972113--++
11962--Compound,119624--Return
119511121--array_size,1195111211--int
119721--Decl,1197211--i
1196231-->,11962312--left
1196232--Compound,11962324--+=
11962--Compound,119621--Decl
1196232222--ExprList,11962322222--temp
1196111--ParamList,11961114--Decl
11951111--Decl,119511111--ArrayDecl
1197282132--=,11972821321--inv_count
11941--FuncDecl,119411--ParamList
1197112--merge,11971121--int
1198212--InitList,11982125--5
11971111--Decl,119711111--ArrayDecl
11972102--=,119721022--ArrayRef
119722--Decl,1197221--j
1196--FuncDef,11962--Compound
1197282--Compound,11972821--If
11972921--ArrayRef,119729211--temp
119721141--ArrayRef,1197211411--arr
11961114--Decl,119611141--right
11962324224--+,119623242241--mid
119521222--ExprList,1195212221--*
1195212--Cast,11952122--FuncCall
11962324--+=,119623241--inv_count
11972812--<=,119728121--j
1197282132--=,11972821322--+
119728213--Compound,1197282131--=
1197291--<=,11972911--i
119711151--right,1197111511--int
1197282131--=,11972821311--ArrayRef
119823--FuncCall,1198231--getchar
1197281--&&,11972812--<=
1196232422--ExprList,11962324222--temp
1195112--mergeSort,11951121--int
11962321--=,119623211--mid
11972--Compound,119725--=
11941111--ArrayDecl,119411111--arr
1195221--FuncCall,11952212--ExprList
11971115--Decl,119711151--right
11952212--ExprList,119522123--0
119728211--<=,1197282112--ArrayRef
11941131--left,119411311--int
1196111--ParamList,11961113--Decl
1197282111--ArrayRef,11972821111--arr
1196111111--arr,11961111111--int
11962--Compound,119623--If
11962322--+=,119623221--inv_count
1198222--ExprList,11982221--" Number of inversions are %d \n"
119623212--/,1196232121--+
1193114--Decl,11931141--right
1196231-->,11962311--right
119623222--FuncCall,1196232221--_mergeSort
11971112--Decl,119711121--ArrayDecl
11941--FuncDecl,119412--merge
1--FileAST,1193--Decl
119728--While,1197281--&&
11972922--ArrayRef,119729221--arr
1198111--ParamList,11981111--Decl
11962324--+=,119623242--FuncCall
1196211--mid,11962111--int
1197282131--=,11972821312--ArrayRef
1196232422--ExprList,11962324223--left
11972101--<=,119721012--right
1197210222--++,11972102221--j
11972114--=,119721142--ArrayRef
11962323223--+,119623232232--1
11971113--Decl,119711131--left
119728212--Compound,1197282121--=
11972--Compound,119723--Decl
11962321--=,119623212--/
11972821312--ArrayRef,119728213122--++
1196111--ParamList,11961112--Decl
119811--FuncDecl,1198111--ParamList
11971--Decl,119711--FuncDecl
119728213112--++,1197282131121--k
119811121--PtrDecl,1198111211--PtrDecl
11972912---,119729121--mid
1194--Decl,11941--FuncDecl
1197111211--temp,11971112111--int
11981--Decl,119811--FuncDecl
1196232--Compound,11962322--+=
1198212--InitList,11982121--1
11972821--If,119728212--Compound
11982222--FuncCall,119822222--ExprList
11931111--ArrayDecl,119311111--arr
11962323--+=,119623232--FuncCall
