119381073934239653073633--*,11938107393423965307363363274--Cast
1194219572333--Decl,11942195723337844--check
1194219578109979849--++,119421957810997984938945--i
119381174170098429680021--Decl,11938117417009842968002153919--PtrDecl
119421957810996339647165219838172271684823058580881759--ArrayRef,11942195781099633964716521983817227168482305858088175996505--arr
11938107393423965307363363274549449188814520--None,1193810739342396530736336327454944918881452096711--int
11952326730848792--InitList,1195232673084879219165---
119381073934239653076811670564463624324--PtrDecl,11938107393423965307681167056446362432483101--None
11942195781099633964716599844--<,1194219578109963396471659984410107--4
1195--FuncDef,119518501--Decl
1193--FuncDef,119381073--Compound
11942195781099--For,1194219578109979849--++
11938107393423965307681167056446362432483101--None,1193810739342396530768116705644636243248310163431--int
1194219578109963396471652198381722716848230585808--ExprList,119421957810996339647165219838172271684823058580884678--"%d "
119523267--Compound,11952326730848--Decl
1193811741700969489--cmpfunc,119381174170096948958889--int
1194328818945588752--find3largest,11943288189455887521278--void
11938107393423965307363363274--Cast,1193810739342396530736336327454944--Typename
1194219578109963396471652198381722--If,119421957810996339647165219838172258788--!=
119421957810996339647165219838172271684--Compound,11942195781099633964716521983817227168494363--=
1195232676368173152--ExprList,119523267636817315274392--n
1194219572333--Decl,119421957233320045--0
11952326730848--Decl,11952326730848792--InitList
1195232673084879216903---,1195232673084879216903816--10
1194219578109963396--Compound,119421957810996339647165--If
11942195758224--FuncCall,1194219575822412749--qsort
119421957582242126--ExprList,11942195758224212661645--arr
1194219578109963396471652198381722587887293--ArrayRef,119421957810996339647165219838172258788729347838--arr
119381073934239653076811--*,11938107393423965307681167056--Cast
119421957810996339647165219838172258788729313986---,11942195781099633964716521983817225878872931398673912--n
11952326730848--Decl,1195232673084823281--ArrayDecl
11952326781084--Decl,1195232678108494426--n
11942195758224--FuncCall,119421957582242126--ExprList
11942195781099633964716521983817227168494363--=,1194219578109963396471652198381722716849436356706--ArrayRef
11943288189455--FuncDecl,1194328818945518235--ParamList
11952326730848792--InitList,1195232673084879213551--45
11938107393423--Return,1193810739342396530---
11942195781099633964716521983--Compound,1194219578109963396471652198381722--If
1195185018702150079--main,119518501870215007954661--int
119421957810996339647165219838172271684--Compound,11942195781099633964716521983817227168478410--++
119518501--Decl,11951850187021--FuncDecl
1194219578109925992--DeclList,119421957810992599275314--Decl
119523267810849604550592--sizeof,11952326781084960455059260873--arr
11952326730848792--InitList,11952326730848792797--12
11942195734453--Decl,1194219573445369115--count
1194219578109963396471652198381722716849436356706--ArrayRef,119421957810996339647165219838172271684943635670692147--arr
11942195781099--For,1194219578109963396--Compound
11943288189455182354675833441--ArrayDecl,119432881894551823546758334419638--arr
11938117417009--FuncDecl,1193811741700969489--cmpfunc
119523267308482328173467--arr,11952326730848232817346749750--int
1195--FuncDef,119523267--Compound
11952326730848792--InitList,1195232673084879280639--23
1194219578109963957--<=,11942195781099639577119--n
119421957810992599275314--Decl,11942195781099259927531410359--1
11938117417009842968002153919--PtrDecl,119381174170098429680021539198705--a
1194219578109963396471652198381722716849436356706--ArrayRef,119421957810996339647165219838172271684943635670682187---
11942195781099--For,1194219578109963957--<=
119381174170098429685714--Decl,11938117417009842968571412800--PtrDecl
119381174--Decl,11938117417009--FuncDecl
11942195781099259927531483819--i,1194219578109925992753148381983336--int
119381073934239653073633632745494491888--PtrDecl,11938107393423965307363363274549449188814520--None
1194219578109963396471652198381722587887293--ArrayRef,119421957810996339647165219838172258788729313986---
11952326730848792--InitList,1195232673084879247061--54
1194219573445369115--count,119421957344536911571594--int
119421957582242126--ExprList,11942195758224212667417--cmpfunc
1--FileAST,1195--FuncDef
11952326730848792--InitList,1195232673084879221902--0
1194--FuncDef,119432881--Decl
1194219578109963396471652198381722716848230585808--ExprList,119421957810996339647165219838172271684823058580881759--ArrayRef
11938107393423965307681167056--Cast,1193810739342396530768116705644636--Typename
119421957--Compound,11942195734453--Decl
119421957582242126--ExprList,11942195758224212628507--sizeof
11942195781099633964716599844--<,1194219578109963396471659984431988--count
1193810739342396530---,119381073934239653073633--*
11952326781084960451312014703--ArrayRef,1195232678108496045131201470349699--0
11952326781084960451312014703--ArrayRef,1195232678108496045131201470379295--arr
1195232678108496045--/,119523267810849604550592--sizeof
119421957582242126--ExprList,11942195758224212640538--n
119523267--Compound,11952326763681--FuncCall
11951850187021--FuncDecl,1195185018702150079--main
11952326730848792--InitList,1195232673084879272358--5
11942195758224212628507--sizeof,1194219575822421262850758119--Typename
1195232673084823281--ArrayDecl,119523267308482328173467--arr
119421957810996339647165--If,11942195781099633964716521983--Compound
1193811741700984296--ParamList,119381174170098429685714--Decl
11943288189455--FuncDecl,1194328818945588752--find3largest
119381073--Compound,11938107393423--Return
11952326730848792--InitList,119523267308487928473--1
11942195781099633964716521983817227168478410--++,1194219578109963396471652198381722716847841093262--count
11942195734453--Decl,1194219573445311227--1
1193811741700984296857141280038281--b,11938117417009842968571412800382818747--void
119421957810996339647165219838172258788--!=,1194219578109963396471652198381722587887293--ArrayRef
1195232678108496045--/,119523267810849604513120--sizeof
1--FileAST,1193--FuncDef
119523267810849604513120--sizeof,11952326781084960451312014703--ArrayRef
119523267--Compound,11952326781084--Decl
11938107393423965307363363274--Cast,1193810739342396530736336327449737--b
1193811741700984296--ParamList,119381174170098429680021--Decl
119381174170098429680021539198705--a,11938117417009842968002153919870581264--void
1195232673084879219165---,119523267308487921916551261--1
119421957810996339647165--If,11942195781099633964716588743--Break
1194219578109963957--<=,11942195781099639579491--i
119421957810996339647165219838172258788--!=,11942195781099633964716521983817225878889781--check
1--FileAST,1194--FuncDef
11942195781099633964716521983817227168482305858088175941681---,1194219578109963396471652198381722716848230585808817594168190720--n
1193810739342396530768116705644636--Typename,119381073934239653076811670564463624324--PtrDecl
119432881--Decl,11943288189455--FuncDecl
119421957810996339647165219838172271684943635670682187---,11942195781099633964716521983817227168494363567068218763369--i
11943288189455182358556922305--n,1194328818945518235855692230578008--int
119421957810996339647165219838172271684943635670682187---,11942195781099633964716521983817227168494363567068218778015--n
11942195781099633964716521983817227168482305--FuncCall,1194219578109963396471652198381722716848230585808--ExprList
11952326730848792--InitList,1195232673084879216903---
119421957810996339647165--If,11942195781099633964716599844--<
119421957810996339647165219838172271684--Compound,11942195781099633964716521983817227168482305--FuncCall
1194219575822421262850758119--Typename,119421957582242126285075811995821--None
119421957810996339647165219838172271684823058580881759--ArrayRef,11942195781099633964716521983817227168482305858088175941681---
119432881894551823546758--Decl,11943288189455182354675833441--ArrayDecl
119432881894551823585569--Decl,11943288189455182358556922305--n
11938117417009842968571412800--PtrDecl,1193811741700984296857141280038281--b
11952326730848792--InitList,1195232673084879252384--45
1194328818945518235--ParamList,119432881894551823585569--Decl
11938117417009--FuncDecl,1193811741700984296--ParamList
11938107393423965307681167056--Cast,1193810739342396530768116705678921--a
119421957--Compound,1194219572333--Decl
11942195723337844--check,1194219572333784474285--int
11952326763681--FuncCall,1195232676368173152--ExprList
119421957--Compound,11942195781099--For
1194--FuncDef,119421957--Compound
1193--FuncDef,119381174--Decl
119421957--Compound,11942195758224--FuncCall
119421957582242126285075811995821--None,11942195758224212628507581199582153490--int
1195232676368173152--ExprList,119523267636817315214183--arr
11942195781099633964716521983817227168482305--FuncCall,1194219578109963396471652198381722716848230510524--printf
11952326763681--FuncCall,1195232676368152185--find3largest
11942195781099--For,1194219578109925992--DeclList
11942195781099633964716521983817227168482305858088175941681---,1194219578109963396471652198381722716848230585808817594168180669--i
119421957810996339647165219838172258788729313986---,11942195781099633964716521983817225878872931398696964--i
119432881894551823546758334419638--arr,11943288189455182354675833441963818727--int
1194328818945518235--ParamList,119432881894551823546758--Decl
119421957810992599275314--Decl,11942195781099259927531483819--i
1194219578109963396471652198381722--If,119421957810996339647165219838172271684--Compound
11942195781099633964716521983817227168494363--=,1194219578109963396471652198381722716849436317096--check
1193810739342396530736336327454944--Typename,119381073934239653073633632745494491888--PtrDecl
1195232678108494426--n,119523267810849442671833--int
1193810739342396530---,119381073934239653076811--*
