1172903340456850339763--Decl,117290334045685033976349396--ArrayDecl
1172903--Decl,117290334045--FuncDecl
1185588746057881085194705018275--/,118558874605788108519470501827576028--3
11855887460578810851947050--+,1185588746057881085194705018275--/
11855887460529335-->=,1185588746052933589505--r
1172903340456850337217--Decl,117290334045685033721712301--l
11855887460578810--Compound,118558874605788108519--Decl
1185588--Compound,118558874605--If
118558874605--If,11855887460529335-->=
11855887460578810286198533385485--ArrayRef,1185588746057881028619853338548513961--arr
11855887460578810825331197294334--ExprList,1185588746057881082533119729433442969--x
11855887460578810825331197294334--ExprList,1185588746057881082533119729433421889---
117290334045685033976349396--ArrayDecl,11729033404568503397634939653161--arr
11855887460578810825331197294334--ExprList,1185588746057881082533119729433459051--+
11855887460578810929094389114919--/,1185588746057881092909438911491935870---
11855887460578810286196633398322--FuncCall,1185588746057881028619663339832287024--ExprList
118558874605788101781758749--==,11855887460578810178175874967316--ArrayRef
11855887460578810838157028479137--FuncCall,1185588746057881083815702847913712307--ExprList
11855887460578810838157028479137--FuncCall,1185588746057881083815702847913746472--ternarySearch
11--FuncDef,1172903--Decl
11855887460578810--Compound,1185588746057881083815--If
1185588746057881085194705018275--/,118558874605788108519470501827515588---
11855887460578810--Compound,1185588746057881092909--Decl
118558874605788101781758749--==,11855887460578810178175874992691--x
118558874605--If,11855887460578810--Compound
1185588746057881083815--If,118558874605788108381540192-->
117290334045685035115--Decl,11729033404568503511543566--x
1185588746057881083815--If,118558874605788108381570284--Return
117290334045685034788057290--r,11729033404568503478805729099325--int
1185588746057881021407--If,11855887460578810214073341--Return
11729033404568503397634939653161--arr,117290334045685033976349396531615496--int
11855887460529335-->=,118558874605293359790--l
1185588--Compound,118558836261--Return
1185588746057881028619--If,118558874605788102861985333--<
118558874605788102861966333983228702466066--+,1185588746057881028619663339832287024660666520--mid2
118558874605788109290943891--+,1185588746057881092909438917907--l
11855887460578810--Compound,1185588746057881017817--If
1185588746057881083815702847913712307--ExprList,118558874605788108381570284791371230747563---
11855887460578810--Compound,1185588746057881082533--Return
1--FileAST,11--FuncDef
118558874605788102861966333983228702466066--+,11855887460578810286196633398322870246606685083--1
118558874605788109290949777--mid1,11855887460578810929094977792912--int
11855883626136884---,1185588362613688412190--1
118558874605788102140744506--==,11855887460578810214074450683044--ArrayRef
1185588746057881082533119729433421889---,11855887460578810825331197294334218891629--mid2
