1--CompilationUnit,11--Import
11--Import,1132721--java.util
11--Import,1166501--bool
1--CompilationUnit,12--ClassDeclaration
12--ClassDeclaration,12510--on2
12--ClassDeclaration,1286026--MethodDeclaration
1286026--MethodDeclaration,128602661586--set
128602661586--set,12860266158626681--public
128602661586--set,12860266158670067--static
1286026--MethodDeclaration,128602675365--BasicType
128602675365--BasicType,12860267536596305--int
1286026--MethodDeclaration,128602680343--getFirstElement
1286026--MethodDeclaration,128602681755--FormalParameter
128602681755--FormalParameter,12860268175533128--BasicType
12860268175533128--BasicType,128602681755331288720--int
128602681755--FormalParameter,12860268175570299--a
1286026--MethodDeclaration,12860262680--FormalParameter
12860262680--FormalParameter,1286026268033951--BasicType
1286026268033951--BasicType,128602626803395156787--int
12860262680--FormalParameter,128602626809367--N
1286026--MethodDeclaration,128602610288--FormalParameter
128602610288--FormalParameter,12860261028856719--BasicType
12860261028856719--BasicType,1286026102885671960813--int
128602610288--FormalParameter,12860261028896995--K
1286026--MethodDeclaration,128602669572--FormalParameter
128602669572--FormalParameter,1286026695726580--BasicType
1286026695726580--BasicType,128602669572658038348--int
128602669572--FormalParameter,12860266957235335--M
1286026--MethodDeclaration,128602642805--StatementExpression
128602642805--StatementExpression,12860264280523542--Assignment
12860264280523542--Assignment,1286026428052354224595--MemberReference
1286026428052354224595--MemberReference,128602642805235422459590362--K
12860264280523542--Assignment,1286026428052354244213--MemberReference
1286026428052354244213--MemberReference,128602642805235424421389881--N
12860264280523542--Assignment,1286026428052354279106--%=
1286026--MethodDeclaration,128602615392--LocalVariableDeclaration
128602615392--LocalVariableDeclaration,12860261539261108--BasicType
12860261539261108--BasicType,1286026153926110811704--int
128602615392--LocalVariableDeclaration,12860261539250407--VariableDeclarator
12860261539250407--VariableDeclarator,1286026153925040755158--index
12860261539250407--VariableDeclarator,1286026153925040717034--BinaryOperation
1286026153925040717034--BinaryOperation,128602615392504071703410114--%
1286026153925040717034--BinaryOperation,128602615392504071703467701--BinaryOperation
128602615392504071703467701--BinaryOperation,12860261539250407170346770167841---
128602615392504071703467701--BinaryOperation,12860261539250407170346770168789--BinaryOperation
12860261539250407170346770168789--BinaryOperation,1286026153925040717034677016878971590--+
12860261539250407170346770168789--BinaryOperation,1286026153925040717034677016878933827--MemberReference
1286026153925040717034677016878933827--MemberReference,12860261539250407170346770168789338278084--K
12860261539250407170346770168789--BinaryOperation,1286026153925040717034677016878914676--MemberReference
1286026153925040717034677016878914676--MemberReference,128602615392504071703467701687891467670947--M
128602615392504071703467701--BinaryOperation,12860261539250407170346770175449--Literal
12860261539250407170346770175449--Literal,1286026153925040717034677017544984471--1
1286026153925040717034--BinaryOperation,128602615392504071703497582--MemberReference
128602615392504071703497582--MemberReference,12860261539250407170349758238978--N
1286026--MethodDeclaration,128602616351--LocalVariableDeclaration
128602616351--LocalVariableDeclaration,12860261635192915--BasicType
12860261635192915--BasicType,1286026163519291580917--int
128602616351--LocalVariableDeclaration,12860261635155909--VariableDeclarator
