1--CompilationUnit,11--ClassDeclaration
11--ClassDeclaration,1187633--set
1187633--set,118763335091--public
11--ClassDeclaration,1126471--O2N_2
11--ClassDeclaration,1150387--MethodDeclaration
1150387--MethodDeclaration,115038760063--set
115038760063--set,11503876006340272--static
1150387--MethodDeclaration,115038719742--BasicType
115038719742--BasicType,11503871974297198--int
1150387--MethodDeclaration,115038722880--f
1150387--MethodDeclaration,115038761515--FormalParameter
115038761515--FormalParameter,1150387615152373--BasicType
1150387615152373--BasicType,115038761515237358405--int
115038761515--FormalParameter,11503876151554723--n
1150387--MethodDeclaration,115038781167--IfStatement
115038781167--IfStatement,11503878116720721--BinaryOperation
11503878116720721--BinaryOperation,1150387811672072170577--||
11503878116720721--BinaryOperation,1150387811672072181324--BinaryOperation
1150387811672072181324--BinaryOperation,11503878116720721813243449--==
1150387811672072181324--BinaryOperation,11503878116720721813241131--MemberReference
11503878116720721813241131--MemberReference,1150387811672072181324113195163--n
1150387811672072181324--BinaryOperation,115038781167207218132433116--Literal
115038781167207218132433116--Literal,1150387811672072181324331165277--0
11503878116720721--BinaryOperation,1150387811672072113014--BinaryOperation
1150387811672072113014--BinaryOperation,115038781167207211301420541--==
1150387811672072113014--BinaryOperation,11503878116720721130149008--MemberReference
11503878116720721130149008--MemberReference,1150387811672072113014900859055--n
1150387811672072113014--BinaryOperation,115038781167207211301447521--Literal
115038781167207211301447521--Literal,11503878116720721130144752184825--1
115038781167--IfStatement,11503878116720372--ReturnStatement
11503878116720372--ReturnStatement,1150387811672037230261--Literal
1150387811672037230261--Literal,115038781167203723026155715--1
115038781167--IfStatement,11503878116725016--ReturnStatement
11503878116725016--ReturnStatement,1150387811672501646364--BinaryOperation
1150387811672501646364--BinaryOperation,115038781167250164636416371--*
1150387811672501646364--BinaryOperation,115038781167250164636460083--MemberReference
115038781167250164636460083--MemberReference,11503878116725016463646008341216--n
1150387811672501646364--BinaryOperation,115038781167250164636452394--MethodInvocation
115038781167250164636452394--MethodInvocation,11503878116725016463645239493666--BinaryOperation
11503878116725016463645239493666--BinaryOperation,1150387811672501646364523949366668454---
11503878116725016463645239493666--BinaryOperation,1150387811672501646364523949366684101--MemberReference
1150387811672501646364523949366684101--MemberReference,115038781167250164636452394936668410198289--n
11503878116725016463645239493666--BinaryOperation,1150387811672501646364523949366682124--Literal
1150387811672501646364523949366682124--Literal,115038781167250164636452394936668212451007--1
115038781167250164636452394--MethodInvocation,11503878116725016463645239451122--f
11--ClassDeclaration,1169105--MethodDeclaration
1169105--MethodDeclaration,116910511064--set
116910511064--set,11691051106460106--public
116910511064--set,11691051106495885--static
1169105--MethodDeclaration,116910580368--main
1169105--MethodDeclaration,116910585537--FormalParameter
116910585537--FormalParameter,11691058553777159--ReferenceType
11691058553777159--ReferenceType,1169105855377715946023--String
116910585537--FormalParameter,11691058553774196--args
1169105--MethodDeclaration,116910599341--LocalVariableDeclaration
116910599341--LocalVariableDeclaration,11691059934135575--BasicType
11691059934135575--BasicType,1169105993413557526976--int
116910599341--LocalVariableDeclaration,11691059934182761--VariableDeclarator
11691059934182761--VariableDeclarator,1169105993418276133817--n
11691059934182761--VariableDeclarator,1169105993418276170954--Literal
1169105993418276170954--Literal,116910599341827617095499095--5
1169105--MethodDeclaration,116910516508--StatementExpression
116910516508--StatementExpression,11691051650896616--MethodInvocation
11691051650896616--MethodInvocation,1169105165089661685961--System.out
11691051650896616--MethodInvocation,1169105165089661621063--BinaryOperation
1169105165089661621063--BinaryOperation,116910516508966162106349184--+
1169105165089661621063--BinaryOperation,116910516508966162106376212--BinaryOperation
116910516508966162106376212--BinaryOperation,11691051650896616210637621290161--+
116910516508966162106376212--BinaryOperation,11691051650896616210637621259252--BinaryOperation
11691051650896616210637621259252--BinaryOperation,1169105165089661621063762125925269468--+
11691051650896616210637621259252--BinaryOperation,1169105165089661621063762125925239443--Literal
1169105165089661621063762125925239443--Literal,116910516508966162106376212592523944378780--"factorial of "
11691051650896616210637621259252--BinaryOperation,1169105165089661621063762125925226981--MemberReference
1169105165089661621063762125925226981--MemberReference,116910516508966162106376212592522698184105--n
116910516508966162106376212--BinaryOperation,11691051650896616210637621248571--Literal
11691051650896616210637621248571--Literal,1169105165089661621063762124857196028--" is: "
1169105165089661621063--BinaryOperation,116910516508966162106380985--MethodInvocation
116910516508966162106380985--MethodInvocation,11691051650896616210638098520680--MemberReference
11691051650896616210638098520680--MemberReference,1169105165089661621063809852068065655--n
116910516508966162106380985--MethodInvocation,11691051650896616210638098561385--f
11691051650896616--MethodInvocation,1169105165089661623693--println
