1--CompilationUnit,11--Import
11--Import,1135449--java.util
11--Import,1169145--bool
1--CompilationUnit,12--ClassDeclaration
12--ClassDeclaration,1293132--O2N_1
12--ClassDeclaration,129392--MethodDeclaration
129392--MethodDeclaration,12939212604--set
12939212604--set,1293921260413888--static
129392--MethodDeclaration,12939272199--BasicType
12939272199--BasicType,1293927219934081--int
129392--MethodDeclaration,12939223795--fib
129392--MethodDeclaration,12939287110--FormalParameter
12939287110--FormalParameter,1293928711015774--BasicType
1293928711015774--BasicType,129392871101577460148--int
12939287110--FormalParameter,1293928711047514--n
129392--MethodDeclaration,12939254997--IfStatement
12939254997--IfStatement,1293925499765665--BinaryOperation
1293925499765665--BinaryOperation,129392549976566599076--==
1293925499765665--BinaryOperation,12939254997656652579--MemberReference
12939254997656652579--MemberReference,1293925499765665257950860--n
1293925499765665--BinaryOperation,129392549976566535198--Literal
129392549976566535198--Literal,1293925499765665351986477--0
12939254997--IfStatement,1293925499719559--ReturnStatement
1293925499719559--ReturnStatement,129392549971955924810--Literal
129392549971955924810--Literal,12939254997195592481093859--0
129392--MethodDeclaration,12939270568--IfStatement
12939270568--IfStatement,1293927056832066--BinaryOperation
1293927056832066--BinaryOperation,129392705683206679138--||
1293927056832066--BinaryOperation,129392705683206622349--BinaryOperation
129392705683206622349--BinaryOperation,1293927056832066223496039--==
129392705683206622349--BinaryOperation,12939270568320662234982822--MemberReference
12939270568320662234982822--MemberReference,1293927056832066223498282281714--n
129392705683206622349--BinaryOperation,12939270568320662234920010--Literal
12939270568320662234920010--Literal,1293927056832066223492001055152--1
1293927056832066--BinaryOperation,129392705683206636187--BinaryOperation
129392705683206636187--BinaryOperation,12939270568320663618750631--==
129392705683206636187--BinaryOperation,12939270568320663618718463--MemberReference
12939270568320663618718463--MemberReference,1293927056832066361871846339037--n
129392705683206636187--BinaryOperation,12939270568320663618736856--Literal
12939270568320663618736856--Literal,1293927056832066361873685695259--2
12939270568--IfStatement,1293927056862291--ReturnStatement
1293927056862291--ReturnStatement,129392705686229148231--Literal
129392705686229148231--Literal,12939270568622914823146453--1
