1--CompilationUnit,11--ClassDeclaration
11--ClassDeclaration,111--set
111--set,1111--public
11--ClassDeclaration,112--ONF_1
11--ClassDeclaration,113--FieldDeclaration
113--FieldDeclaration,1131--set
1131--set,11311--final
113--FieldDeclaration,1132--BasicType
1132--BasicType,11321--int
113--FieldDeclaration,1133--VariableDeclarator
1133--VariableDeclarator,11331--N
1133--VariableDeclarator,11332--Literal
11332--Literal,113321--4
11--ClassDeclaration,114--MethodDeclaration
114--MethodDeclaration,1141--printSolution
114--MethodDeclaration,1142--FormalParameter
1142--FormalParameter,11421--BasicType
11421--BasicType,114211--int
1142--FormalParameter,11422--board
114--MethodDeclaration,1143--ForStatement
1143--ForStatement,11431--ForControl
11431--ForControl,114311--VariableDeclaration
114311--VariableDeclaration,1143111--BasicType
1143111--BasicType,11431111--int
114311--VariableDeclaration,1143112--VariableDeclarator
1143112--VariableDeclarator,11431121--i
1143112--VariableDeclarator,11431122--Literal
11431122--Literal,114311221--0
11431--ForControl,114312--BinaryOperation
114312--BinaryOperation,1143121--<
114312--BinaryOperation,1143122--MemberReference
1143122--MemberReference,11431221--i
114312--BinaryOperation,1143123--MemberReference
1143123--MemberReference,11431231--N
11431--ForControl,114313--MemberReference
114313--MemberReference,1143131--++
114313--MemberReference,1143132--i
1143--ForStatement,11432--BlockStatement
11432--BlockStatement,114321--ForStatement
114321--ForStatement,1143211--ForControl
1143211--ForControl,11432111--VariableDeclaration
11432111--VariableDeclaration,114321111--BasicType
114321111--BasicType,1143211111--int
11432111--VariableDeclaration,114321112--VariableDeclarator
114321112--VariableDeclarator,1143211121--j
114321112--VariableDeclarator,1143211122--Literal
1143211122--Literal,11432111221--0
1143211--ForControl,11432112--BinaryOperation
11432112--BinaryOperation,114321121--<
11432112--BinaryOperation,114321122--MemberReference
114321122--MemberReference,1143211221--j
11432112--BinaryOperation,114321123--MemberReference
114321123--MemberReference,1143211231--N
1143211--ForControl,11432113--MemberReference
11432113--MemberReference,114321131--++
11432113--MemberReference,114321132--j
114321--ForStatement,1143212--StatementExpression
1143212--StatementExpression,11432121--MethodInvocation
11432121--MethodInvocation,114321211--System.out
11432121--MethodInvocation,114321212--BinaryOperation
114321212--BinaryOperation,1143212121--+
114321212--BinaryOperation,1143212122--BinaryOperation
