1--CompilationUnit,11--ClassDeclaration
11--ClassDeclaration,1173939--ON_14
11--ClassDeclaration,1180393--MethodDeclaration
1180393--MethodDeclaration,118039391663--set
118039391663--set,11803939166394454--static
1180393--MethodDeclaration,118039371392--BasicType
118039371392--BasicType,11803937139279653--boolean
1180393--MethodDeclaration,118039354007--pairInSortedRotated
1180393--MethodDeclaration,118039350368--FormalParameter
118039350368--FormalParameter,11803935036889272--BasicType
11803935036889272--BasicType,1180393503688927222994--int
118039350368--FormalParameter,11803935036814778--arr
1180393--MethodDeclaration,118039387966--FormalParameter
118039387966--FormalParameter,11803938796639935--BasicType
11803938796639935--BasicType,1180393879663993558589--int
118039387966--FormalParameter,11803938796649820--n
1180393--MethodDeclaration,118039323010--FormalParameter
118039323010--FormalParameter,11803932301069795--BasicType
11803932301069795--BasicType,1180393230106979542453--int
118039323010--FormalParameter,11803932301077118--x
1180393--MethodDeclaration,11803938516--LocalVariableDeclaration
11803938516--LocalVariableDeclaration,1180393851647479--BasicType
1180393851647479--BasicType,118039385164747990953--int
11803938516--LocalVariableDeclaration,1180393851693425--VariableDeclarator
1180393851693425--VariableDeclarator,118039385169342532794--i
1180393--MethodDeclaration,118039398805--ForStatement
118039398805--ForStatement,11803939880568851--ForControl
11803939880568851--ForControl,1180393988056885167716--Assignment
1180393988056885167716--Assignment,118039398805688516771697037--MemberReference
118039398805688516771697037--MemberReference,11803939880568851677169703791213--i
1180393988056885167716--Assignment,118039398805688516771633866--Literal
118039398805688516771633866--Literal,11803939880568851677163386679298--0
1180393988056885167716--Assignment,118039398805688516771618498--=
11803939880568851--ForControl,1180393988056885184704--BinaryOperation
1180393988056885184704--BinaryOperation,118039398805688518470478462--<
1180393988056885184704--BinaryOperation,118039398805688518470488711--MemberReference
118039398805688518470488711--MemberReference,11803939880568851847048871199192--i
1180393988056885184704--BinaryOperation,118039398805688518470432004--BinaryOperation
118039398805688518470432004--BinaryOperation,11803939880568851847043200458026---
118039398805688518470432004--BinaryOperation,11803939880568851847043200479261--MemberReference
