1--CompilationUnit,11--Import
11--Import,1139869--java.util.Arrays
1--CompilationUnit,12--ClassDeclaration
12--ClassDeclaration,1290389--set
1290389--set,129038980941--public
12--ClassDeclaration,1296832--ON_59
12--ClassDeclaration,1269490--MethodDeclaration
1269490--MethodDeclaration,126949050683--set
126949050683--set,12694905068359234--static
1269490--MethodDeclaration,126949018365--rearrange
1269490--MethodDeclaration,126949061761--FormalParameter
126949061761--FormalParameter,12694906176168855--BasicType
12694906176168855--BasicType,1269490617616885514184--int
126949061761--FormalParameter,12694906176139701--arr
1269490--MethodDeclaration,126949021234--FormalParameter
126949021234--FormalParameter,12694902123458416--BasicType
12694902123458416--BasicType,1269490212345841629376--int
126949021234--FormalParameter,1269490212349762--n
1269490--MethodDeclaration,126949038068--LocalVariableDeclaration
126949038068--LocalVariableDeclaration,1269490380685879--BasicType
1269490380685879--BasicType,126949038068587923227--int
126949038068--LocalVariableDeclaration,12694903806839740--VariableDeclarator
12694903806839740--VariableDeclarator,1269490380683974041373--temp
12694903806839740--VariableDeclarator,1269490380683974076753--MethodInvocation
1269490380683974076753--MethodInvocation,12694903806839740767537453--arr
1269490380683974076753--MethodInvocation,126949038068397407675370425--clone
1269490--MethodDeclaration,126949033345--LocalVariableDeclaration
126949033345--LocalVariableDeclaration,12694903334530373--BasicType
12694903334530373--BasicType,1269490333453037393434--int
126949033345--LocalVariableDeclaration,12694903334575581--VariableDeclarator
12694903334575581--VariableDeclarator,1269490333457558148082--small
12694903334575581--VariableDeclarator,1269490333457558196601--Literal
1269490333457558196601--Literal,126949033345755819660134785--0
126949033345--LocalVariableDeclaration,1269490333459180--VariableDeclarator
1269490333459180--VariableDeclarator,126949033345918081374--large
1269490333459180--VariableDeclarator,12694903334591803762--BinaryOperation
12694903334591803762--BinaryOperation,1269490333459180376239228---
12694903334591803762--BinaryOperation,1269490333459180376262924--MemberReference
1269490333459180376262924--MemberReference,126949033345918037626292437650--n
12694903334591803762--BinaryOperation,1269490333459180376291505--Literal
1269490333459180376291505--Literal,126949033345918037629150538550--1
1269490--MethodDeclaration,126949082937--LocalVariableDeclaration
126949082937--LocalVariableDeclaration,12694908293768702--BasicType
12694908293768702--BasicType,1269490829376870292449--boolean
126949082937--LocalVariableDeclaration,12694908293788567--VariableDeclarator
12694908293788567--VariableDeclarator,1269490829378856728851--flag
12694908293788567--VariableDeclarator,1269490829378856723806--Literal
1269490829378856723806--Literal,126949082937885672380628596--true
1269490--MethodDeclaration,126949021035--ForStatement
126949021035--ForStatement,12694902103544223--ForControl
12694902103544223--ForControl,1269490210354422355743--VariableDeclaration
1269490210354422355743--VariableDeclaration,126949021035442235574377078--BasicType
126949021035442235574377078--BasicType,12694902103544223557437707894390--int
1269490210354422355743--VariableDeclaration,126949021035442235574340767--VariableDeclarator
126949021035442235574340767--VariableDeclarator,12694902103544223557434076711139--i
126949021035442235574340767--VariableDeclarator,1269490210354422355743407677160--Literal
1269490210354422355743407677160--Literal,12694902103544223557434076771601055--0
12694902103544223--ForControl,1269490210354422323175--BinaryOperation
1269490210354422323175--BinaryOperation,1269490210354422323175790--<
1269490210354422323175--BinaryOperation,126949021035442232317572632--MemberReference
126949021035442232317572632--MemberReference,12694902103544223231757263227401--i
1269490210354422323175--BinaryOperation,126949021035442232317520080--MemberReference
126949021035442232317520080--MemberReference,12694902103544223231752008075049--n
12694902103544223--ForControl,1269490210354422329527--MemberReference
1269490210354422329527--MemberReference,126949021035442232952717382--++
1269490210354422329527--MemberReference,126949021035442232952730311--i
126949021035--ForStatement,12694902103546212--BlockStatement
12694902103546212--BlockStatement,1269490210354621249349--IfStatement
1269490210354621249349--IfStatement,126949021035462124934966825--MemberReference
126949021035462124934966825--MemberReference,12694902103546212493496682550296--flag
1269490210354621249349--IfStatement,126949021035462124934921862--StatementExpression
126949021035462124934921862--StatementExpression,12694902103546212493492186227543--Assignment
12694902103546212493492186227543--Assignment,1269490210354621249349218622754320234--MemberReference
1269490210354621249349218622754320234--MemberReference,12694902103546212493492186227543202343906--ArraySelector
12694902103546212493492186227543202343906--ArraySelector,1269490210354621249349218622754320234390672907--MemberReference
1269490210354621249349218622754320234390672907--MemberReference,126949021035462124934921862275432023439067290746937--i
1269490210354621249349218622754320234--MemberReference,126949021035462124934921862275432023491929--arr
12694902103546212493492186227543--Assignment,1269490210354621249349218622754373427--MemberReference
1269490210354621249349218622754373427--MemberReference,126949021035462124934921862275437342711104--ArraySelector
126949021035462124934921862275437342711104--ArraySelector,12694902103546212493492186227543734271110481207--MemberReference
12694902103546212493492186227543734271110481207--MemberReference,1269490210354621249349218622754373427111048120744468----
12694902103546212493492186227543734271110481207--MemberReference,1269490210354621249349218622754373427111048120712434--large
1269490210354621249349218622754373427--MemberReference,126949021035462124934921862275437342723799--temp
12694902103546212493492186227543--Assignment,1269490210354621249349218622754395920--=
1269490210354621249349--IfStatement,126949021035462124934915568--StatementExpression
126949021035462124934915568--StatementExpression,1269490210354621249349155688838--Assignment
1269490210354621249349155688838--Assignment,126949021035462124934915568883821678--MemberReference
126949021035462124934915568883821678--MemberReference,12694902103546212493491556888382167811826--ArraySelector
12694902103546212493491556888382167811826--ArraySelector,1269490210354621249349155688838216781182645347--MemberReference
1269490210354621249349155688838216781182645347--MemberReference,126949021035462124934915568883821678118264534775419--i
126949021035462124934915568883821678--MemberReference,12694902103546212493491556888382167896768--arr
1269490210354621249349155688838--Assignment,126949021035462124934915568883853941--MemberReference
126949021035462124934915568883853941--MemberReference,12694902103546212493491556888385394196977--ArraySelector
12694902103546212493491556888385394196977--ArraySelector,1269490210354621249349155688838539419697762187--MemberReference
1269490210354621249349155688838539419697762187--MemberReference,126949021035462124934915568883853941969776218754229--++
1269490210354621249349155688838539419697762187--MemberReference,126949021035462124934915568883853941969776218724040--small
126949021035462124934915568883853941--MemberReference,12694902103546212493491556888385394153515--temp
1269490210354621249349155688838--Assignment,126949021035462124934915568883829418--=
12694902103546212--BlockStatement,1269490210354621220640--StatementExpression
1269490210354621220640--StatementExpression,126949021035462122064017052--Assignment
126949021035462122064017052--Assignment,12694902103546212206401705262166--MemberReference
12694902103546212206401705262166--MemberReference,1269490210354621220640170526216682734--flag
126949021035462122064017052--Assignment,12694902103546212206401705293235--MemberReference
12694902103546212206401705293235--MemberReference,1269490210354621220640170529323511000--!
12694902103546212206401705293235--MemberReference,1269490210354621220640170529323520593--flag
126949021035462122064017052--Assignment,12694902103546212206401705251618--=
12--ClassDeclaration,1277874--MethodDeclaration
1277874--MethodDeclaration,127787442304--set
127787442304--set,12778744230429200--public
127787442304--set,12778744230464702--static
1277874--MethodDeclaration,127787494058--main
1277874--MethodDeclaration,127787433972--FormalParameter
127787433972--FormalParameter,12778743397269490--ReferenceType
12778743397269490--ReferenceType,127787433972694908304--String
127787433972--FormalParameter,12778743397249320--args
1277874--MethodDeclaration,127787470359--LocalVariableDeclaration
127787470359--LocalVariableDeclaration,12778747035927738--BasicType
12778747035927738--BasicType,1277874703592773885202--int
127787470359--LocalVariableDeclaration,12778747035981603--VariableDeclarator
12778747035981603--VariableDeclarator,1277874703598160374262--arr
12778747035981603--VariableDeclarator,1277874703598160362055--ArrayCreator
1277874703598160362055--ArrayCreator,127787470359816036205532127--BasicType
