1--CompilationUnit,11--Import
11--Import,111--java.util
11--Import,112--bool
1--CompilationUnit,12--ClassDeclaration
12--ClassDeclaration,121--sq1
12--ClassDeclaration,122--MethodDeclaration
122--MethodDeclaration,1221--set
1221--set,12211--static
122--MethodDeclaration,1222--reverseColumns
122--MethodDeclaration,1223--FormalParameter
1223--FormalParameter,12231--BasicType
12231--BasicType,122311--int
1223--FormalParameter,12232--arr
122--MethodDeclaration,1224--LocalVariableDeclaration
1224--LocalVariableDeclaration,12241--BasicType
12241--BasicType,122411--int
1224--LocalVariableDeclaration,12242--VariableDeclarator
12242--VariableDeclarator,122421--R
12242--VariableDeclarator,122422--MemberReference
122422--MemberReference,1224221--arr
122422--MemberReference,1224222--length
122--MethodDeclaration,1225--LocalVariableDeclaration
1225--LocalVariableDeclaration,12251--BasicType
12251--BasicType,122511--int
1225--LocalVariableDeclaration,12252--VariableDeclarator
12252--VariableDeclarator,122521--C
12252--VariableDeclarator,122522--MemberReference
122522--MemberReference,1225221--ArraySelector
1225221--ArraySelector,12252211--Literal
12252211--Literal,122522111--0
122522--MemberReference,1225222--MemberReference
1225222--MemberReference,12252221--length
122522--MemberReference,1225223--arr
122--MethodDeclaration,1226--ForStatement
1226--ForStatement,12261--ForControl
12261--ForControl,122611--VariableDeclaration
122611--VariableDeclaration,1226111--BasicType
1226111--BasicType,12261111--int
122611--VariableDeclaration,1226112--VariableDeclarator
1226112--VariableDeclarator,12261121--i
1226112--VariableDeclarator,12261122--Literal
12261122--Literal,122611221--0
12261--ForControl,122612--BinaryOperation
122612--BinaryOperation,1226121--<
122612--BinaryOperation,1226122--MemberReference
1226122--MemberReference,12261221--i
122612--BinaryOperation,1226123--MemberReference
1226123--MemberReference,12261231--C
12261--ForControl,122613--MemberReference
122613--MemberReference,1226131--++
122613--MemberReference,1226132--i
1226--ForStatement,12262--BlockStatement
12262--BlockStatement,122621--ForStatement
122621--ForStatement,1226211--ForControl
1226211--ForControl,12262111--VariableDeclaration
12262111--VariableDeclaration,122621111--BasicType
122621111--BasicType,1226211111--int
12262111--VariableDeclaration,122621112--VariableDeclarator
122621112--VariableDeclarator,1226211121--j
122621112--VariableDeclarator,1226211122--Literal
1226211122--Literal,12262111221--0
