1--CompilationUnit,11--Import
11--Import,1122506--java.io
11--Import,119404--bool
1--CompilationUnit,12--Import
12--Import,1225120--java.lang
12--Import,1219020--bool
1--CompilationUnit,13--Import
13--Import,1347668--java.util
13--Import,1346640--bool
1--CompilationUnit,14--ClassDeclaration
14--ClassDeclaration,1461981--OND_3
14--ClassDeclaration,1458370--MethodDeclaration
1458370--MethodDeclaration,145837092821--set
145837092821--set,14583709282166370--static
1458370--MethodDeclaration,145837085477--findMinimumNumberOfSteps
1458370--MethodDeclaration,145837086381--FormalParameter
145837086381--FormalParameter,14583708638185438--BasicType
14583708638185438--BasicType,1458370863818543843595--int
145837086381--FormalParameter,14583708638183582--arr
1458370--MethodDeclaration,145837013309--FormalParameter
145837013309--FormalParameter,14583701330971174--BasicType
14583701330971174--BasicType,1458370133097117452414--int
145837013309--FormalParameter,14583701330966380--K
1458370--MethodDeclaration,14583701557--LocalVariableDeclaration
14583701557--LocalVariableDeclaration,1458370155779426--BasicType
1458370155779426--BasicType,145837015577942652779--int
14583701557--LocalVariableDeclaration,1458370155725895--VariableDeclarator
1458370155725895--VariableDeclarator,145837015572589571434--time
1458370155725895--VariableDeclarator,145837015572589530207--Literal
145837015572589530207--Literal,14583701557258953020743671--0
1458370--MethodDeclaration,145837039868--WhileStatement
145837039868--WhileStatement,14583703986836583--BinaryOperation
14583703986836583--BinaryOperation,1458370398683658342936--!=
14583703986836583--BinaryOperation,1458370398683658359333--MemberReference
1458370398683658359333--MemberReference,145837039868365835933378261--ArraySelector
145837039868365835933378261--ArraySelector,14583703986836583593337826180092--MemberReference
14583703986836583593337826180092--MemberReference,1458370398683658359333782618009228162--K
1458370398683658359333--MemberReference,145837039868365835933323172--arr
14583703986836583--BinaryOperation,1458370398683658392923--Literal
1458370398683658392923--Literal,145837039868365839292333426--0
145837039868--WhileStatement,14583703986869444--BlockStatement
14583703986869444--BlockStatement,1458370398686944470783--ForStatement
1458370398686944470783--ForStatement,145837039868694447078327483--ForControl
145837039868694447078327483--ForControl,14583703986869444707832748358248--VariableDeclaration
14583703986869444707832748358248--VariableDeclaration,1458370398686944470783274835824868254--BasicType
1458370398686944470783274835824868254--BasicType,145837039868694447078327483582486825463072--int
14583703986869444707832748358248--VariableDeclaration,1458370398686944470783274835824861998--VariableDeclarator
1458370398686944470783274835824861998--VariableDeclarator,145837039868694447078327483582486199888974--i
1458370398686944470783274835824861998--VariableDeclarator,14583703986869444707832748358248619981487--Literal
14583703986869444707832748358248619981487--Literal,1458370398686944470783274835824861998148788752--0
145837039868694447078327483--ForControl,14583703986869444707832748381550--BinaryOperation
14583703986869444707832748381550--BinaryOperation,1458370398686944470783274838155017427--<
14583703986869444707832748381550--BinaryOperation,1458370398686944470783274838155018347--MemberReference
1458370398686944470783274838155018347--MemberReference,145837039868694447078327483815501834711426--i
14583703986869444707832748381550--BinaryOperation,1458370398686944470783274838155047745--MemberReference
1458370398686944470783274838155047745--MemberReference,145837039868694447078327483815504774531283--arr
1458370398686944470783274838155047745--MemberReference,145837039868694447078327483815504774535975--length
145837039868694447078327483--ForControl,14583703986869444707832748370536--MemberReference
14583703986869444707832748370536--MemberReference,1458370398686944470783274837053619178--++
14583703986869444707832748370536--MemberReference,1458370398686944470783274837053695127--i
1458370398686944470783--ForStatement,145837039868694447078362315--BlockStatement
145837039868694447078362315--BlockStatement,14583703986869444707836231585028--IfStatement
14583703986869444707836231585028--IfStatement,1458370398686944470783623158502848168--BinaryOperation
1458370398686944470783623158502848168--BinaryOperation,14583703986869444707836231585028481689265-->
1458370398686944470783623158502848168--BinaryOperation,145837039868694447078362315850284816832852--MemberReference
