1--CompilationUnit,11--ClassDeclaration
11--ClassDeclaration,1166231--nlog30
11--ClassDeclaration,11443--FieldDeclaration
11443--FieldDeclaration,1144333997--set
1144333997--set,11443339973748--static
11443--FieldDeclaration,1144377607--BasicType
1144377607--BasicType,114437760743714--int
11443--FieldDeclaration,1144354854--VariableDeclarator
1144354854--VariableDeclarator,114435485414192--k
1144354854--VariableDeclarator,114435485438273--Literal
114435485438273--Literal,11443548543827318799--16
11--ClassDeclaration,1122368--FieldDeclaration
1122368--FieldDeclaration,112236854028--set
112236854028--set,11223685402895928--static
1122368--FieldDeclaration,112236854238--BasicType
112236854238--BasicType,11223685423869686--int
1122368--FieldDeclaration,112236817484--VariableDeclarator
112236817484--VariableDeclarator,11223681748410915--N
112236817484--VariableDeclarator,1122368174844380--Literal
1122368174844380--Literal,112236817484438036359--100000
11--ClassDeclaration,1181483--FieldDeclaration
1181483--FieldDeclaration,118148397128--set
118148397128--set,11814839712836075--static
1181483--FieldDeclaration,118148349457--BasicType
118148349457--BasicType,11814834945781616--long
1181483--FieldDeclaration,118148383768--VariableDeclarator
118148383768--VariableDeclarator,11814838376821596--table
118148383768--VariableDeclarator,11814838376843515--ArrayCreator
11814838376843515--ArrayCreator,1181483837684351591055--BasicType
1181483837684351591055--BasicType,118148383768435159105517002--long
11814838376843515--ArrayCreator,1181483837684351517501--MemberReference
1181483837684351517501--MemberReference,118148383768435151750133055--N
11814838376843515--ArrayCreator,1181483837684351554537--BinaryOperation
1181483837684351554537--BinaryOperation,118148383768435155453727613--+
1181483837684351554537--BinaryOperation,118148383768435155453767306--MemberReference
118148383768435155453767306--MemberReference,11814838376843515545376730661042--k
1181483837684351554537--BinaryOperation,11814838376843515545378062--Literal
11814838376843515545378062--Literal,1181483837684351554537806250030--1
11--ClassDeclaration,1161389--MethodDeclaration
1161389--MethodDeclaration,116138919618--set
116138919618--set,11613891961857020--static
1161389--MethodDeclaration,116138979420--buildSparseTable
1161389--MethodDeclaration,116138928378--FormalParameter
116138928378--FormalParameter,11613892837814777--BasicType
11613892837814777--BasicType,1161389283781477710736--int
116138928378--FormalParameter,11613892837891964--arr
1161389--MethodDeclaration,116138982068--FormalParameter
116138982068--FormalParameter,11613898206898628--BasicType
11613898206898628--BasicType,1161389820689862839278--int
116138982068--FormalParameter,11613898206854785--n
1161389--MethodDeclaration,116138914202--ForStatement
116138914202--ForStatement,11613891420297078--ForControl
11613891420297078--ForControl,1161389142029707842467--VariableDeclaration
1161389142029707842467--VariableDeclaration,116138914202970784246762984--BasicType
116138914202970784246762984--BasicType,11613891420297078424676298450945--int
1161389142029707842467--VariableDeclaration,116138914202970784246713205--VariableDeclarator
116138914202970784246713205--VariableDeclarator,11613891420297078424671320536520--i
116138914202970784246713205--VariableDeclarator,11613891420297078424671320534559--Literal
11613891420297078424671320534559--Literal,1161389142029707842467132053455935071--0
11613891420297078--ForControl,1161389142029707815704--BinaryOperation
1161389142029707815704--BinaryOperation,116138914202970781570413393--<
1161389142029707815704--BinaryOperation,116138914202970781570413791--MemberReference
