1--CompilationUnit,11--Import
11--Import,1176641--java.io
11--Import,113629--bool
1--CompilationUnit,12--Import
12--Import,1231315--java.lang
12--Import,1242931--bool
1--CompilationUnit,13--Import
13--Import,1336279--java.util
13--Import,1350172--bool
1--CompilationUnit,14--ClassDeclaration
14--ClassDeclaration,1426546--log5
14--ClassDeclaration,1439542--MethodDeclaration
1439542--MethodDeclaration,143954237811--set
143954237811--set,14395423781184406--static
1439542--MethodDeclaration,143954245398--BasicType
143954245398--BasicType,14395424539826262--int
1439542--MethodDeclaration,143954241993--countRotations
1439542--MethodDeclaration,143954244254--FormalParameter
143954244254--FormalParameter,14395424425442611--BasicType
14395424425442611--BasicType,1439542442544261189476--int
143954244254--FormalParameter,14395424425435785--arr
1439542--MethodDeclaration,143954278251--FormalParameter
143954278251--FormalParameter,14395427825110299--BasicType
14395427825110299--BasicType,143954278251102998150--int
143954278251--FormalParameter,14395427825139886--low
1439542--MethodDeclaration,143954249231--FormalParameter
143954249231--FormalParameter,1439542492311951--BasicType
1439542492311951--BasicType,143954249231195157280--int
143954249231--FormalParameter,14395424923186709--high
1439542--MethodDeclaration,143954214375--IfStatement
143954214375--IfStatement,14395421437520671--BinaryOperation
14395421437520671--BinaryOperation,143954214375206715091--<
14395421437520671--BinaryOperation,1439542143752067111983--MemberReference
1439542143752067111983--MemberReference,143954214375206711198337829--high
14395421437520671--BinaryOperation,1439542143752067134413--MemberReference
1439542143752067134413--MemberReference,143954214375206713441399770--low
143954214375--IfStatement,14395421437579294--ReturnStatement
14395421437579294--ReturnStatement,1439542143757929485825--Literal
1439542143757929485825--Literal,143954214375792948582536513--0
1439542--MethodDeclaration,143954232684--IfStatement
143954232684--IfStatement,14395423268434660--BinaryOperation
14395423268434660--BinaryOperation,1439542326843466048700--==
14395423268434660--BinaryOperation,1439542326843466042592--MemberReference
1439542326843466042592--MemberReference,143954232684346604259234141--high
14395423268434660--BinaryOperation,1439542326843466039935--MemberReference
1439542326843466039935--MemberReference,143954232684346603993578220--low
143954232684--IfStatement,14395423268441101--ReturnStatement
14395423268441101--ReturnStatement,1439542326844110126760--MemberReference
1439542326844110126760--MemberReference,14395423268441101267605788--low
1439542--MethodDeclaration,143954259264--LocalVariableDeclaration
143954259264--LocalVariableDeclaration,14395425926458300--BasicType
14395425926458300--BasicType,1439542592645830037792--int
143954259264--LocalVariableDeclaration,14395425926438506--VariableDeclarator
14395425926438506--VariableDeclarator,1439542592643850618795--mid
14395425926438506--VariableDeclarator,1439542592643850636304--BinaryOperation
1439542592643850636304--BinaryOperation,143954259264385063630421293--+
1439542592643850636304--BinaryOperation,143954259264385063630466770--MemberReference
143954259264385063630466770--MemberReference,14395425926438506363046677044800--low
1439542592643850636304--BinaryOperation,143954259264385063630470803--BinaryOperation
143954259264385063630470803--BinaryOperation,14395425926438506363047080367861--/
143954259264385063630470803--BinaryOperation,14395425926438506363047080375578--BinaryOperation
14395425926438506363047080375578--BinaryOperation,1439542592643850636304708037557860345---
14395425926438506363047080375578--BinaryOperation,143954259264385063630470803755786881--MemberReference
143954259264385063630470803755786881--MemberReference,14395425926438506363047080375578688148261--high
14395425926438506363047080375578--BinaryOperation,1439542592643850636304708037557819653--MemberReference
1439542592643850636304708037557819653--MemberReference,143954259264385063630470803755781965393432--low
143954259264385063630470803--BinaryOperation,14395425926438506363047080327835--Literal
14395425926438506363047080327835--Literal,1439542592643850636304708032783561390--2
1439542--MethodDeclaration,14395421110--IfStatement
14395421110--IfStatement,143954211101477--BinaryOperation
143954211101477--BinaryOperation,14395421110147743609--&&
143954211101477--BinaryOperation,14395421110147752022--BinaryOperation
14395421110147752022--BinaryOperation,1439542111014775202224798--<
14395421110147752022--BinaryOperation,1439542111014775202216420--MemberReference
1439542111014775202216420--MemberReference,143954211101477520221642066472--mid
14395421110147752022--BinaryOperation,1439542111014775202210370--MemberReference
1439542111014775202210370--MemberReference,14395421110147752022103703646--high
143954211101477--BinaryOperation,14395421110147742814--BinaryOperation
14395421110147742814--BinaryOperation,143954211101477428143549--<
14395421110147742814--BinaryOperation,1439542111014774281439324--MemberReference
1439542111014774281439324--MemberReference,143954211101477428143932430972--ArraySelector
143954211101477428143932430972--ArraySelector,14395421110147742814393243097227728--BinaryOperation
14395421110147742814393243097227728--BinaryOperation,1439542111014774281439324309722772826233--+
14395421110147742814393243097227728--BinaryOperation,1439542111014774281439324309722772816140--MemberReference
