1--Module,11--FunctionDef:append
11--FunctionDef:append,1166473--arguments
1166473--arguments,11664736802--self
1166473--arguments,116647366478--new_data
11--FunctionDef:append,1125911--Assign
1125911--Assign,112591155777--new_node
112591155777--new_node,11259115577763293--Store
1125911--Assign,11259116729--Call
11259116729--Call,1125911672927016--Node
1125911672927016--Node,112591167292701665207--Load
11259116729--Call,1125911672979883--new_data
1125911672979883--new_data,11259116729798835227--Load
11--FunctionDef:append,1194191--If
1194191--If,119419111278--Compare
119419111278--Compare,11941911127844476--Attribute
11941911127844476--Attribute,1194191112784447648894--self
1194191112784447648894--self,119419111278444764889442997--Load
11941911127844476--Attribute,1194191112784447664292--Load
119419111278--Compare,11941911127855361--Is
119419111278--Compare,1194191112785328--NameConstant
1194191--If,1194191858--Assign
1194191858--Assign,119419185874123--Attribute
119419185874123--Attribute,11941918587412331672--self
11941918587412331672--self,1194191858741233167253394--Load
119419185874123--Attribute,11941918587412320061--Store
1194191858--Assign,119419185861325--new_node
119419185861325--new_node,1194191858613258848--Load
1194191--If,119419197386--Return
11--FunctionDef:append,1146396--Assign
1146396--Assign,114639630823--last
114639630823--last,11463963082395429--Store
1146396--Assign,114639695478--Attribute
114639695478--Attribute,11463969547860533--self
11463969547860533--self,1146396954786053382312--Load
114639695478--Attribute,11463969547835530--Load
11--FunctionDef:append,1148039--While
1148039--While,114803953242--Attribute
114803953242--Attribute,11480395324229235--last
11480395324229235--last,1148039532422923521925--Load
114803953242--Attribute,1148039532429566--Load
1148039--While,11480397933--Assign
11480397933--Assign,1148039793327428--last
1148039793327428--last,114803979332742848146--Store
11480397933--Assign,1148039793399176--Attribute
1148039793399176--Attribute,114803979339917631044--last
114803979339917631044--last,11480397933991763104482579--Load
1148039793399176--Attribute,114803979339917615598--Load
11--FunctionDef:append,11675--Assign
11675--Assign,1167546263--Attribute
1167546263--Attribute,116754626380604--last
116754626380604--last,11675462638060411906--Load
1167546263--Attribute,116754626321746--Store
11675--Assign,1167572585--new_node
1167572585--new_node,116757258547716--Load
