1--Module,11--FunctionDef:insertAfter
11--FunctionDef:insertAfter,1144697--arguments
1144697--arguments,114469712809--self
1144697--arguments,114469734470--prev_node
1144697--arguments,114469780687--new_data
11--FunctionDef:insertAfter,1181267--If
1181267--If,118126765831--Compare
118126765831--Compare,11812676583122200--prev_node
11812676583122200--prev_node,1181267658312220010724--Load
118126765831--Compare,11812676583165658--Is
118126765831--Compare,11812676583193115--NameConstant
1181267--If,1181267970--Expr
1181267970--Expr,118126797017171--Call
118126797017171--Call,11812679701717110323--print
11812679701717110323--print,1181267970171711032315579--Load
118126797017171--Call,11812679701717156956--The given previous node must inLinkedList.
1181267--If,118126749262--Return
11--FunctionDef:insertAfter,1117896--Assign
1117896--Assign,111789624735--new_node
111789624735--new_node,11178962473516303--Store
1117896--Assign,11178968608--Call
11178968608--Call,1117896860842686--Node
1117896860842686--Node,111789686084268681112--Load
11178968608--Call,111789686089885--new_data
111789686089885--new_data,11178968608988518833--Load
11--FunctionDef:insertAfter,1119792--Assign
1119792--Assign,111979264577--Attribute
111979264577--Attribute,11197926457722384--new_node
11197926457722384--new_node,1119792645772238481296--Load
111979264577--Attribute,11197926457789331--Store
1119792--Assign,111979261566--Attribute
111979261566--Attribute,11197926156638601--prev_node
11197926156638601--prev_node,111979261566386018485--Load
111979261566--Attribute,11197926156680979--Load
11--FunctionDef:insertAfter,1152795--Assign
1152795--Assign,115279526666--Attribute
115279526666--Attribute,11527952666665131--prev_node
11527952666665131--prev_node,1152795266666513181409--Load
115279526666--Attribute,11527952666625839--Store
1152795--Assign,115279532986--new_node
115279532986--new_node,11527953298667627--Load
