1--Module,11--If
11--If,1182834--Compare
1182834--Compare,118283416566--__name__
118283416566--__name__,11828341656612955--Load
1182834--Compare,118283427674--Eq
1182834--Compare,118283474386--__main__
11--If,117249--Assign
117249--Assign,11724974334--arr
11724974334--arr,1172497433436563--Store
117249--Assign,11724973512--List
11724973512--List,1172497351213775--10
11724973512--List,1172497351283334--50
11724973512--List,117249735123478--30
11724973512--List,1172497351281781--40
11724973512--List,1172497351289456--20
11724973512--List,1172497351229273--Load
11--If,1186550--Assign
1186550--Assign,118655020529--key
118655020529--key,11865502052959146--Store
1186550--Assign,118655098148--30
11--If,1173298--Expr
1173298--Expr,117329822976--Call
117329822976--Call,11732982297656634--print
11732982297656634--print,1173298229765663481887--Load
117329822976--Call,11732982297663962--Array before deletion:
11--If,111015--Expr
111015--Expr,11101589310--Call
11101589310--Call,1110158931041564--print
1110158931041564--print,111015893104156435570--Load
11101589310--Call,1110158931085145--arr
1110158931085145--arr,111015893108514540113--Load
11--If,1162360--Expr
1162360--Expr,116236056513--Call
116236056513--Call,11623605651368968--Attribute
11623605651368968--Attribute,1162360565136896886545--arr
1162360565136896886545--arr,116236056513689688654529541--Load
11623605651368968--Attribute,1162360565136896823755--Load
116236056513--Call,11623605651371888--key
11623605651371888--key,1162360565137188882582--Load
11--If,1191861--Expr
1191861--Expr,119186163502--Call
119186163502--Call,11918616350268659--print
11918616350268659--print,1191861635026865980527--Load
119186163502--Call,11918616350277529--Array after deletion
11--If,1191191--Expr
1191191--Expr,11911911561--Call
11911911561--Call,1191191156121124--print
1191191156121124--print,119119115612112433502--Load
11911911561--Call,1191191156158896--arr
1191191156158896--arr,119119115615889679858--Load
