1--Module,11--If
11--If,1128450--Compare
1128450--Compare,112845062396--__name__
112845062396--__name__,11284506239676095--Load
1128450--Compare,112845093228--Eq
1128450--Compare,112845083999--__main__
11--If,1181284--Assign
1181284--Assign,118128495438--arr
118128495438--arr,11812849543834559--Store
1181284--Assign,118128490027--List
118128490027--List,11812849002769662--12
118128490027--List,11812849002786477--3
118128490027--List,11812849002730081--5
118128490027--List,11812849002776899--7
118128490027--List,11812849002711527--19
118128490027--List,11812849002727499--Load
11--If,1120769--Assign
1120769--Assign,112076986934--N
112076986934--N,11207698693434971--Store
1120769--Assign,112076960088--Call
112076960088--Call,11207696008833439--len
11207696008833439--len,1120769600883343932675--Load
112076960088--Call,11207696008883254--arr
11207696008883254--arr,1120769600888325423809--Load
11--If,119840--Assign
119840--Assign,11984063098--K
11984063098--K,1198406309842562--Store
119840--Assign,11984050333--4
11--If,114663--Assign
114663--Assign,11466379506--s
11466379506--s,1146637950651561--Store
114663--Assign,11466348521--Call
11466348521--Call,1146634852195196--set
1146634852195196--set,114663485219519674905--Load
11466348521--Call,1146634852126493--arr
1146634852126493--arr,114663485212649397269--Load
11--If,113562--For
113562--For,11356296--itr
11356296--itr,1135629697703--Store
113562--For,1135622977--s
1135622977--s,113562297754080--Load
113562--For,11356234349--If
11356234349--If,1135623434971861--Compare
1135623434971861--Compare,113562343497186146910--K
113562343497186146910--K,11356234349718614691061670--Load
1135623434971861--Compare,113562343497186149216--Eq
1135623434971861--Compare,113562343497186164809--1
11356234349--If,1135623434949134--Expr
1135623434949134--Expr,113562343494913478434--Call
113562343494913478434--Call,11356234349491347843456683--print
11356234349491347843456683--print,1135623434949134784345668310361--Load
113562343494913478434--Call,11356234349491347843438595--itr
11356234349491347843438595--itr,1135623434949134784343859549984--Load
11356234349--If,1135623434996572--Break
113562--For,11356249115--AugAssign
11356249115--AugAssign,1135624911598748--K
1135624911598748--K,1135624911598748203--Store
11356249115--AugAssign,1135624911567225--Sub
11356249115--AugAssign,1135624911539170--1
